"","cc_pays","cc_departement","cc_region","cc_ville","longitude","latitude","NO2","quality","hour_mean","hour_std","counter","Date"
"1","DE","Undefined","Berlin","Hansaviertel",13.324862,52.506397,1.7595572e-05,1,12,NA,1,2020-07-06
"2","DE","Undefined","Berlin","Lubars",13.349828,52.616587,1.88737985e-05,1,11,1.4142135623731,2,2020-07-06
"3","DE","Undefined","Berlin","Niederschonhausen",13.399897,52.58102,1.7329117e-05,1,10,NA,1,2020-07-06
"4","DE","Undefined","Berlin","Prenzlauer Berg Bezirk",13.445852,52.53914,2.5887975e-05,1,10,NA,1,2020-07-06
"5","DE","Undefined","Berlin","Siemensstadt",13.258789,52.570923,2.9761373e-05,1,10,NA,1,2020-07-06
"6","DE","Undefined","Berlin","Tegel",13.3056135,52.554977,1.935097e-05,1,12,NA,1,2020-07-06
"7","DE","Undefined","Berlin","Wedding Bezirk",13.365052,52.561737,2.6688385e-05,1,12,NA,1,2020-07-06
"8","DE","Undefined","Brandenburg","Hennigsdorf",13.212483,52.612663,1.3859741e-05,1,10,NA,1,2020-07-06
"9","DE","Undefined","Berlin","Berlin Schoeneberg",13.360557,52.47829,3.7008074e-05,1,12,NA,1,2020-07-05
"10","DE","Undefined","Berlin","Grunewald",13.273541,52.474606,1.8381734e-05,1,12,NA,1,2020-07-05
"11","DE","Undefined","Berlin","Treptow Bezirk",13.448311,52.4819,2.6458838e-05,1,12,NA,1,2020-07-05
"12","DE","Undefined","Berlin","Gatow",13.194468,52.47415,1.4868617e-05,1,11,NA,1,2020-07-02
"13","DE","Undefined","Berlin","Grunewald",13.246717,52.486,2.0571259e-05,1,11,NA,1,2020-07-02
"14","DE","Undefined","Berlin","Zehlendorf Bezirk",13.273022,52.438274,3.344729e-05,1,11,NA,1,2020-07-02
"15","DE","Undefined","Berlin","Falkenhagener Feld",13.180813,52.56262,3.6923815e-05,1,12,NA,1,2020-07-10
"16","DE","Undefined","Berlin","Frohnau",13.287559,52.61972,3.855267e-05,0.9,10,NA,1,2020-07-10
"17","DE","Undefined","Berlin","Heiligensee",13.269535,52.613674,2.9548512e-05,1,12,NA,1,2020-07-10
"18","DE","Undefined","Berlin","Reinickendorf",13.327414,52.575367,5.5894983e-05,0.9,10,NA,1,2020-07-10
"19","DE","Undefined","Berlin","Rosenthal",13.371588,52.615837,5.5770066e-05,1,12,NA,1,2020-07-10
"20","DE","Undefined","Berlin","Tegel",13.281726,52.564888,7.490175e-05,1,12,NA,1,2020-07-10
"21","DE","Undefined","Berlin","Dahlem",13.279883,52.43256,5.6924946e-05,1,11,NA,1,2020-06-06
"22","DE","Undefined","Berlin","Friedrichshagen",13.603439,52.46785,4.394166e-05,1,11,NA,1,2020-06-06
"23","DE","Undefined","Berlin","Gatow",13.190733,52.462772,3.8107566e-05,1,11,NA,1,2020-06-06
"24","DE","Undefined","Berlin","Steglitz Bezirk",13.339133,52.44932,4.5374294e-05,1,11,NA,1,2020-06-06
"25","DE","Undefined","Berlin","Wilmersdorf Bezirk",13.309554,52.496456,5.2998592e-05,1,11,NA,1,2020-06-06
"26","DE","Undefined","Brandenburg","Ahrensfelde",13.603007,52.578316,2.8543835e-05,1,11,NA,1,2020-06-06
"27","DE","Undefined","Berlin","Berlin Koepenick",13.583888,52.451496,3.7289814e-05,1,12,NA,1,2020-06-04
"28","DE","Undefined","Berlin","Berlin Treptow",13.444638,52.48682,5.1911997e-05,1,12,NA,1,2020-06-04
"29","DE","Undefined","Berlin","Hellersdorf",13.606698,52.555252,2.8746537e-05,1,12,NA,1,2020-06-04
"30","DE","Undefined","Berlin","Niederschoneweide",13.523654,52.44489,2.5740243e-05,1,12,NA,1,2020-06-04
"31","DE","Undefined","Berlin","Wartenberg",13.5271845,52.597282,3.9400486e-05,1,12,NA,1,2020-06-04
"32","DE","Undefined","Brandenburg","Ahrensfelde",13.61835,52.607145,3.14477515e-05,1,12,0,2,2020-06-04
"33","DE","Undefined","Berlin","Alt-Hohenschoenhausen",13.5225935,52.536983,4.9384325e-05,1,11,NA,1,2020-06-27
"34","DE","Undefined","Berlin","Baumschulenweg",13.495867,52.475872,3.9231112e-05,1,11,NA,1,2020-06-27
"35","DE","Undefined","Berlin","Berlin Koepenick",13.578015,52.441986,4.532471e-05,1,11,NA,1,2020-06-27
"36","DE","Undefined","Berlin","Berlin Schoeneberg",13.358738,52.495834,3.767486e-05,1,11,NA,1,2020-06-27
"37","DE","Undefined","Berlin","Britz",13.441302,52.462166,4.3733082e-05,1,11,NA,1,2020-06-27
"38","DE","Undefined","Berlin","Falkenberg",13.549244,52.59801,4.2009986e-05,1,11,NA,1,2020-06-27
"39","DE","Undefined","Berlin","Fennpfuhl",13.468097,52.52336,3.9933504e-05,1,11,NA,1,2020-06-27
"40","DE","Undefined","Berlin","Friedrichshagen",13.63229,52.455494,5.2737436e-05,1,11,NA,1,2020-06-27
"41","DE","Undefined","Berlin","Gesundbrunnen",13.385594,52.55711,7.172554e-05,1,11,NA,1,2020-06-27
"42","DE","Undefined","Berlin","Grunewald",13.248874,52.46792,5.1067218e-05,1,11,NA,1,2020-06-27
"43","DE","Undefined","Berlin","Halensee",13.303871,52.481926,3.5913414e-05,1,11,NA,1,2020-06-27
"44","DE","Undefined","Berlin","Haselhorst",13.220831,52.51535,3.303586e-05,1,11,NA,1,2020-06-27
"45","DE","Undefined","Berlin","Heinersdorf",13.440264,52.570835,4.5505807e-05,1,11,NA,1,2020-06-27
"46","DE","Undefined","Berlin","Hellersdorf",13.631235,52.563953,4.1289535e-05,1,11,NA,1,2020-06-27
"47","DE","Undefined","Berlin","Karlshorst",13.550311,52.489487,4.50811e-05,1,11,NA,1,2020-06-27
"48","DE","Undefined","Berlin","Karow",13.466953,52.63194,5.4285312e-05,1,11,NA,1,2020-06-27
"49","DE","Undefined","Berlin","Konradshohe",13.247811,52.576794,4.7835027e-05,1,11,NA,1,2020-06-27
"50","DE","Undefined","Berlin","Mahlsdorf",13.604637,52.503006,3.61359e-05,1,11,NA,1,2020-06-27
"51","DE","Undefined","Berlin","Mariendorf",13.386613,52.448368,3.6910707e-05,1,11,NA,1,2020-06-27
"52","DE","Undefined","Berlin","Markisches Viertel",13.35763,52.604557,3.2408694e-05,1,11,NA,1,2020-06-27
"53","DE","Undefined","Berlin","Marzahn",13.576972,52.550514,3.7280923e-05,1,11,NA,1,2020-06-27
"54","DE","Undefined","Berlin","Mitte",13.41348,52.509644,3.7254194e-05,1,11,NA,1,2020-06-27
"55","DE","Undefined","Berlin","Moabit",13.330801,52.543285,3.558651e-05,1,11,NA,1,2020-06-27
"56","DE","Undefined","Berlin","Nikolassee",13.193744,52.453815,4.084305e-05,0.9,11,NA,1,2020-06-27
"57","DE","Undefined","Berlin","Spandau",13.192709,52.562763,3.9800256e-05,1,11,NA,1,2020-06-27
"58","DE","Undefined","Berlin","Stadtrandsiedlung Malchow",13.494813,52.58447,3.796623e-05,1,11,NA,1,2020-06-27
"59","DE","Undefined","Berlin","Tegel",13.302784,52.59072,5.9070113e-05,1,11,NA,1,2020-06-27
"60","DE","Undefined","Berlin","Westend",13.275881,52.529366,3.2765314e-05,1,11,NA,1,2020-06-27
"61","DE","Undefined","Brandenburg","Ahrensfelde",13.6035595,52.61146,3.0422763e-05,1,11,NA,1,2020-06-27
"62","DE","Undefined","Brandenburg","Hennigsdorf",13.19211275,52.617202,3.18196335e-05,1,11,0,2,2020-06-27
"63","DE","Undefined","Berlin","Biesdorf",13.5375595,52.51869,2.296001e-05,1,12,NA,1,2020-06-25
"64","DE","Undefined","Berlin","Friedrichshagen",13.6308535,52.4513465,2.77040335e-05,1,12,0,2,2020-06-25
"65","DE","Undefined","Berlin","Friedrichshain Bezirk",13.47029,52.512943,3.3569147e-05,1,12,NA,1,2020-06-25
"66","DE","Undefined","Berlin","Hansaviertel",13.336858,52.50133,3.88195e-05,1,12,NA,1,2020-06-25
"67","DE","Undefined","Berlin","Hellersdorf",13.605207,52.52439,2.3946164e-05,1,12,NA,1,2020-06-25
"68","DE","Undefined","Berlin","Neu-Hohenschoenhausen",13.520372,52.56739,1.8456312e-05,1,12,NA,1,2020-06-25
"69","DE","Undefined","Berlin","Siemensstadt",13.253201,52.54415,3.0723782e-05,1,12,NA,1,2020-06-25
"70","DE","Undefined","Berlin","Weissensee",13.453028,52.56164,2.125546e-05,1,12,NA,1,2020-06-25
"71","DE","Undefined","Brandenburg","Ahrensfelde",13.579502,52.597448,2.2170224e-05,1,12,0,2,2020-06-25
"72","DE","Undefined","Brandenburg","Bernau bei Berlin",13.6390915,52.62747,1.712883e-05,1,12,NA,1,2020-06-25
"73","DE","Undefined","Berlin","Adlershof",13.5441625,52.4369485,5.4112461e-05,1,11.5,0.707106781186548,2,2020-06-23
"74","DE","Undefined","Berlin","Berlin Schoeneberg",13.361228,52.485794,4.3721353e-05,1,12,NA,1,2020-06-23
"75","DE","Undefined","Berlin","Bezirk Kreuzberg",13.40357,52.50435,4.197935e-05,1,11,NA,1,2020-06-23
"76","DE","Undefined","Berlin","Blankenburg",13.450194,52.579967,2.9473815e-05,1,11,NA,1,2020-06-23
"77","DE","Undefined","Berlin","Britz",13.438187,52.45843,3.27898e-05,1,11,NA,1,2020-06-23
"78","DE","Undefined","Berlin","Charlottenburg Bezirk",13.286944,52.52018,3.724626e-05,1,11,NA,1,2020-06-23
"79","DE","Undefined","Berlin","Fennpfuhl",13.484829,52.534035,4.4303586e-05,1,11,NA,1,2020-06-23
"80","DE","Undefined","Berlin","Friedenau",13.321705,52.474297,3.9339993e-05,1,11,NA,1,2020-06-23
"81","DE","Undefined","Berlin","Friedrichshagen",13.634384,52.471443,2.3207032e-05,1,11,NA,1,2020-06-23
"82","DE","Undefined","Berlin","Gatow",13.2008345,52.4903505,3.02677455e-05,1,11.5,0.707106781186548,2,2020-06-23
"83","DE","Undefined","Berlin","Hakenfelde",13.183338,52.58814,3.8499606e-05,1,12,NA,1,2020-06-23
"84","DE","Undefined","Berlin","Haselhorst",13.252131,52.56608,3.92306e-05,1,11,NA,1,2020-06-23
"85","DE","Undefined","Berlin","Karlshorst",13.52365,52.484175,4.36000025e-05,1,11.5,0.707106781186548,2,2020-06-23
"86","DE","Undefined","Berlin","Kaulsdorf",13.599984,52.5174,3.304651e-05,1,11,NA,1,2020-06-23
"87","DE","Undefined","Berlin","Lichtenberg",13.521263,52.528816,3.530185e-05,1,12,NA,1,2020-06-23
"88","DE","Undefined","Berlin","Mariendorf",13.367974,52.43726,4.6355945e-05,1,12,NA,1,2020-06-23
"89","DE","Undefined","Berlin","Markisches Viertel",13.347658,52.58293,3.7713282e-05,1,12,NA,1,2020-06-23
"90","DE","Undefined","Berlin","Marzahn",13.565494,52.563362,2.2629689e-05,1,11,NA,1,2020-06-23
"91","DE","Undefined","Berlin","Nikolassee",13.2042,52.44243,3.7570644e-05,1,12,NA,1,2020-06-23
"92","DE","Undefined","Berlin","Spandau",13.190252,52.539566,3.5205423e-05,1,12,NA,1,2020-06-23
"93","DE","Undefined","Berlin","Wartenberg",13.52282,52.593339,3.3948651e-05,1,11.5,0.707106781186548,2,2020-06-23
"94","DE","Undefined","Berlin","Wedding Bezirk",13.361631,52.542315,3.8691013e-05,1,11.5,0.707106781186548,2,2020-06-23
"95","DE","Undefined","Berlin","Wilhelmstadt",13.16952,52.535603,3.156213e-05,1,11,NA,1,2020-06-23
"96","DE","Undefined","Berlin","Wittenau",13.334123,52.59618,3.0426181e-05,1,11,NA,1,2020-06-23
"97","DE","Undefined","Berlin","Zehlendorf Bezirk",13.239221,52.443867,2.5689145e-05,1,11,NA,1,2020-06-23
"98","DE","Undefined","Brandenburg","Ahrensfelde",13.645576,52.59234,2.166586e-05,1,11,NA,1,2020-06-23
"99","DE","Undefined","Berlin","Alt-Hohenschoenhausen",13.5275955,52.536804,2.6028763e-05,1,11,NA,1,2020-06-22
