Station;010 Wedding;010 Wedding;010 Wedding;010 Wedding;010 Wedding
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte

01.01.2019;16;5;21;29;49
02.01.2019;10;2;15;18;58
03.01.2019;9;9;36;49;27
04.01.2019;14;16;39;64;18
05.01.2019;8;3;18;22;43
06.01.2019;10;2;20;23;33
07.01.2019;13;23;36;70;16
08.01.2019;6;5;22;29;41
09.01.2019;4;1;11;12;49
10.01.2019;6;2;19;21;49
11.01.2019;13;9;33;46;24
12.01.2019;14;3;21;25;49
13.01.2019;5;3;17;22;53
14.01.2019;10;5;19;26;59
15.01.2019;14;7;28;39;37
16.01.2019;14;5;25;33;34
17.01.2019;11;6;23;32;39
18.01.2019;9;7;28;39;41
19.01.2019;23;9;37;50;24
20.01.2019;36;5;29;37;22
21.01.2019;35;15;39;62;13
22.01.2019;44;21;43;75;11
23.01.2019;57;6;29;38;27
24.01.2019;37;3;22;26;39
25.01.2019;35;8;31;42;26
26.01.2019;21;13;36;56;12
27.01.2019;10;4;24;30;32
28.01.2019;11;13;31;51;28
29.01.2019;15;12;39;57;22
30.01.2019;24;6;35;44;25
31.01.2019;36;15;45;68;13
01.02.2019;47;7;39;49;13
02.02.2019;52;9;27;40;12
03.02.2019;25;3;20;24;26
04.02.2019;17;16;38;62;21
05.02.2019;16;9;32;46;29
06.02.2019;23;13;35;55;27
07.02.2019;22;11;41;58;22
08.02.2019;18;8;30;43;33
09.02.2019;9;3;17;21;57
10.02.2019;8;2;19;23;51
11.02.2019;7;6;24;34;49
12.02.2019;11;6;33;42;49
13.02.2019;28;9;34;48;18
14.02.2019;26;16;45;70;22
15.02.2019;27;75;68;182;8
16.02.2019;18;23;52;88;20
17.02.2019;29;37;57;113;10
18.02.2019;35;37;64;120;9
19.02.2019;24;10;39;53;32
20.02.2019;19;6;32;41;38
21.02.2019;26;9;34;47;30
22.02.2019;10;2;16;18;53
23.02.2019;18;5;33;40;40
24.02.2019;22;23;59;95;21
25.02.2019;31;21;56;88;19
26.02.2019;45;31;51;98;14
27.02.2019;41;64;56;154;18
28.02.2019;43;11;40;57;25
01.03.2019;36;4;25;32;35
02.03.2019;19;4;24;30;46
03.03.2019;15;2;13;16;48
04.03.2019;10;5;20;27;58
05.03.2019;11;4;20;26;57
06.03.2019;15;8;30;43;41
07.03.2019;11;7;28;38;47
08.03.2019;8;2;15;19;69
09.03.2019;9;3;17;21;64
10.03.2019;9;1;15;17;71
11.03.2019;9;5;27;34;54
12.03.2019;14;6;26;36;54
13.03.2019;9;4;18;24;67
14.03.2019;9;6;25;33;53
15.03.2019;8;4;20;27;63
16.03.2019;11;4;21;26;61
17.03.2019;7;2;13;16;67
18.03.2019;8;3;18;23;65
19.03.2019;13;6;35;45;48
20.03.2019;21;12;38;56;48
21.03.2019;29;10;37;52;29
22.03.2019;30;8;31;44;25
23.03.2019;35;7;24;35;31
24.03.2019;16;2;22;25;54
25.03.2019;10;4;25;32;57
26.03.2019;11;7;33;44;50
27.03.2019;12;10;42;57;35
28.03.2019;11;7;31;42;33
29.03.2019;19;11;33;50;29
30.03.2019;21;5;32;39;49
31.03.2019;18;3;19;24;67
01.04.2019;12;7;25;36;62
02.04.2019;26;3;25;29;67
03.04.2019;43;4;33;39;70
04.04.2019;38;2;26;30;80
05.04.2019;42;6;25;34;43
06.04.2019;43;2;21;24;81
07.04.2019;38;1;13;14;95
08.04.2019;37;5;27;35;83
09.04.2019;21;1;11;12;85
10.04.2019;21;3;18;22;68
11.04.2019;11;1;11;13;69
12.04.2019;13;1;13;14;63
13.04.2019;21;1;10;11;70
14.04.2019;19;1;10;10;66
15.04.2019;19;1;14;16;76
16.04.2019;26;3;23;26;79
17.04.2019;28;2;21;24;82
18.04.2019;31;2;27;29;85
19.04.2019;28;1;12;13;108
20.04.2019;22;1;13;14;95
21.04.2019;17;1;14;15;96
22.04.2019;23;1;8;10;104
23.04.2019;43;1;10;12;98
24.04.2019;33;2;16;20;76
25.04.2019;18;3;22;26;84
26.04.2019;31;3;28;33;83
27.04.2019;16;3;20;25;62
28.04.2019;9;3;16;20;56
29.04.2019;18;2;15;17;60
30.04.2019;14;3;25;30;78
01.05.2019;24;2;25;29;67
02.05.2019;20;3;28;33;61
03.05.2019;12;4;23;28;71
04.05.2019;10;2;21;25;61
05.05.2019;8;2;22;25;62
06.05.2019;13;4;23;29;65
07.05.2019;11;3;21;26;56
08.05.2019;23;6;33;42;66
09.05.2019;11;2;21;25;67
10.05.2019;14;4;26;32;49
11.05.2019;13;1;14;15;71
12.05.2019;9;1;7;8;76
13.05.2019;11;2;15;18;64
14.05.2019;9;1;9;11;70
15.05.2019;8;1;10;11;72
16.05.2019;11;3;21;26;42
17.05.2019;18;10;26;41;46
18.05.2019;17;4;25;30;65
19.05.2019;18;2;19;23;77
20.05.2019;20;1;14;15;70
21.05.2019;17;3;24;28;62
22.05.2019;14;3;21;26;53
23.05.2019;13;3;20;25;65
24.05.2019;18;2;25;29;89
25.05.2019;11;3;19;24;60
26.05.2019;14;2;14;17;70
27.05.2019;12;4;23;29;51
28.05.2019;16;2;14;17;61
29.05.2019;11;1;16;18;75
30.05.2019;12;2;15;17;76
31.05.2019;15;3;21;25;47
01.06.2019;20;3;24;28;60
02.06.2019;18;1;14;16;84
03.06.2019;19;2;21;24;89
04.06.2019;18;2;20;23;98
05.06.2019;25;2;23;26;99
06.06.2019;25;2;26;29;75
07.06.2019;15;3;19;23;76
08.06.2019;13;2;12;15;77
09.06.2019;11;2;11;13;78
10.06.2019;20;1;11;12;86
11.06.2019;26;2;18;21;93
12.06.2019;20;1;18;19;81
13.06.2019;13;3;28;33;64
14.06.2019;16;2;23;26;94
15.06.2019;25;1;18;20;106
16.06.2019;9;2;23;25;84
17.06.2019;16;2;25;28;90
18.06.2019;18;2;23;26;85
19.06.2019;23;2;25;28;105
20.06.2019;14;2;23;26;84
21.06.2019;13;2;20;23;72
22.06.2019;13;1;6;7;85
23.06.2019;10;1;4;5;90
24.06.2019;14;1;15;17;86
25.06.2019;25;2;28;30;105
26.06.2019;27;1;29;30;115
27.06.2019;15;2;16;19;72
28.06.2019;15;3;18;22;61
29.06.2019;15;3;24;28;79
30.06.2019;19;2;20;23;110
01.07.2019;18;2;19;22;81
02.07.2019;16;3;19;22;59
03.07.2019;13;3;18;23;58
04.07.2019;13;1;13;14;63
05.07.2019;12;2;13;16;56
06.07.2019;13;1;14;17;54
07.07.2019;11;1;8;10;58
08.07.2019;7;3;20;25;52
09.07.2019;8;4;27;33;47
10.07.2019;11;4;23;29;45
11.07.2019;15;3;25;29;64
12.07.2019;15;2;22;25;53
13.07.2019;14;1;18;20;56
14.07.2019;15;1;16;18;51
15.07.2019;12;3;22;27;49
16.07.2019;9;4;24;31;42
17.07.2019;14;4;23;29;48
18.07.2019;13;2;18;20;73
19.07.2019;18;3;26;30;67
20.07.2019;17;3;24;28;68
21.07.2019;14;1;16;18;64
22.07.2019;16;4;24;30;61
23.07.2019;17;2;20;23;61
24.07.2019;18;2;17;20;68
25.07.2019;21;2;18;20;64
26.07.2019;15;1;9;10;71
27.07.2019;19;1;7;8;79
28.07.2019;18;1;9;9;99
29.07.2019;25;3;30;34;78
30.07.2019;27;5;25;32;46
31.07.2019;16;2;20;23;57
01.08.2019;11;2;20;23;60
02.08.2019;16;5;31;39;44
03.08.2019;12;1;14;15;53
04.08.2019;11;1;19;21;53
05.08.2019;15;3;30;36;58
06.08.2019;17;3;26;30;68
07.08.2019;17;3;29;34;54
08.08.2019;15;3;26;30;62
09.08.2019;16;4;30;36;69
10.08.2019;12;1;12;13;70
11.08.2019;13;1;18;20;70
12.08.2019;14;3;25;29;65
13.08.2019;11;2;20;24;66
14.08.2019;11;4;29;35;58
15.08.2019;15;3;26;31;59
16.08.2019;13;4;25;31;38
17.08.2019;15;2;21;23;60
18.08.2019;8;1;15;17;44
19.08.2019;13;8;30;42;38
20.08.2019;14;10;38;54;47
21.08.2019;13;4;31;36;56
22.08.2019;19;5;38;45;64
23.08.2019;21;3;31;35;74
24.08.2019;20;1;19;21;85
25.08.2019;18;1;13;15;93
26.08.2019;26;2;29;33;78
27.08.2019;27;2;31;34;75
28.08.2019;23;2;28;31;86
29.08.2019;18;2;24;27;91
30.08.2019;21;1;17;18;98
31.08.2019;22;1;19;20;106
01.09.2019;19;1;17;19;92
02.09.2019;11;4;31;37;50
03.09.2019;16;4;33;40;45
04.09.2019;21;3;30;35;59
05.09.2019;14;4;23;28;52
06.09.2019;13;5;27;34;47
07.09.2019;17;3;31;36;46
08.09.2019;11;0;12;12;66
09.09.2019;8;2;21;23;46
10.09.2019;12;3;21;26;62
11.09.2019;16;7;35;46;61
12.09.2019;14;7;26;37;36
13.09.2019;13;5;22;30;37
14.09.2019;13;8;30;41;37
15.09.2019;11;2;19;22;61
16.09.2019;17;5;27;34;40
17.09.2019;11;5;21;29;40
18.09.2019;11;4;27;33;46
19.09.2019;10;6;34;43;33
20.09.2019;11;7;33;44;30
21.09.2019;15;11;35;52;34
22.09.2019;17;2;28;31;47
23.09.2019;25;5;32;39;51
24.09.2019;30;5;32;39;27
25.09.2019;21;10;35;50;15
26.09.2019;14;15;32;54;18
27.09.2019;9;7;29;41;20
28.09.2019;11;4;21;27;28
29.09.2019;8;3;14;18;38
30.09.2019;7;3;13;17;48
01.10.2019;9;8;23;35;28
02.10.2019;7;4;21;27;41
03.10.2019;6;5;21;29;26
04.10.2019;10;14;26;47;18
05.10.2019;10;1;11;12;38
06.10.2019;10;2;22;25;30
07.10.2019;14;38;47;104;17
08.10.2019;13;10;28;44;17
09.10.2019;12;8;22;35;32
10.10.2019;9;5;20;27;38
11.10.2019;16;7;23;33;31
12.10.2019;14;3;21;26;42
13.10.2019;17;3;19;23;48
14.10.2019;17;11;30;46;39
15.10.2019;35;9;43;56;22
16.10.2019;17;5;25;33;23
17.10.2019;12;7;29;39;24
18.10.2019;10;7;22;32;33
19.10.2019;11;3;24;29;31
20.10.2019;16;7;30;41;23
21.10.2019;32;41;38;101;6
22.10.2019;18;18;36;64;12
23.10.2019;29;27;30;72;18
24.10.2019;50;12;35;53;18
25.10.2019;19;12;33;52;19
26.10.2019;13;4;18;24;38
27.10.2019;10;3;18;23;46
28.10.2019;10;6;28;37;33
29.10.2019;12;7;32;44;25
30.10.2019;17;55;53;137;11
31.10.2019;27;50;49;125;14
01.11.2019;33;8;34;47;17
02.11.2019;11;7;24;35;15
03.11.2019;17;7;21;31;14
04.11.2019;14;17;31;57;9
05.11.2019;10;10;28;44;19
06.11.2019;11;7;26;37;17
07.11.2019;17;14;30;51;7
08.11.2019;22;18;32;60;8
09.11.2019;23;8;26;39;11
10.11.2019;24;8;30;43;10
11.11.2019;;12;30;49;11
12.11.2019;;13;30;51;10
13.11.2019;21;15;35;58;9
14.11.2019;22;10;28;44;18
15.11.2019;31;4;21;27;24
16.11.2019;26;7;26;36;9
17.11.2019;26;8;26;38;6
18.11.2019;22;12;29;47;10
19.11.2019;11;13;31;50;19
20.11.2019;18;5;31;39;11
21.11.2019;37;11;25;41;5
22.11.2019;29;14;29;51;5
23.11.2019;37;3;19;24;11
24.11.2019;39;2;15;18;13
25.11.2019;45;12;20;39;3
26.11.2019;29;23;29;64;2
27.11.2019;18;14;31;52;6
28.11.2019;8;6;22;31;35
29.11.2019;8;5;27;35;41
30.11.2019;13;6;29;38;26
01.12.2019;24;4;27;34;20
02.12.2019;14;4;22;28;32
03.12.2019;15;20;32;63;22
04.12.2019;21;15;35;58;17
05.12.2019;29;25;42;79;4
06.12.2019;24;12;37;56;14
07.12.2019;8;3;15;20;43
08.12.2019;8;2;14;18;49
09.12.2019;8;8;27;39;44
10.12.2019;14;8;31;43;35
11.12.2019;15;9;37;50;26
12.12.2019;20;18;37;64;10
13.12.2019;26;11;33;49;8
14.12.2019;11;5;26;33;34
15.12.2019;7;2;19;22;57
16.12.2019;12;21;47;79;16
17.12.2019;19;20;43;74;4
18.12.2019;11;16;42;66;26
19.12.2019;29;22;36;69;4
20.12.2019;29;19;39;68;9
21.12.2019;15;8;36;49;18
22.12.2019;22;8;32;44;7
23.12.2019;13;5;28;36;26
24.12.2019;12;3;21;26;34
25.12.2019;10;2;15;17;34
26.12.2019;9;4;25;30;30
27.12.2019;9;2;18;20;27
28.12.2019;7;3;22;26;35
29.12.2019;14;8;33;45;22
30.12.2019;13;12;40;58;17
31.12.2019;16;7;35;46;35
01.01.2020;30;6;34;43;33
02.01.2020;23;24;47;84;8
03.01.2020;13;5;24;32;28
04.01.2020;10;3;24;29;53
05.01.2020;13;5;28;35;35
06.01.2020;16;5;26;33;39
07.01.2020;21;14;34;55;11
08.01.2020;13;7;27;38;21
09.01.2020;14;14;28;50;9
10.01.2020;10;5;24;31;34
11.01.2020;9;5;28;36;44
12.01.2020;14;3;17;22;44
13.01.2020;13;10;31;46;27
14.01.2020;13;9;31;45;24
15.01.2020;13;10;33;47;31
16.01.2020;14;15;49;72;23
17.01.2020;28;12;37;56;19
18.01.2020;13;3;22;27;41
19.01.2020;18;8;37;50;29
20.01.2020;16;16;40;65;22
21.01.2020;16;12;39;58;21
22.01.2020;18;13;42;61;22
23.01.2020;17;13;37;57;26
24.01.2020;31;20;40;71;11
25.01.2020;17;6;25;34;18
26.01.2020;21;7;24;34;17
27.01.2020;27;18;36;63;15
28.01.2020;10;6;24;33;43
29.01.2020;9;4;22;28;50
30.01.2020;10;5;23;31;47
31.01.2020;10;5;26;35;41
01.02.2020;6;2;15;18;46
02.02.2020;9;2;20;22;55
03.02.2020;9;5;32;40;39
