Station;014 Sondermessstation;014 Sondermessstation;014 Sondermessstation
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte

26.02.2020;25;31;69
27.02.2020;40;40;102
28.02.2020;29;35;80
29.02.2020;6;17;27
01.03.2020;6;19;28
02.03.2020;36;47;101
03.03.2020;81;53;177
04.03.2020;25;33;71
05.03.2020;34;42;94
06.03.2020;62;53;148
07.03.2020;26;34;73
08.03.2020;6;22;32
09.03.2020;23;32;67
10.03.2020;11;25;42
11.03.2020;21;28;60
12.03.2020;13;22;43
13.03.2020;18;24;52
14.03.2020;26;43;83
15.03.2020;3;19;24
16.03.2020;24;41;77
17.03.2020;51;54;132
18.03.2020;25;44;83
19.03.2020;50;48;126
20.03.2020;79;64;185
21.03.2020;17;21;47
22.03.2020;13;24;44
23.03.2020;62;58;153
24.03.2020;41;53;115
25.03.2020;40;52;113
26.03.2020;43;52;118
27.03.2020;56;70;156
28.03.2020;24;49;85
29.03.2020;12;24;42
30.03.2020;29;34;78
31.03.2020;77;60;178
01.04.2020;19;26;56
02.04.2020;17;23;49
03.04.2020;30;38;85
04.04.2020;23;45;81
05.04.2020;6;26;36
06.04.2020;18;46;73
07.04.2020;50;61;138
08.04.2020;35;52;105
09.04.2020;55;69;152
10.04.2020;17;34;60
11.04.2020;24;42;80
12.04.2020;5;23;30
13.04.2020;14;22;43
14.04.2020;50;47;123
15.04.2020;24;31;68
16.04.2020;40;52;113
17.04.2020;60;61;152
18.04.2020;22;35;69
19.04.2020;10;17;32
20.04.2020;40;42;104
21.04.2020;38;41;100
22.04.2020;59;58;149
23.04.2020;80;78;199
24.04.2020;61;73;166
25.04.2020;29;41;84
26.04.2020;12;30;48
27.04.2020;64;61;159
28.04.2020;52;64;144
29.04.2020;67;59;161
30.04.2020;22;30;63
01.05.2020;8;15;27
02.05.2020;16;23;47
03.05.2020;9;19;33
04.05.2020;80;59;180
05.05.2020;59;52;142
06.05.2020;56;57;143
07.05.2020;48;51;125
08.05.2020;26;50;89
09.05.2020;33;55;105
10.05.2020;10;33;49
11.05.2020;65;50;149
12.05.2020;34;31;83
13.05.2020;49;53;128
14.05.2020;81;73;197
15.05.2020;74;65;179
16.05.2020;13;26;46
17.05.2020;10;22;37
18.05.2020;30;44;90
19.05.2020;45;54;122
20.05.2020;69;68;174
21.05.2020;16;36;61
22.05.2020;19;42;71
23.05.2020;16;28;52
24.05.2020;14;22;43
25.05.2020;63;52;149
26.05.2020;70;58;165
27.05.2020;78;69;189
28.05.2020;60;52;143
29.05.2020;67;59;161
30.05.2020;28;37;80
31.05.2020;17;24;50
01.06.2020;18;27;54
02.06.2020;69;65;170
03.06.2020;63;63;160
04.06.2020;29;42;87
05.06.2020;30;32;77
06.06.2020;15;23;45
07.06.2020;9;22;36
08.06.2020;64;66;164
09.06.2020;70;68;175
10.06.2020;53;54;136
11.06.2020;79;53;174
12.06.2020;63;53;149
13.06.2020;;;
14.06.2020;;;
15.06.2020;;;
16.06.2020;66;69;170
17.06.2020;59;73;164
18.06.2020;53;66;147
19.06.2020;48;58;131
