Station;018 Schöneberg;018 Schöneberg;018 Schöneberg
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte

01.01.2019;1;8;10
02.01.2019;1;13;15
03.01.2019;3;33;38
04.01.2019;2;21;24
05.01.2019;1;16;18
06.01.2019;2;22;25
07.01.2019;16;29;53
08.01.2019;1;15;17
09.01.2019;2;17;20
10.01.2019;2;19;22
11.01.2019;4;25;30
12.01.2019;1;14;16
13.01.2019;1;8;10
14.01.2019;1;14;16
15.01.2019;2;16;18
16.01.2019;2;20;23
17.01.2019;2;18;22
18.01.2019;3;22;26
19.01.2019;9;35;50
20.01.2019;12;40;57
21.01.2019;6;36;45
22.01.2019;12;41;60
23.01.2019;7;32;43
24.01.2019;4;28;34
25.01.2019;4;28;33
26.01.2019;11;35;52
27.01.2019;3;22;26
28.01.2019;5;27;34
29.01.2019;4;30;35
30.01.2019;7;36;46
31.01.2019;12;42;60
01.02.2019;10;42;58
02.02.2019;7;30;41
03.02.2019;2;18;21
04.02.2019;6;29;38
05.02.2019;3;28;33
06.02.2019;8;32;44
07.02.2019;7;38;49
08.02.2019;3;25;30
09.02.2019;1;13;15
10.02.2019;1;17;18
11.02.2019;1;16;17
12.02.2019;2;24;26
13.02.2019;2;24;27
14.02.2019;10;35;51
15.02.2019;40;59;120
16.02.2019;12;51;69
17.02.2019;22;54;88
18.02.2019;35;60;113
19.02.2019;4;28;35
20.02.2019;2;20;23
21.02.2019;3;26;31
22.02.2019;3;21;25
23.02.2019;4;34;40
24.02.2019;10;52;67
25.02.2019;10;49;65
26.02.2019;21;50;81
27.02.2019;40;49;110
28.02.2019;3;31;36
01.03.2019;4;25;31
02.03.2019;2;21;24
03.03.2019;1;14;15
04.03.2019;2;16;18
05.03.2019;1;16;17
06.03.2019;5;27;34
07.03.2019;4;26;32
08.03.2019;1;11;12
09.03.2019;1;13;14
10.03.2019;1;12;13
11.03.2019;1;18;20
12.03.2019;2;16;19
13.03.2019;2;13;15
14.03.2019;3;16;20
15.03.2019;1;10;12
16.03.2019;1;16;17
17.03.2019;1;10;12
18.03.2019;1;13;15
19.03.2019;2;19;22
20.03.2019;4;24;31
21.03.2019;4;26;32
22.03.2019;5;30;38
23.03.2019;5;20;27
24.03.2019;2;17;19
25.03.2019;1;20;22
26.03.2019;1;19;21
27.03.2019;1;17;18
28.03.2019;2;21;25
29.03.2019;4;25;31
30.03.2019;3;26;31
31.03.2019;1;15;16
01.04.2019;3;23;27
02.04.2019;2;23;26
03.04.2019;4;32;38
04.04.2019;2;25;28
05.04.2019;3;29;34
06.04.2019;2;25;28
07.04.2019;1;17;19
08.04.2019;5;28;35
09.04.2019;1;15;17
10.04.2019;2;19;22
11.04.2019;2;18;20
12.04.2019;2;19;22
13.04.2019;2;16;19
14.04.2019;1;15;18
15.04.2019;2;20;23
16.04.2019;2;23;26
17.04.2019;2;24;28
18.04.2019;2;35;39
19.04.2019;0;17;18
20.04.2019;2;19;22
21.04.2019;0;16;16
22.04.2019;1;9;10
23.04.2019;1;13;14
24.04.2019;1;13;15
25.04.2019;1;16;17
