Station;027 Marienfelde;027 Marienfelde;027 Marienfelde;027 Marienfelde
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte

01.01.2019;0;3;4;60
02.01.2019;1;8;9;60
03.01.2019;1;24;25;34
04.01.2019;1;13;14;37
05.01.2019;0;10;10;46
06.01.2019;0;15;15;38
07.01.2019;2;16;20;20
08.01.2019;0;7;8;51
09.01.2019;0;13;13;44
10.01.2019;0;12;13;52
11.01.2019;1;13;15;37
12.01.2019;0;6;6;61
13.01.2019;1;2;3;64
14.01.2019;0;4;4;71
15.01.2019;0;9;9;53
16.01.2019;1;9;10;46
17.01.2019;0;9;9;51
18.01.2019;0;11;11;56
19.01.2019;2;21;24;31
20.01.2019;5;30;38;17
21.01.2019;1;21;22;28
22.01.2019;2;25;29;22
23.01.2019;2;22;25;33
24.01.2019;0;14;13;46
25.01.2019;2;16;18;36
26.01.2019;2;19;22;22
27.01.2019;1;7;8;46
28.01.2019;1;10;11;44
29.01.2019;0;14;14;40
30.01.2019;2;20;22;34
31.01.2019;2;28;31;25
01.02.2019;2;29;32;21
02.02.2019;3;25;29;13
03.02.2019;1;12;13;33
04.02.2019;3;16;20;36
05.02.2019;0;17;18;40
06.02.2019;1;16;17;39
07.02.2019;1;18;19;39
08.02.2019;1;11;12;47
09.02.2019;0;5;6;68
10.02.2019;0;5;5;64
11.02.2019;0;6;6;65
12.02.2019;0;12;12;65
13.02.2019;1;17;18;33
14.02.2019;2;25;28;34
15.02.2019;12;38;56;19
16.02.2019;1;25;26;39
17.02.2019;2;30;33;27
18.02.2019;4;31;37;30
19.02.2019;1;16;17;47
20.02.2019;0;12;12;56
21.02.2019;1;17;18;42
22.02.2019;0;14;14;53
23.02.2019;1;17;18;48
24.02.2019;2;29;33;31
25.02.2019;8;33;46;29
26.02.2019;6;31;40;24
27.02.2019;17;29;56;32
28.02.2019;2;22;25;39
01.03.2019;1;17;20;36
02.03.2019;0;11;11;49
03.03.2019;0;5;5;54
04.03.2019;0;6;6;71
