Station;032 Grunewald;032 Grunewald;032 Grunewald;032 Grunewald;032 Grunewald
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte

01.01.2019;12;0;2;3;64
02.01.2019;8;0;3;3;67
03.01.2019;7;0;10;10;43
04.01.2019;11;0;8;9;42
05.01.2019;6;0;6;7;52
06.01.2019;9;1;8;9;37
07.01.2019;10;5;13;21;24
08.01.2019;6;0;6;6;56
09.01.2019;3;0;5;5;57
10.01.2019;5;0;6;7;58
11.01.2019;11;0;10;10;42
12.01.2019;12;0;4;4;62
13.01.2019;5;0;2;3;64
14.01.2019;9;0;3;2;73
15.01.2019;11;0;8;7;55
16.01.2019;12;1;8;9;47
17.01.2019;8;0;8;7;52
18.01.2019;6;0;6;6;59
19.01.2019;17;5;22;29;27
20.01.2019;31;10;37;52;9
21.01.2019;30;1;22;23;24
22.01.2019;37;5;32;40;15
23.01.2019;49;3;;30;29
24.01.2019;31;0;;17;43
25.01.2019;30;0;15;16;34
26.01.2019;17;5;22;30;18
27.01.2019;8;0;12;12;35
28.01.2019;7;0;13;13;36
29.01.2019;11;1;13;14;36
30.01.2019;19;1;25;26;31
31.01.2019;24;4;29;36;20
01.02.2019;37;2;33;36;16
02.02.2019;44;1;20;22;13
03.02.2019;23;0;6;7;35
04.02.2019;14;1;13;14;36
05.02.2019;14;0;13;13;42
06.02.2019;17;1;18;20;32
07.02.2019;15;0;24;24;30
08.02.2019;13;0;12;12;45
09.02.2019;7;0;5;5;65
10.02.2019;6;0;7;8;56
11.02.2019;6;0;3;4;64
12.02.2019;8;0;4;5;67
13.02.2019;25;1;15;16;33
14.02.2019;19;0;14;15;38
15.02.2019;13;10;33;48;18
16.02.2019;13;10;26;41;31
17.02.2019;22;14;41;63;13
18.02.2019;23;27;41;82;15
19.02.2019;19;4;21;27;42
20.02.2019;15;1;9;10;58
21.02.2019;22;0;10;11;48
22.02.2019;9;1;13;14;52
23.02.2019;15;0;18;19;46
24.02.2019;17;2;25;28;36
25.02.2019;22;1;17;18;37
26.02.2019;35;1;19;19;31
27.02.2019;29;10;20;35;34
28.02.2019;37;1;20;20;41
01.03.2019;30;0;10;10;41
02.03.2019;16;0;13;13;46
03.03.2019;13;1;6;8;50
04.03.2019;8;0;7;7;69
05.03.2019;9;0;6;6;66
06.03.2019;12;3;17;22;44
07.03.2019;8;1;16;16;53
08.03.2019;7;0;4;4;76
09.03.2019;8;0;6;6;71
10.03.2019;7;1;6;7;75
11.03.2019;7;1;5;6;69
12.03.2019;10;1;6;6;70
13.03.2019;6;1;4;5;76
14.03.2019;6;0;6;7;68
15.03.2019;7;0;5;5;76
16.03.2019;9;0;6;6;71
17.03.2019;6;0;3;4;72
18.03.2019;7;0;4;4;75
19.03.2019;9;0;4;5;69
20.03.2019;14;2;10;13;59
21.03.2019;22;0;9;10;46
22.03.2019;25;2;21;24;18
23.03.2019;31;2;12;15;35
24.03.2019;14;0;8;8;59
25.03.2019;8;0;6;7;67
26.03.2019;8;0;4;4;68
27.03.2019;10;0;3;4;63
28.03.2019;12;0;5;6;49
29.03.2019;16;1;11;12;38
30.03.2019;17;5;16;24;47
31.03.2019;17;0;8;8;70
01.04.2019;9;1;12;13;68
02.04.2019;23;0;14;15;74
03.04.2019;37;1;23;25;72
04.04.2019;33;0;16;16;85
05.04.2019;35;1;18;19;41
06.04.2019;39;2;19;22;76
07.04.2019;36;1;14;15;86
08.04.2019;32;1;17;18;86
09.04.2019;21;1;10;11;86
10.04.2019;19;1;14;15;71
11.04.2019;10;1;11;11;72
12.04.2019;12;0;10;10;68
13.04.2019;20;0;10;10;71
14.04.2019;19;0;10;10;64
15.04.2019;18;1;15;16;75
16.04.2019;22;1;15;15;82
17.04.2019;27;1;16;18;77
18.04.2019;26;3;21;25;80
19.04.2019;26;0;12;12;104
20.04.2019;19;1;14;15;90
21.04.2019;16;0;13;13;89
22.04.2019;19;0;8;8;98
23.04.2019;35;0;7;7;103
24.04.2019;30;1;7;8;83
25.04.2019;15;1;10;11;88
26.04.2019;24;1;12;13;90
27.04.2019;14;0;5;5;67
28.04.2019;8;0;5;6;62
29.04.2019;16;1;8;10;60
30.04.2019;11;1;10;11;84
01.05.2019;21;1;5;6;76
02.05.2019;17;0;5;4;79
03.05.2019;10;0;4;3;85
04.05.2019;8;0;4;4;71
05.05.2019;8;0;5;6;67
06.05.2019;11;0;4;4;76
07.05.2019;10;0;5;5;67
08.05.2019;14;2;15;18;72
09.05.2019;8;0;10;10;70
10.05.2019;10;0;10;10;58
11.05.2019;11;0;9;9;57
12.05.2019;9;0;5;5;71
13.05.2019;9;0;7;8;65
14.05.2019;8;0;6;7;63
15.05.2019;7;0;7;8;71
16.05.2019;11;0;13;13;40
17.05.2019;15;2;16;18;48
18.05.2019;16;1;12;14;63
19.05.2019;18;2;16;19;68
20.05.2019;18;1;13;15;43
21.05.2019;17;2;13;15;57
22.05.2019;13;1;4;5;64
23.05.2019;10;1;8;9;66
24.05.2019;13;1;16;18;76
25.05.2019;8;0;6;7;67
26.05.2019;11;1;12;13;59
27.05.2019;11;1;13;15;49
28.05.2019;11;1;9;10;63
29.05.2019;8;0;6;6;78
30.05.2019;9;0;10;10;68
31.05.2019;16;1;9;10;47
01.06.2019;19;2;11;14;51
02.06.2019;;1;16;18;61
03.06.2019;;1;18;20;76
04.06.2019;21;0;16;16;87
05.06.2019;23;1;15;16;91
06.06.2019;21;0;8;8;87
07.06.2019;14;0;9;10;74
08.06.2019;12;0;7;8;76
09.06.2019;;0;8;9;71
10.06.2019;;0;11;12;80
11.06.2019;;0;9;10;83
12.06.2019;20;0;10;10;75
13.06.2019;12;1;13;14;54
14.06.2019;13;1;18;19;73
15.06.2019;24;0;9;9;107
16.06.2019;8;0;7;7;86
17.06.2019;15;1;15;16;74
18.06.2019;15;1;19;20;72
19.06.2019;19;0;16;17;93
20.06.2019;13;0;10;10;74
21.06.2019;14;0;7;7;69
22.06.2019;13;0;8;8;77
23.06.2019;10;0;5;5;91
24.06.2019;12;0;11;12;83
25.06.2019;27;0;14;14;98
26.06.2019;41;1;16;17;114
27.06.2019;14;0;3;3;82
28.06.2019;14;0;5;5;69
29.06.2019;14;0;7;7;78
30.06.2019;18;0;11;11;106
01.07.2019;17;0;4;4;91
02.07.2019;14;0;2;2;70
03.07.2019;11;0;3;4;66
04.07.2019;12;0;2;2;69
05.07.2019;12;0;3;2;66
06.07.2019;12;1;5;6;55
07.07.2019;11;0;5;5;59
08.07.2019;6;0;6;6;61
09.07.2019;6;1;8;9;55
10.07.2019;9;1;7;8;54
11.07.2019;12;1;9;10;69
12.07.2019;12;0;11;11;48
13.07.2019;13;2;8;11;52
14.07.2019;16;0;8;8;49
15.07.2019;11;0;8;9;53
16.07.2019;8;1;6;7;49
17.07.2019;13;0;10;10;52
18.07.2019;13;2;18;21;55
19.07.2019;15;1;16;17;66
20.07.2019;13;1;10;12;64
21.07.2019;15;1;11;12;55
22.07.2019;14;2;16;19;51
23.07.2019;16;3;18;23;48
24.07.2019;13;6;23;32;56
25.07.2019;16;4;17;23;63
26.07.2019;14;1;10;11;69
27.07.2019;19;0;6;7;81
28.07.2019;18;0;8;8;97
29.07.2019;22;1;16;16;79
30.07.2019;25;0;8;8;51
31.07.2019;17;3;9;12;46
01.08.2019;12;0;12;13;49
02.08.2019;12;4;17;23;34
03.08.2019;12;8;13;25;42
04.08.2019;11;3;12;16;48
05.08.2019;13;4;20;26;43
06.08.2019;15;1;16;17;63
07.08.2019;15;3;17;22;50
08.08.2019;13;1;10;11;64
09.08.2019;13;1;14;15;62
10.08.2019;13;0;9;10;62
11.08.2019;12;0;9;10;65
12.08.2019;24;0;7;7;72
13.08.2019;10;0;5;5;76
14.08.2019;10;0;6;5;72
15.08.2019;12;1;14;16;57
16.08.2019;11;0;5;5;53
17.08.2019;12;0;12;12;56
18.08.2019;8;0;8;8;38
19.08.2019;10;2;11;13;44
20.08.2019;11;3;18;22;48
21.08.2019;10;1;12;13;60
22.08.2019;13;5;27;35;58
23.08.2019;16;2;19;22;68
24.08.2019;19;1;15;16;77
25.08.2019;18;1;9;10;90
26.08.2019;24;0;19;19;71
27.08.2019;23;2;17;21;66
28.08.2019;22;1;13;14;83
29.08.2019;18;1;11;12;83
30.08.2019;19;0;15;15;90
31.08.2019;23;0;13;13;91
01.09.2019;19;0;6;6;90
02.09.2019;10;0;4;4;67
03.09.2019;13;2;12;14;55
04.09.2019;18;0;11;11;71
05.09.2019;12;0;4;4;63
06.09.2019;11;0;9;9;56
07.09.2019;15;1;17;19;43
08.09.2019;10;0;10;10;47
09.09.2019;7;1;10;12;49
10.09.2019;10;0;10;9;65
11.09.2019;11;6;25;34;45
12.09.2019;10;2;15;17;35
13.09.2019;11;7;16;27;32
14.09.2019;10;1;11;13;41
15.09.2019;11;2;14;17;53
16.09.2019;13;0;7;7;49
17.09.2019;10;0;6;6;51
18.09.2019;10;0;5;5;57
19.09.2019;8;0;6;7;50
20.09.2019;9;0;9;9;39
21.09.2019;10;4;17;23;35
22.09.2019;15;1;19;21;42
23.09.2019;19;2;23;26;47
24.09.2019;19;2;18;20;32
25.09.2019;15;3;16;21;15
26.09.2019;10;9;17;31;15
27.09.2019;8;2;12;16;22
28.09.2019;10;1;12;14;24
29.09.2019;9;1;10;11;30
30.09.2019;6;1;5;6;51
01.10.2019;9;0;12;12;27
02.10.2019;6;0;6;6;45
03.10.2019;6;1;4;5;31
04.10.2019;9;6;12;20;17
05.10.2019;10;0;9;9;32
06.10.2019;10;2;11;14;25
07.10.2019;11;4;20;25;21
08.10.2019;13;2;15;18;13
09.10.2019;11;3;11;15;29
10.10.2019;9;0;7;8;41
11.10.2019;10;0;10;10;32
12.10.2019;15;2;11;13;40
13.10.2019;23;2;18;21;27
14.10.2019;20;2;20;23;28
15.10.2019;34;6;21;30;20
16.10.2019;18;4;14;20;24
17.10.2019;15;3;16;21;16
18.10.2019;12;2;11;14;29
19.10.2019;13;2;15;18;17
20.10.2019;19;6;16;25;15
21.10.2019;28;16;18;42;4
22.10.2019;16;9;12;25;14
23.10.2019;26;7;19;28;14
24.10.2019;54;5;15;23;23
25.10.2019;20;9;17;31;19
26.10.2019;12;1;11;12;34
27.10.2019;10;0;6;7;51
28.10.2019;9;0;6;6;44
29.10.2019;11;1;13;15;22
30.10.2019;10;6;30;40;8
31.10.2019;17;18;31;58;11
01.11.2019;28;4;24;30;17
02.11.2019;10;1;12;14;15
03.11.2019;18;6;14;23;12
04.11.2019;16;7;15;26;11
05.11.2019;9;2;12;14;19
06.11.2019;12;0;9;10;25
07.11.2019;16;6;20;29;6
08.11.2019;21;11;24;40;4
09.11.2019;22;1;13;14;16
10.11.2019;20;4;15;20;10
11.11.2019;20;4;21;27;10
12.11.2019;17;2;19;22;11
13.11.2019;21;7;23;34;5
14.11.2019;19;4;21;28;13
15.11.2019;27;1;17;18;26
16.11.2019;25;2;19;22;8
17.11.2019;26;7;22;32;4
18.11.2019;23;5;22;30;6
19.11.2019;7;2;14;16;24
20.11.2019;16;1;19;21;16
21.11.2019;38;4;22;29;4
22.11.2019;29;7;24;34;4
23.11.2019;35;2;19;22;9
24.11.2019;38;2;18;20;10
25.11.2019;42;10;19;34;3
26.11.2019;25;8;20;32;4
27.11.2019;15;2;22;25;10
28.11.2019;7;0;8;8;43
29.11.2019;8;0;3;3;56
30.11.2019;11;1;8;9;34
01.12.2019;24;1;12;13;21
02.12.2019;13;0;7;7;42
03.12.2019;12;9;13;27;27
04.12.2019;16;8;17;29;22
05.12.2019;24;10;28;43;4
06.12.2019;21;1;24;26;21
07.12.2019;7;0;4;5;50
08.12.2019;7;0;4;4;55
09.12.2019;7;0;7;8;58
10.12.2019;12;2;13;16;43
11.12.2019;12;0;18;19;38
12.12.2019;15;4;23;28;15
13.12.2019;21;2;24;27;12
14.12.2019;9;0;10;11;40
15.12.2019;6;0;5;5;62
16.12.2019;9;11;29;47;18
17.12.2019;15;7;29;39;7
18.12.2019;8;8;18;30;37
19.12.2019;24;17;29;55;3
20.12.2019;25;14;28;50;7
21.12.2019;14;8;22;34;16
22.12.2019;19;7;25;35;5
23.12.2019;12;0;8;8;38
24.12.2019;11;0;8;8;40
25.12.2019;10;0;5;5;40
26.12.2019;10;0;4;4;43
27.12.2019;8;0;8;8;32
28.12.2019;6;1;7;8;40
29.12.2019;11;1;14;16;24
30.12.2019;11;2;21;24;26
31.12.2019;14;0;6;7;52
01.01.2020;24;4;12;18;37
02.01.2020;18;13;33;53;5
03.01.2020;11;0;12;13;32
04.01.2020;10;0;3;2;67
05.01.2020;12;1;12;13;36
06.01.2020;13;0;9;9;47
07.01.2020;18;1;16;17;16
08.01.2020;11;0;11;11;32
09.01.2020;13;1;16;17;13
10.01.2020;10;0;6;6;41
11.01.2020;8;0;6;6;55
12.01.2020;12;0;7;7;48
13.01.2020;10;1;13;14;35
14.01.2020;10;0;14;15;35
15.01.2020;10;0;14;15;43
16.01.2020;10;10;27;42;33
17.01.2020;24;5;27;35;18
18.01.2020;11;1;8;9;49
19.01.2020;16;1;5;5;46
20.01.2020;14;1;11;11;33
21.01.2020;14;1;18;20;32
22.01.2020;17;0;12;11;38
23.01.2020;12;3;12;16;31
24.01.2020;26;5;28;36;11
25.01.2020;16;1;14;15;23
26.01.2020;20;1;13;14;22
27.01.2020;23;7;19;29;20
28.01.2020;9;0;8;8;53
29.01.2020;8;0;8;7;61
30.01.2020;9;0;8;8;58
31.01.2020;9;0;8;7;52
01.02.2020;6;0;5;5;51
02.02.2020;9;0;4;4;64
03.02.2020;9;0;5;5;57
