Station;042 Neukölln;042 Neukölln;042 Neukölln;042 Neukölln;042 Neukölln;042 Neukölln;042 Neukölln
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon;Benzol;Toluol
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte

01.01.2019;25;3;13;17;57;0.7;0.6
02.01.2019;11;3;18;23;57;0.7;0.8
03.01.2019;11;6;32;41;35;1.1;2.1
04.01.2019;15;6;31;40;27;1.0;1.8
05.01.2019;8;2;17;20;46;0.8;1.6
06.01.2019;10;3;24;28;36;0.8;1.4
07.01.2019;15;14;34;56;15;1.1;1.9
08.01.2019;7;2;19;22;45;0.7;1.1
09.01.2019;5;3;20;24;44;0.9;1.5
10.01.2019;7;3;20;25;51;0.8;1.3
11.01.2019;15;7;33;43;25;0.9;1.8
12.01.2019;15;2;19;22;53;0.7;1.1
13.01.2019;6;1;14;15;58;0.6;0.9
14.01.2019;12;3;16;20;64;0.7;1.1
15.01.2019;14;4;21;27;45;0.8;1.4
16.01.2019;15;3;23;28;37;0.8;1.3
17.01.2019;11;10;25;40;39;0.9;1.2
18.01.2019;10;6;26;34;43;0.9;1.6
19.01.2019;24;6;33;43;25;1.4;1.8
20.01.2019;36;5;28;35;22;1.8;1.6
21.01.2019;35;7;36;47;15;1.7;1.7
22.01.2019;43;12;39;58;13;2.1;1.9
23.01.2019;56;5;23;31;31;3.3;2.2
24.01.2019;38;2;18;21;41;1.8;1.2
25.01.2019;35;5;29;37;29;1.9;1.9
26.01.2019;24;12;37;55;10;1.7;2.7
27.01.2019;12;2;21;25;31;1.0;1.3
28.01.2019;12;5;27;35;28;1.1;1.3
29.01.2019;16;5;35;43;25;1.4;2.1
30.01.2019;23;4;28;35;28;1.5;1.5
31.01.2019;35;9;41;54;16;2.1;2.0
01.02.2019;47;5;33;42;17;3.0;2.1
02.02.2019;51;10;29;44;10;3.7;3.1
03.02.2019;23;3;22;26;26;2.0;2.0
04.02.2019;18;10;34;49;24;1.4;1.7
05.02.2019;17;5;35;43;27;1.3;1.7
06.02.2019;22;5;32;41;28;1.3;1.5
07.02.2019;21;6;39;48;22;1.4;1.6
08.02.2019;18;4;25;31;36;1.0;1.4
09.02.2019;9;1;17;18;59;0.7;0.8
10.02.2019;8;1;18;18;53;0.7;0.9
11.02.2019;9;3;20;24;52;0.8;1.2
12.02.2019;13;5;30;38;51;0.9;1.6
13.02.2019;28;5;31;39;22;1.1;2.0
14.02.2019;28;19;44;73;24;1.5;2.9
15.02.2019;26;49;64;138;10;2.1;4.4
16.02.2019;24;26;51;91;18;1.9;3.7
17.02.2019;29;14;52;72;13;1.8;2.9
18.02.2019;38;38;60;119;9;2.2;4.3
19.02.2019;24;5;35;43;33;1.1;2.0
20.02.2019;18;4;28;35;43;0.9;1.7
21.02.2019;25;7;32;43;31;1.1;1.9
22.02.2019;11;2;17;20;52;1.1;1.3
23.02.2019;18;5;32;40;39;1.3;1.2
24.02.2019;24;21;62;94;18;1.9;3.3
25.02.2019;32;25;58;96;19;2.0;4.4
26.02.2019;45;21;49;80;15;1.9;3.8
27.02.2019;39;55;57;141;19;2.2;5.5
28.02.2019;42;6;36;46;28;1.2;2.1
01.03.2019;36;5;28;36;33;1.0;1.9
02.03.2019;20;2;26;30;42;0.9;1.4
03.03.2019;14;1;14;16;46;0.8;1.0
04.03.2019;9;2;17;21;60;0.6;0.8
05.03.2019;11;3;22;26;56;0.7;1.2
06.03.2019;14;4;27;32;43;0.9;1.2
07.03.2019;11;3;25;31;48;0.8;1.2
08.03.2019;9;1;15;16;68;0.6;0.7
09.03.2019;10;1;16;18;64;0.6;0.8
10.03.2019;9;1;14;14;71;0.6;0.7
11.03.2019;9;3;23;27;57;0.7;1.1
12.03.2019;12;2;20;23;59;0.6;1.1
13.03.2019;7;2;14;17;70;0.6;0.7
14.03.2019;8;2;18;22;58;0.6;0.9
15.03.2019;8;2;16;20;66;0.6;0.9
16.03.2019;11;1;17;18;63;0.6;0.9
17.03.2019;7;1;12;14;68;0.5;0.7
18.03.2019;8;3;17;21;64;0.7;1.0
19.03.2019;14;5;31;39;50;0.9;1.6
20.03.2019;18;9;37;51;48;0.9;1.9
21.03.2019;28;13;38;58;29;1.1;2.9
22.03.2019;29;6;30;39;25;0.9;2.2
23.03.2019;34;6;23;31;32;1.1;1.8
24.03.2019;15;2;21;24;59;0.8;1.2
25.03.2019;10;3;24;29;56;0.9;1.8
26.03.2019;11;3;23;27;58;0.8;1.4
27.03.2019;12;3;23;27;53;0.8;1.4
28.03.2019;12;4;26;33;39;0.9;1.9
29.03.2019;17;4;30;36;35;0.8;1.7
30.03.2019;24;3;31;35;49;0.9;1.8
31.03.2019;19;1;19;20;69;0.8;1.3
01.04.2019;13;1;17;18;71;0.7;0.8
02.04.2019;27;1;17;19;72;1.0;0.9
03.04.2019;41;2;24;26;76;1.1;1.2
04.04.2019;39;1;20;20;85;0.8;1.1
05.04.2019;43;4;23;28;44;1.0;1.8
06.04.2019;40;2;17;20;85;1.1;1.3
07.04.2019;38;1;14;15;95;0.9;1.0
08.04.2019;37;3;24;28;87;0.9;1.5
09.04.2019;25;2;14;17;82;0.8;0.9
10.04.2019;23;2;15;18;72;0.7;1.0
11.04.2019;15;2;14;17;66;0.7;0.9
12.04.2019;16;1;15;18;61;0.8;0.9
13.04.2019;21;1;14;15;68;0.8;1.0
14.04.2019;19;1;14;15;63;0.9;1.3
15.04.2019;19;2;16;19;76;0.8;1.2
