Station;077 Buch;077 Buch;077 Buch;077 Buch;077 Buch
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte

01.01.2019;13;0;3;3;61
02.01.2019;7;0;2;2;67
03.01.2019;6;1;11;12;45
04.01.2019;12;2;18;19;32
05.01.2019;6;0;2;3;49
06.01.2019;8;1;9;12;33
07.01.2019;14;16;24;49;13
08.01.2019;6;1;7;10;48
09.01.2019;3;1;3;4;55
10.01.2019;5;1;7;8;53
11.01.2019;12;2;17;21;32
12.01.2019;12;1;8;9;56
13.01.2019;5;0;6;5;62
14.01.2019;8;1;4;6;69
15.01.2019;11;1;10;11;51
16.01.2019;13;1;16;17;39
17.01.2019;10;3;16;21;43
18.01.2019;7;1;17;17;48
19.01.2019;22;6;23;33;18
20.01.2019;29;2;12;17;26
21.01.2019;31;5;32;39;21
22.01.2019;42;11;33;50;16
23.01.2019;54;2;16;19;35
24.01.2019;36;1;8;9;48
25.01.2019;33;1;18;19;35
26.01.2019;20;6;30;40;11
27.01.2019;10;1;15;16;32
28.01.2019;9;3;23;29;27
29.01.2019;14;3;22;27;27
30.01.2019;21;1;15;14;38
31.01.2019;37;2;23;26;21
01.02.2019;47;1;18;20;22
02.02.2019;47;2;14;19;16
03.02.2019;20;1;6;7;35
04.02.2019;16;4;24;29;28
05.02.2019;15;2;25;27;33
06.02.2019;20;4;28;34;28
07.02.2019;19;2;32;36;24
08.02.2019;16;2;21;25;36
09.02.2019;8;0;11;11;60
10.02.2019;7;0;9;10;56
11.02.2019;6;1;7;7;61
12.02.2019;8;3;16;21;57
13.02.2019;26;1;19;20;28
14.02.2019;24;15;29;52;28
15.02.2019;25;45;43;111;9
16.02.2019;20;23;41;75;16
17.02.2019;32;9;31;45;15
18.02.2019;33;27;49;89;11
19.02.2019;23;5;29;37;33
20.02.2019;17;1;17;19;47
21.02.2019;24;3;23;27;34
22.02.2019;10;1;8;9;53
23.02.2019;17;1;17;19;44
24.02.2019;24;10;38;53;22
25.02.2019;29;11;31;48;28
26.02.2019;39;7;26;38;19
27.02.2019;36;23;34;68;18
28.02.2019;39;4;28;33;29
01.03.2019;26;1;12;15;41
02.03.2019;17;1;18;19;46
03.03.2019;14;0;11;12;45
04.03.2019;8;1;11;12;61
05.03.2019;10;1;12;13;58
06.03.2019;14;5;20;28;44
07.03.2019;10;1;18;18;53
08.03.2019;8;1;8;9;70
09.03.2019;9;0;9;9;67
10.03.2019;8;0;7;6;74
11.03.2019;8;1;9;11;62
12.03.2019;11;2;13;16;62
13.03.2019;7;1;9;11;70
14.03.2019;7;1;10;12;59
15.03.2019;7;1;7;8;69
16.03.2019;10;0;10;10;66
17.03.2019;7;1;7;8;67
18.03.2019;7;1;10;11;65
19.03.2019;10;1;18;18;54
20.03.2019;17;6;21;31;49
21.03.2019;24;5;20;28;33
22.03.2019;24;3;13;19;26
23.03.2019;30;2;10;13;39
24.03.2019;12;0;11;11;55
25.03.2019;8;0;13;13;57
26.03.2019;9;1;14;15;56
27.03.2019;10;2;12;16;49
28.03.2019;9;0;9;9;47
29.03.2019;15;2;20;24;32
30.03.2019;20;2;23;26;44
31.03.2019;16;0;9;9;66
01.04.2019;10;2;9;12;63
02.04.2019;27;1;11;12;70
03.04.2019;40;0;14;15;74
04.04.2019;35;0;10;10;83
05.04.2019;40;2;16;19;44
06.04.2019;41;0;9;9;77
07.04.2019;34;0;9;8;85
08.04.2019;31;2;12;15;85
09.04.2019;19;0;6;6;81
10.04.2019;18;1;8;10;67
11.04.2019;9;0;3;4;71
12.04.2019;11;0;6;5;68
13.04.2019;19;0;5;5;72
14.04.2019;18;0;4;4;67
15.04.2019;16;0;6;6;80
16.04.2019;21;0;8;9;81
17.04.2019;22;0;8;9;83
18.04.2019;23;0;11;11;88
19.04.2019;24;0;6;7;98
20.04.2019;17;0;7;8;89
21.04.2019;16;0;7;7;86
22.04.2019;21;0;3;4;89
23.04.2019;41;0;5;5;97
24.04.2019;27;0;8;7;79
25.04.2019;17;1;10;13;81
26.04.2019;23;0;11;10;88
27.04.2019;14;0;8;8;62
28.04.2019;8;0;6;5;54
29.04.2019;17;0;5;4;59
30.04.2019;11;0;5;6;82
01.05.2019;22;0;10;11;65
02.05.2019;18;1;10;11;68
03.05.2019;10;1;6;7;75
04.05.2019;8;1;4;5;64
05.05.2019;7;0;11;11;58
06.05.2019;11;1;11;11;65
07.05.2019;9;1;7;8;58
08.05.2019;15;2;13;16;66
09.05.2019;8;0;11;12;53
10.05.2019;13;3;13;17;43
11.05.2019;11;1;6;8;58
12.05.2019;8;0;3;3;72
13.05.2019;7;3;6;11;62
14.05.2019;7;0;4;5;63
15.05.2019;6;0;3;3;69
16.05.2019;9;0;7;7;41
17.05.2019;15;3;10;14;39
18.05.2019;19;0;8;7;58
19.05.2019;16;0;7;8;68
20.05.2019;18;0;7;7;53
21.05.2019;16;1;8;9;58
22.05.2019;15;0;4;6;55
23.05.2019;10;0;5;6;64
24.05.2019;13;1;16;17;73
25.05.2019;9;0;6;7;62
26.05.2019;12;1;9;11;60
27.05.2019;11;0;16;15;50
28.05.2019;12;0;5;5;59
29.05.2019;8;0;5;4;71
30.05.2019;10;0;9;8;67
31.05.2019;13;1;9;12;43
01.06.2019;19;1;7;10;55
02.06.2019;16;0;7;8;69
03.06.2019;17;1;12;13;70
04.06.2019;18;1;9;9;70
05.06.2019;23;0;12;12;77
06.06.2019;23;0;11;11;69
07.06.2019;15;0;8;9;61
08.06.2019;13;0;7;7;65
09.06.2019;11;0;9;8;66
10.06.2019;19;0;7;7;58
11.06.2019;23;1;9;10;74
12.06.2019;19;0;8;8;65
13.06.2019;13;1;11;12;52
14.06.2019;14;0;8;7;72
15.06.2019;23;0;10;8;90
16.06.2019;8;0;7;5;86
17.06.2019;16;1;12;12;71
18.06.2019;16;0;10;9;70
19.06.2019;20;0;11;11;80
20.06.2019;14;1;12;14;67
21.06.2019;14;1;9;10;65
22.06.2019;12;0;4;4;69
23.06.2019;10;0;4;3;74
24.06.2019;11;0;10;8;73
25.06.2019;19;0;9;10;91
26.06.2019;26;1;11;14;113
27.06.2019;15;0;3;2;82
28.06.2019;14;1;7;7;63
29.06.2019;14;1;7;8;72
30.06.2019;19;0;9;10;102
01.07.2019;19;0;5;6;87
02.07.2019;19;0;5;5;66
03.07.2019;16;0;9;8;59
04.07.2019;13;0;7;8;59
05.07.2019;11;0;8;8;55
06.07.2019;12;0;9;9;48
07.07.2019;10;0;5;5;55
08.07.2019;8;0;;9;58
09.07.2019;8;0;;11;54
10.07.2019;11;1;;8;50
11.07.2019;13;2;12;15;66
12.07.2019;16;1;12;14;38
13.07.2019;14;1;8;9;39
14.07.2019;14;1;7;7;46
15.07.2019;11;1;11;14;46
16.07.2019;10;1;10;11;48
17.07.2019;12;1;9;10;48
18.07.2019;11;1;10;11;62
19.07.2019;18;2;15;18;46
20.07.2019;18;3;10;14;51
21.07.2019;14;0;7;7;59
22.07.2019;15;2;11;13;48
23.07.2019;16;2;11;13;50
24.07.2019;14;1;10;11;54
25.07.2019;15;1;9;10;51
26.07.2019;13;0;7;7;61
27.07.2019;18;0;6;5;68
28.07.2019;17;0;7;7;82
29.07.2019;25;1;10;11;73
30.07.2019;28;2;9;12;42
31.07.2019;16;2;9;11;44
01.08.2019;12;1;10;12;46
02.08.2019;15;3;11;16;30
03.08.2019;12;1;6;7;38
04.08.2019;12;0;6;6;46
05.08.2019;15;3;14;19;40
06.08.2019;17;6;18;26;42
07.08.2019;16;3;19;23;38
08.08.2019;14;2;15;18;53
09.08.2019;16;1;12;15;57
10.08.2019;12;0;12;12;59
11.08.2019;13;1;10;10;62
12.08.2019;13;1;10;11;61
13.08.2019;10;0;11;12;63
14.08.2019;10;2;13;16;55
15.08.2019;16;0;17;18;45
16.08.2019;12;1;11;11;42
17.08.2019;16;0;11;12;52
18.08.2019;8;0;9;10;32
19.08.2019;11;3;13;18;37
20.08.2019;13;5;15;23;37
21.08.2019;12;5;10;17;53
22.08.2019;14;1;13;14;62
23.08.2019;17;0;11;12;67
24.08.2019;20;0;7;7;71
25.08.2019;19;0;7;7;76
26.08.2019;25;1;9;10;70
27.08.2019;27;1;12;13;59
28.08.2019;26;0;16;16;79
29.08.2019;17;2;14;17;85
30.08.2019;20;0;10;9;79
31.08.2019;24;0;9;9;90
01.09.2019;19;0;8;8;93
02.09.2019;10;0;9;9;59
03.09.2019;15;3;20;25;43
04.09.2019;21;1;17;19;61
05.09.2019;15;1;10;11;55
06.09.2019;14;2;14;17;49
07.09.2019;17;0;11;12;45
08.09.2019;11;0;4;4;50
09.09.2019;9;1;6;7;44
10.09.2019;11;1;16;17;59
11.09.2019;14;5;27;35;52
12.09.2019;12;1;20;22;32
13.09.2019;12;3;17;21;31
14.09.2019;12;2;11;13;36
15.09.2019;14;1;16;18;48
16.09.2019;17;1;11;12;47
17.09.2019;10;1;11;11;44
18.09.2019;10;1;6;8;50
19.09.2019;8;4;13;19;34
20.09.2019;10;9;21;34;22
21.09.2019;18;2;18;22;35
22.09.2019;17;1;9;10;41
23.09.2019;21;1;14;15;45
24.09.2019;31;1;18;20;24
25.09.2019;23;4;20;26;11
26.09.2019;13;10;18;33;11
27.09.2019;12;5;20;28;16
28.09.2019;11;3;15;19;18
29.09.2019;10;2;10;13;27
30.09.2019;8;2;9;13;44
01.10.2019;11;4;19;25;20
02.10.2019;7;2;13;15;38
03.10.2019;7;1;6;6;29
04.10.2019;12;4;8;14;19
05.10.2019;12;0;3;3;31
06.10.2019;13;0;6;6;23
07.10.2019;15;5;14;21;25
08.10.2019;15;6;24;33;8
09.10.2019;13;4;18;24;22
10.10.2019;11;2;18;20;29
11.10.2019;14;3;18;22;23
12.10.2019;20;1;17;18;35
13.10.2019;26;1;14;15;33
14.10.2019;22;4;16;22;33
15.10.2019;37;2;14;17;19
16.10.2019;21;5;19;27;16
17.10.2019;15;4;22;28;12
18.10.2019;13;3;17;21;22
19.10.2019;14;0;14;15;22
20.10.2019;22;1;12;13;17
21.10.2019;31;26;20;60;3
22.10.2019;21;34;14;66;13
23.10.2019;29;7;9;19;13
24.10.2019;61;4;15;20;19
25.10.2019;25;13;23;43;14
26.10.2019;14;1;16;17;32
27.10.2019;12;0;13;13;40
28.10.2019;12;3;21;26;26
29.10.2019;12;1;10;12;28
30.10.2019;15;8;18;30;16
31.10.2019;30;15;20;42;14
01.11.2019;32;2;15;18;19
02.11.2019;13;2;13;16;12
03.11.2019;21;2;10;13;12
04.11.2019;17;14;22;44;2
05.11.2019;12;8;27;40;7
06.11.2019;12;4;21;27;13
07.11.2019;19;6;19;28;4
08.11.2019;27;7;17;28;7
09.11.2019;32;2;17;19;10
10.11.2019;27;4;16;22;10
11.11.2019;22;3;18;23;12
12.11.2019;21;4;22;28;10
13.11.2019;23;7;30;40;6
14.11.2019;25;5;22;29;13
15.11.2019;31;1;9;10;27
16.11.2019;30;2;21;24;8
17.11.2019;29;2;12;14;7
18.11.2019;24;4;18;24;13
19.11.2019;11;8;24;36;20
20.11.2019;21;1;13;14;17
21.11.2019;43;1;13;14;8
22.11.2019;33;5;18;27;6
23.11.2019;39;0;11;12;13
24.11.2019;40;1;9;10;16
25.11.2019;45;2;13;16;6
26.11.2019;33;12;23;41;2
27.11.2019;18;3;24;28;9
28.11.2019;9;2;17;20;35
29.11.2019;8;1;10;11;47
30.11.2019;14;10;25;39;19
01.12.2019;23;3;19;23;19
02.12.2019;15;2;13;17;34
03.12.2019;18;28;29;71;14
04.12.2019;23;19;29;58;14
05.12.2019;31;27;37;79;2
06.12.2019;24;4;33;40;14
07.12.2019;8;1;12;13;43
08.12.2019;9;1;12;14;44
09.12.2019;9;2;23;26;42
10.12.2019;17;6;30;39;29
11.12.2019;17;1;27;28;30
12.12.2019;21;8;32;44;8
13.12.2019;27;1;24;25;10
14.12.2019;11;3;24;28;28
15.12.2019;8;1;17;18;52
16.12.2019;14;10;37;53;15
17.12.2019;21;10;35;50;6
18.12.2019;16;16;35;59;23
19.12.2019;28;6;23;32;7
20.12.2019;29;3;22;25;14
21.12.2019;19;3;28;33;13
22.12.2019;22;1;15;16;13
23.12.2019;16;3;16;21;26
24.12.2019;14;1;17;18;31
25.12.2019;11;0;6;6;34
26.12.2019;10;0;10;10;35
27.12.2019;8;1;4;5;31
28.12.2019;7;1;6;7;36
29.12.2019;15;1;25;26;18
30.12.2019;14;7;39;49;10
31.12.2019;17;0;11;11;45
01.01.2020;30;2;20;22;32
02.01.2020;24;25;41;80;4
03.01.2020;13;2;20;23;28
04.01.2020;11;0;6;6;61
05.01.2020;15;3;22;26;27
06.01.2020;17;5;30;38;27
07.01.2020;22;14;29;51;8
08.01.2020;14;4;26;32;16
09.01.2020;15;5;23;31;8
10.01.2020;12;3;19;23;32
11.01.2020;10;1;13;15;47
12.01.2020;14;0;15;15;41
13.01.2020;14;8;29;40;23
14.01.2020;13;1;24;26;26
15.01.2020;12;1;24;26;35
16.01.2020;14;7;34;45;25
17.01.2020;26;2;23;25;24
18.01.2020;15;1;22;23;31
19.01.2020;20;1;13;14;39
20.01.2020;21;7;25;36;21
21.01.2020;18;7;29;40;20
22.01.2020;18;1;17;19;33
23.01.2020;18;15;27;50;24
24.01.2020;31;15;30;52;13
25.01.2020;18;1;21;23;14
26.01.2020;23;1;18;19;17
27.01.2020;27;11;26;43;16
28.01.2020;10;1;14;16;46
29.01.2020;10;1;11;12;54
30.01.2020;11;1;17;18;48
31.01.2020;11;1;17;19;44
01.02.2020;7;1;11;12;44
02.02.2020;10;0;8;8;57
03.02.2020;10;1;14;15;45
