Station;085 Friedrichshagen;085 Friedrichshagen;085 Friedrichshagen;085 Friedrichshagen;085 Friedrichshagen
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte

01.01.2019;19;0;7;7;57
02.01.2019;8;0;4;5;65
03.01.2019;8;1;17;18;44
04.01.2019;13;0;23;23;32
05.01.2019;7;0;7;7;49
06.01.2019;9;1;12;13;39
07.01.2019;16;2;20;22;19
08.01.2019;6;0;10;10;50
09.01.2019;4;0;5;5;50
10.01.2019;6;0;10;11;54
11.01.2019;13;1;18;20;33
12.01.2019;13;1;8;9;58
13.01.2019;5;0;6;7;61
14.01.2019;9;0;8;9;68
15.01.2019;12;0;14;14;50
16.01.2019;13;0;12;12;44
17.01.2019;10;1;10;11;50
18.01.2019;8;1;14;15;53
19.01.2019;17;1;16;18;31
20.01.2019;29;1;12;14;31
21.01.2019;28;1;22;24;30
22.01.2019;37;2;24;27;25
23.01.2019;52;2;18;21;36
24.01.2019;35;0;8;8;49
25.01.2019;35;1;16;18;36
26.01.2019;20;1;20;22;21
27.01.2019;9;0;7;8;46
28.01.2019;8;1;10;11;44
29.01.2019;14;1;20;21;36
30.01.2019;21;1;16;16;40
31.01.2019;32;1;20;21;33
01.02.2019;43;1;20;21;30
02.02.2019;50;3;21;25;15
03.02.2019;21;0;10;10;35
04.02.2019;15;3;18;23;36
05.02.2019;16;1;18;19;41
06.02.2019;20;2;17;19;41
07.02.2019;17;1;18;19;40
08.02.2019;15;1;13;14;48
09.02.2019;7;0;7;7;68
10.02.2019;6;1;5;6;66
11.02.2019;7;1;10;11;60
12.02.2019;10;1;18;20;61
13.02.2019;26;1;23;25;29
14.02.2019;23;3;29;34;31
15.02.2019;24;16;44;68;7
16.02.2019;16;2;26;29;29
17.02.2019;28;3;29;32;21
18.02.2019;28;8;33;45;21
19.02.2019;23;2;22;26;41
20.02.2019;18;1;17;18;52
21.02.2019;24;1;21;23;39
22.02.2019;10;0;6;7;58
23.02.2019;17;1;12;13;51
24.02.2019;25;3;28;32;29
25.02.2019;32;13;48;68;20
26.02.2019;43;6;42;51;16
27.02.2019;36;11;31;48;25
28.02.2019;42;3;29;33;32
01.03.2019;33;1;17;19;37
02.03.2019;18;1;13;14;50
03.03.2019;14;0;7;7;54
04.03.2019;8;0;6;7;71
05.03.2019;10;1;10;11;63
06.03.2019;13;1;10;12;55
07.03.2019;8;1;6;8;67
08.03.2019;7;0;6;7;74
09.03.2019;8;0;7;6;72
10.03.2019;8;0;6;6;76
11.03.2019;8;0;12;12;63
12.03.2019;10;0;9;9;67
13.03.2019;5;0;6;6;76
14.03.2019;6;0;7;7;67
15.03.2019;7;0;7;8;72
16.03.2019;9;0;4;4;72
17.03.2019;6;0;4;4;73
18.03.2019;7;0;7;7;71
19.03.2019;12;1;18;19;59
20.03.2019;17;3;23;27;53
21.03.2019;24;3;20;24;37
22.03.2019;26;3;14;19;26
23.03.2019;29;2;9;11;42
24.03.2019;14;1;9;10;60
25.03.2019;9;1;14;16;60
26.03.2019;10;1;13;14;63
27.03.2019;12;2;17;20;51
28.03.2019;10;1;11;12;47
29.03.2019;16;1;13;14;43
30.03.2019;19;1;11;13;55
31.03.2019;18;1;8;9;69
01.04.2019;9;2;8;11;70
02.04.2019;20;0;9;9;78
03.04.2019;37;1;11;12;85
04.04.2019;30;0;7;7;95
05.04.2019;41;1;12;14;52
06.04.2019;40;1;8;10;87
07.04.2019;38;1;7;8;95
08.04.2019;34;1;11;12;89
09.04.2019;19;0;6;6;80
10.04.2019;18;1;7;8;72
11.04.2019;10;1;5;7;68
12.04.2019;12;0;5;5;64
13.04.2019;20;0;5;5;71
14.04.2019;19;0;5;5;65
15.04.2019;17;1;6;7;80
16.04.2019;21;0;6;7;88
17.04.2019;24;1;8;9;85
18.04.2019;28;1;11;12;91
19.04.2019;27;0;7;7;105
20.04.2019;20;1;6;7;89
21.04.2019;16;0;6;6;97
22.04.2019;16;0;4;4;99
23.04.2019;25;1;4;5;101
24.04.2019;25;1;4;5;84
25.04.2019;19;0;8;8;91
26.04.2019;30;0;8;8;99
27.04.2019;15;0;6;7;71
28.04.2019;9;1;6;7;60
29.04.2019;18;0;7;7;63
30.04.2019;14;0;7;7;82
01.05.2019;24;1;11;12;70
02.05.2019;20;0;9;9;74
03.05.2019;12;0;6;5;80
04.05.2019;10;0;6;6;65
05.05.2019;8;1;9;10;61
06.05.2019;12;1;11;13;69
07.05.2019;10;1;9;11;62
08.05.2019;14;1;8;9;79
09.05.2019;10;0;6;7;78
10.05.2019;12;1;11;12;57
11.05.2019;12;0;6;6;68
12.05.2019;10;0;3;3;76
13.05.2019;10;1;6;7;67
14.05.2019;9;0;5;5;66
15.05.2019;8;0;4;4;71
16.05.2019;10;0;7;7;49
17.05.2019;14;2;7;9;53
18.05.2019;18;0;7;8;74
19.05.2019;19;0;6;7;80
20.05.2019;21;0;7;7;70
21.05.2019;17;1;7;9;74
22.05.2019;14;0;7;8;61
23.05.2019;11;1;7;8;69
24.05.2019;15;1;8;9;86
25.05.2019;11;0;6;7;67
26.05.2019;13;0;7;8;70
27.05.2019;14;1;8;10;62
28.05.2019;14;1;6;8;60
29.05.2019;9;0;5;6;75
30.05.2019;9;0;5;5;77
31.05.2019;13;1;7;9;56
01.06.2019;19;0;8;9;67
02.06.2019;18;0;6;5;79
03.06.2019;15;0;4;5;101
04.06.2019;15;0;7;7;102
05.06.2019;23;1;6;7;110
06.06.2019;22;1;8;9;90
07.06.2019;14;1;7;7;84
08.06.2019;11;0;5;6;82
09.06.2019;10;0;4;5;79
10.06.2019;19;0;6;6;90
11.06.2019;26;0;5;5;97
12.06.2019;19;0;5;6;92
13.06.2019;12;0;9;9;74
14.06.2019;14;1;5;7;101
15.06.2019;21;0;4;5;116
16.06.2019;9;1;6;8;90
17.06.2019;15;1;8;9;87
18.06.2019;12;1;5;6;93
19.06.2019;18;0;5;6;113
20.06.2019;14;1;9;10;93
21.06.2019;13;1;9;10;79
22.06.2019;13;1;3;4;80
23.06.2019;10;1;3;4;89
24.06.2019;12;0;5;5;93
25.06.2019;17;1;5;6;112
26.06.2019;29;0;7;7;127
27.06.2019;15;0;4;4;84
28.06.2019;16;1;7;7;68
29.06.2019;15;0;8;8;87
30.06.2019;18;0;6;6;112
01.07.2019;17;1;4;5;92
02.07.2019;16;1;4;6;67
03.07.2019;12;0;5;5;66
04.07.2019;13;1;6;7;65
05.07.2019;20;0;8;9;59
06.07.2019;12;0;7;7;59
07.07.2019;11;0;4;5;58
08.07.2019;7;1;7;9;58
09.07.2019;8;1;8;10;57
10.07.2019;11;2;8;10;53
11.07.2019;14;1;11;12;69
12.07.2019;15;1;8;9;56
13.07.2019;15;0;8;9;55
14.07.2019;15;0;6;7;52
15.07.2019;11;0;7;7;57
16.07.2019;9;1;7;8;50
17.07.2019;14;1;9;11;57
18.07.2019;10;0;6;5;75
19.07.2019;18;1;12;13;69
20.07.2019;15;1;8;9;73
21.07.2019;14;0;5;5;69
22.07.2019;15;1;8;9;68
23.07.2019;19;1;9;10;66
24.07.2019;17;1;8;9;66
25.07.2019;20;0;7;8;66
26.07.2019;15;0;5;5;70
27.07.2019;18;0;5;6;77
28.07.2019;17;0;5;5;97
29.07.2019;22;1;10;11;97
30.07.2019;25;1;8;10;67
31.07.2019;16;1;10;11;59
01.08.2019;12;1;13;15;59
02.08.2019;13;2;9;11;52
03.08.2019;14;2;9;12;50
04.08.2019;13;1;8;10;53
05.08.2019;12;1;8;10;64
06.08.2019;16;1;11;13;69
07.08.2019;15;0;11;10;56
08.08.2019;16;1;10;12;68
09.08.2019;15;1;10;12;85
10.08.2019;12;0;4;4;78
11.08.2019;12;1;6;7;79
12.08.2019;15;0;8;8;81
13.08.2019;11;0;7;7;77
14.08.2019;11;1;10;11;70
15.08.2019;10;1;6;7;73
16.08.2019;12;1;9;10;55
17.08.2019;12;0;8;8;69
18.08.2019;7;1;5;5;56
19.08.2019;11;1;10;12;52
20.08.2019;12;2;14;18;56
21.08.2019;12;1;12;13;70
22.08.2019;12;1;10;12;75
23.08.2019;15;1;7;8;82
24.08.2019;19;0;6;7;94
25.08.2019;16;0;4;4;104
26.08.2019;25;1;7;8;99
27.08.2019;23;1;8;9;92
28.08.2019;21;1;7;8;97
29.08.2019;20;1;11;12;101
30.08.2019;22;0;7;8;104
31.08.2019;21;1;6;7;116
01.09.2019;20;0;7;7;108
02.09.2019;11;1;8;9;68
03.09.2019;15;1;12;14;55
04.09.2019;18;0;11;12;78
05.09.2019;13;1;7;8;63
06.09.2019;12;1;9;10;59
07.09.2019;13;0;13;13;46
08.09.2019;12;0;8;8;61
09.09.2019;9;0;9;9;48
10.09.2019;10;1;9;10;72
11.09.2019;11;2;11;13;78
12.09.2019;11;1;10;10;51
13.09.2019;12;1;10;11;43
14.09.2019;13;1;12;14;43
15.09.2019;12;1;8;10;65
16.09.2019;17;1;10;11;52
17.09.2019;10;0;9;9;50
18.09.2019;11;0;8;8;56
19.09.2019;9;1;17;19;40
20.09.2019;12;7;20;31;33
21.09.2019;14;2;16;18;44
22.09.2019;15;1;9;10;54
23.09.2019;20;1;10;12;65
24.09.2019;30;2;14;17;33
25.09.2019;19;1;14;16;28
26.09.2019;12;3;13;17;28
27.09.2019;8;0;12;12;34
28.09.2019;8;1;7;8;44
29.09.2019;7;0;5;6;51
30.09.2019;6;0;6;6;56
01.10.2019;7;0;8;8;42
02.10.2019;6;1;10;11;47
03.10.2019;7;1;7;9;33
04.10.2019;8;2;8;11;30
05.10.2019;10;0;5;5;37
06.10.2019;9;0;6;6;35
07.10.2019;13;5;14;22;30
08.10.2019;11;1;12;12;28
09.10.2019;10;0;9;9;41
10.10.2019;8;1;10;11;46
11.10.2019;7;0;9;9;45
12.10.2019;12;0;10;10;52
13.10.2019;16;1;9;9;59
14.10.2019;17;1;13;15;53
15.10.2019;31;2;12;15;33
16.10.2019;17;1;11;12;35
17.10.2019;10;1;11;12;41
18.10.2019;9;1;9;11;44
19.10.2019;10;0;8;8;40
20.10.2019;18;1;11;11;33
21.10.2019;29;9;19;32;10
22.10.2019;24;18;19;47;10
23.10.2019;25;4;10;16;28
24.10.2019;45;1;14;15;37
25.10.2019;18;1;17;19;31
26.10.2019;9;0;9;9;53
27.10.2019;10;0;10;10;52
28.10.2019;10;1;15;18;40
29.10.2019;12;4;20;25;20
30.10.2019;11;12;19;36;22
31.10.2019;26;15;19;43;22
01.11.2019;28;1;14;16;29
02.11.2019;10;0;8;8;31
03.11.2019;17;1;9;11;20
04.11.2019;12;1;12;14;22
05.11.2019;8;1;13;14;29
06.11.2019;12;1;19;20;21
07.11.2019;13;1;13;14;20
08.11.2019;22;4;16;22;14
09.11.2019;25;2;17;20;15
10.11.2019;20;2;14;17;17
11.11.2019;17;1;13;14;22
12.11.2019;17;1;13;14;21
13.11.2019;16;1;17;18;21
14.11.2019;18;0;12;12;29
15.11.2019;26;0;11;9;32
16.11.2019;23;1;15;15;18
17.11.2019;24;1;11;12;15
18.11.2019;18;1;14;15;20
19.11.2019;8;2;17;20;28
20.11.2019;21;2;22;24;14
21.11.2019;34;1;14;15;10
22.11.2019;27;2;17;20;10
23.11.2019;32;1;12;13;15
24.11.2019;36;1;11;12;13
25.11.2019;40;2;12;15;5
26.11.2019;24;5;19;26;3
27.11.2019;15;1;15;16;18
28.11.2019;6;0;7;8;46
29.11.2019;7;1;10;11;51
30.11.2019;13;2;24;27;26
01.12.2019;25;1;23;25;17
02.12.2019;14;1;20;22;33
03.12.2019;13;3;22;27;22
04.12.2019;18;2;21;23;21
05.12.2019;25;2;21;24;16
06.12.2019;20;1;21;23;24
07.12.2019;8;0;8;9;47
08.12.2019;6;0;4;5;54
09.12.2019;6;0;7;8;58
10.12.2019;12;2;20;22;41
11.12.2019;11;0;14;14;42
12.12.2019;16;1;18;20;21
13.12.2019;23;2;20;23;15
14.12.2019;8;1;9;10;44
15.12.2019;5;0;6;7;63
16.12.2019;8;1;16;17;32
17.12.2019;16;1;17;18;19
18.12.2019;10;2;22;25;31
19.12.2019;21;3;21;26;9
20.12.2019;25;3;16;20;20
21.12.2019;15;0;17;17;26
22.12.2019;19;1;14;15;15
23.12.2019;13;1;16;17;31
24.12.2019;10;1;7;8;43
25.12.2019;10;0;10;10;37
26.12.2019;9;0;15;15;36
27.12.2019;8;1;9;10;32
28.12.2019;7;0;11;12;39
29.12.2019;13;1;13;14;31
30.12.2019;11;0;14;14;35
31.12.2019;18;1;15;16;46
01.01.2020;39;1;19;20;38
02.01.2020;18;2;21;24;20
03.01.2020;11;0;10;9;40
04.01.2020;9;0;9;8;63
05.01.2020;11;1;16;18;39
06.01.2020;14;2;12;14;46
07.01.2020;19;4;24;31;13
08.01.2020;10;0;12;12;33
09.01.2020;11;0;13;13;19
10.01.2020;9;0;11;11;42
11.01.2020;7;1;8;9;55
12.01.2020;12;1;6;7;50
13.01.2020;11;1;11;12;38
14.01.2020;10;1;11;12;40
15.01.2020;9;0;10;11;49
16.01.2020;11;2;23;27;34
17.01.2020;22;3;14;18;32
18.01.2020;13;1;13;15;40
19.01.2020;17;1;12;14;43
20.01.2020;15;5;23;30;29
21.01.2020;16;2;24;27;28
22.01.2020;17;2;25;27;31
23.01.2020;14;3;26;31;28
24.01.2020;27;4;23;29;18
25.01.2020;18;1;12;13;28
26.01.2020;20;0;13;13;25
27.01.2020;22;1;19;21;26
28.01.2020;8;0;9;8;58
29.01.2020;7;0;10;10;60
30.01.2020;8;0;9;8;59
31.01.2020;9;1;11;12;51
01.02.2020;5;0;7;7;51
02.02.2020;8;0;8;8;62
