Station;115 Hardenbergplatz;115 Hardenbergplatz;115 Hardenbergplatz;115 Hardenbergplatz
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte

01.01.2019;6;10;19;
02.01.2019;7;19;30;
03.01.2019;10;32;47;
04.01.2019;13;32;52;
05.01.2019;9;21;35;
06.01.2019;14;28;49;
07.01.2019;49;45;120;
08.01.2019;9;24;39;
09.01.2019;7;20;32;
10.01.2019;12;26;44;
11.01.2019;20;33;63;
12.01.2019;9;20;33;
13.01.2019;5;13;20;
14.01.2019;5;17;24;
15.01.2019;8;21;34;
16.01.2019;20;30;60;
17.01.2019;17;33;58;
18.01.2019;16;32;56;
19.01.2019;43;50;117;
20.01.2019;46;54;124;
21.01.2019;44;51;118;
22.01.2019;50;57;134;
23.01.2019;31;42;89;
24.01.2019;31;37;84;
25.01.2019;37;45;102;
26.01.2019;44;48;115;
27.01.2019;31;42;90;
28.01.2019;35;45;99;
29.01.2019;24;42;79;
30.01.2019;36;53;108;
31.01.2019;52;62;141;
01.02.2019;41;54;116;
02.02.2019;28;37;80;
03.02.2019;4;19;25;
04.02.2019;35;47;101;
05.02.2019;25;42;79;
06.02.2019;53;54;135;
07.02.2019;38;52;110;
08.02.2019;30;40;85;
09.02.2019;15;26;49;
10.02.2019;18;30;58;
11.02.2019;5;20;28;
12.02.2019;9;35;48;
13.02.2019;14;32;52;
14.02.2019;25;46;84;
15.02.2019;61;70;163;
16.02.2019;33;58;109;
17.02.2019;55;67;150;
18.02.2019;65;75;176;
19.02.2019;16;36;61;
20.02.2019;15;32;55;
21.02.2019;18;37;64;
22.02.2019;19;27;56;
23.02.2019;32;51;100;
24.02.2019;30;60;106;
25.02.2019;21;52;84;
26.02.2019;31;55;102;
27.02.2019;57;60;147;
28.02.2019;11;35;51;
01.03.2019;16;32;57;
02.03.2019;20;37;67;
03.03.2019;12;20;38;
04.03.2019;18;28;55;
05.03.2019;10;25;40;
06.03.2019;30;43;89;
07.03.2019;25;42;80;
