Station;117 Schildhornstraße;117 Schildhornstraße;117 Schildhornstraße;117 Schildhornstraße;117 Schildhornstraße;117 Schildhornstraße;117 Schildhornstraße
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Benzol;Toluol;Kohlenmonoxid
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;mg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte

01.01.2019;24;7;11;22;0.7;0.8;0.2
02.01.2019;11;8;21;34;0.6;0.9;0.2
03.01.2019;11;40;50;111;1.3;3.1;0.4
04.01.2019;15;30;38;84;1.1;2.1;0.3
05.01.2019;8;7;21;31;0.6;1.3;0.2
06.01.2019;11;11;29;47;0.9;1.5;0.3
07.01.2019;15;64;46;143;1.5;3.6;0.4
08.01.2019;7;25;31;69;1.0;1.7;0.3
09.01.2019;5;6;19;29;0.7;1.0;0.2
10.01.2019;7;14;29;51;0.8;1.2;0.3
11.01.2019;15;40;41;101;1.2;2.5;0.4
12.01.2019;16;16;25;49;0.7;1.5;0.2
13.01.2019;6;8;13;25;0.6;1.1;0.2
14.01.2019;12;21;28;60;0.8;1.4;0.2
15.01.2019;15;24;28;65;1.0;1.8;0.3
16.01.2019;15;28;33;75;0.9;2.0;0.3
17.01.2019;12;30;34;80;1.0;2.0;0.3
18.01.2019;11;34;41;93;1.1;2.2;0.3
19.01.2019;25;52;56;136;1.9;3.9;0.5
20.01.2019;41;26;50;90;2.2;3.0;0.5
21.01.2019;37;58;54;142;;4.4;0.6
22.01.2019;45;72;61;171;;;0.6
23.01.2019;60;32;45;94;2.4;1.9;0.6
24.01.2019;39;24;39;75;1.4;1.4;0.4
25.01.2019;39;56;50;136;1.7;2.3;0.5
26.01.2019;25;50;49;125;1.2;2.3;0.5
27.01.2019;10;20;32;63;0.7;1.2;0.3
28.01.2019;13;48;48;122;1.0;2.0;0.4
29.01.2019;16;48;50;123;1.1;1.9;0.4
30.01.2019;25;45;53;122;1.3;2.0;0.5
31.01.2019;36;80;64;186;;3.0;0.6
01.02.2019;47;49;58;133;;3.0;0.6
02.02.2019;58;36;38;94;3.2;2.7;0.7
03.02.2019;26;10;20;35;1.3;1.1;0.4
04.02.2019;19;44;46;112;;1.5;0.4
05.02.2019;18;39;45;104;0.9;1.6;0.4
06.02.2019;27;45;49;117;1.0;2.3;0.4
07.02.2019;25;43;51;117;1.1;2.2;0.4
08.02.2019;22;33;41;91;0.8;1.7;0.4
09.02.2019;12;12;22;41;0.4;0.7;0.3
10.02.2019;8;11;24;41;0.5;0.8;0.3
11.02.2019;10;20;29;60;0.5;0.9;0.3
12.02.2019;13;32;44;92;0.7;1.6;0.3
13.02.2019;30;29;35;79;0.7;1.4;0.4
14.02.2019;28;65;55;153;1.3;3.8;0.6
15.02.2019;29;107;84;247;2.3;7.5;0.8
16.02.2019;21;50;69;146;1.6;4.6;0.6
17.02.2019;31;55;70;154;1.6;4.5;0.7
18.02.2019;36;84;81;211;2.0;5.3;0.7
19.02.2019;28;34;44;95;0.8;1.9;0.4
20.02.2019;20;34;42;94;0.6;1.4;0.4
21.02.2019;27;37;43;99;;1.6;0.4
22.02.2019;13;13;33;53;;;0.3
23.02.2019;22;39;57;118;;;0.5
24.02.2019;25;41;67;129;;;0.6
25.02.2019;42;70;74;182;;3.3;0.6
26.02.2019;49;65;60;158;1.4;4.8;0.6
27.02.2019;43;84;72;199;1.6;5.0;0.7
28.02.2019;50;32;49;98;0.8;1.8;0.4
01.03.2019;39;29;38;82;0.6;1.6;0.3
02.03.2019;22;22;38;73;0.6;1.4;0.3
03.03.2019;16;9;18;32;0.4;0.8;0.3
04.03.2019;11;23;29;64;0.5;1.1;0.3
05.03.2019;14;21;30;63;0.5;1.0;0.3
06.03.2019;16;43;49;114;0.9;2.1;0.4
07.03.2019;14;34;44;96;0.7;1.7;0.3
08.03.2019;13;9;20;33;0.4;0.7;0.3
09.03.2019;11;14;24;45;0.4;0.7;0.2
10.03.2019;9;12;26;43;0.4;0.8;0.3
11.03.2019;9;28;35;78;0.5;0.9;0.3
12.03.2019;18;27;36;78;0.6;1.2;0.3
13.03.2019;15;18;25;53;0.4;0.8;0.3
14.03.2019;9;26;30;70;0.5;1.1;0.3
15.03.2019;10;21;26;58;0.4;0.9;0.3
16.03.2019;11;18;29;56;0.5;1.0;0.3
17.03.2019;7;7;18;29;0.3;0.6;0.2
18.03.2019;10;21;26;58;0.4;0.9;0.3
19.03.2019;14;28;45;88;0.6;1.3;0.4
20.03.2019;24;43;50;115;0.7;2.1;0.4
21.03.2019;31;44;49;115;0.9;2.7;0.5
22.03.2019;32;39;51;110;0.8;2.6;0.4
23.03.2019;38;18;28;56;0.6;1.4;0.3
24.03.2019;18;10;28;43;0.5;1.1;0.3
25.03.2019;11;27;41;81;0.5;1.1;0.3
26.03.2019;14;28;41;83;0.6;1.4;0.3
27.03.2019;15;29;39;83;0.5;1.2;0.3
28.03.2019;15;33;44;95;;;0.3
29.03.2019;20;40;49;110;;;0.4
30.03.2019;24;24;50;87;;;0.4
31.03.2019;22;6;23;32;;;0.3
01.04.2019;15;16;40;64;;;0.3
02.04.2019;30;25;50;89;;;0.4
03.04.2019;48;28;58;100;;;0.4
04.04.2019;44;23;57;92;;;0.4
05.04.2019;53;32;45;94;;;0.4
06.04.2019;50;7;35;46;;;0.4
07.04.2019;45;4;28;34;;;0.3
08.04.2019;74;31;50;97;;;0.4
09.04.2019;28;10;30;46;;;0.3
10.04.2019;25;16;37;62;;;0.3
11.04.2019;17;14;32;54;;;0.3
12.04.2019;17;15;35;58;;;0.3
13.04.2019;25;11;30;47;;;0.3
14.04.2019;23;7;26;38;;;0.3
15.04.2019;23;26;43;83;;;0.3
16.04.2019;30;28;54;96;;;0.4
17.04.2019;34;20;49;80;;;0.3
18.04.2019;36;22;59;93;;;0.4
19.04.2019;32;3;24;28;;;0.3
20.04.2019;26;8;34;46;;;0.3
21.04.2019;20;5;26;33;;;0.3
22.04.2019;25;2;16;19;;;0.2
23.04.2019;45;8;26;38;;;0.3
24.04.2019;36;19;42;70;;;0.3
25.04.2019;22;15;42;65;;;0.3
26.04.2019;38;18;42;69;;;0.3
27.04.2019;19;15;30;52;;;0.3
28.04.2019;10;7;18;29;;;0.2
