Station;124 Mariendorfer Damm;124 Mariendorfer Damm;124 Mariendorfer Damm;124 Mariendorfer Damm
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte

01.01.2019;30;12;15;34
02.01.2019;13;24;31;68
03.01.2019;13;58;54;143
04.01.2019;16;47;45;117
05.01.2019;10;20;30;61
06.01.2019;12;33;41;92
07.01.2019;17;81;46;171
08.01.2019;8;34;34;86
09.01.2019;6;31;34;82
10.01.2019;10;46;47;117
11.01.2019;17;60;45;136
12.01.2019;16;26;33;72
13.01.2019;6;15;20;43
14.01.2019;13;32;30;79
15.01.2019;16;36;34;89
16.01.2019;17;45;38;106
17.01.2019;15;48;42;116
18.01.2019;18;60;48;139
19.01.2019;33;47;46;118
20.01.2019;39;18;40;68
21.01.2019;42;72;51;161
22.01.2019;47;44;44;112
23.01.2019;56;7;24;35
24.01.2019;38;10;22;37
25.01.2019;48;80;50;172
26.01.2019;29;58;45;133
27.01.2019;11;15;28;51
28.01.2019;21;59;49;140
29.01.2019;18;78;57;176
30.01.2019;24;7;23;34
31.01.2019;39;21;37;69
01.02.2019;47;11;36;53
02.02.2019;58;51;40;119
03.02.2019;25;23;28;64
04.02.2019;23;68;49;153
05.02.2019;25;64;52;150
06.02.2019;38;46;44;114
07.02.2019;34;39;49;110
08.02.2019;32;36;39;94
09.02.2019;16;13;23;43
10.02.2019;8;8;22;34
11.02.2019;14;33;34;85
12.02.2019;18;55;55;139
13.02.2019;33;55;46;130
14.02.2019;39;94;64;207
15.02.2019;40;139;80;292
16.02.2019;28;72;68;177
17.02.2019;31;40;52;112
18.02.2019;50;130;75;274
19.02.2019;34;61;55;148
20.02.2019;27;64;58;155
21.02.2019;33;73;56;168
22.02.2019;13;22;29;62
23.02.2019;23;23;37;72
24.02.2019;31;60;69;160
25.02.2019;40;102;79;235
26.02.2019;53;112;70;241
27.02.2019;44;125;71;263
28.02.2019;;58;56;145
01.03.2019;42;69;54;160
02.03.2019;24;41;50;112
03.03.2019;17;11;19;36
04.03.2019;14;24;32;69
05.03.2019;14;40;43;104
06.03.2019;17;30;37;83
07.03.2019;15;26;40;81
08.03.2019;11;11;22;39
09.03.2019;12;17;29;55
10.03.2019;10;13;28;48
11.03.2019;12;46;49;118
12.03.2019;17;40;42;103
13.03.2019;11;24;31;67
14.03.2019;10;34;39;91
15.03.2019;12;32;34;82
16.03.2019;12;21;31;63
17.03.2019;9;12;22;41
18.03.2019;12;32;37;86
19.03.2019;18;64;61;158
20.03.2019;25;62;64;160
21.03.2019;35;83;60;188
22.03.2019;33;38;40;98
23.03.2019;37;31;34;81
24.03.2019;18;21;41;74
25.03.2019;14;46;53;124
26.03.2019;15;45;51;120
27.03.2019;17;55;54;139
28.03.2019;16;61;52;144
29.03.2019;26;78;59;178
30.03.2019;31;36;53;109
31.03.2019;22;15;33;56
01.04.2019;14;26;32;72
02.04.2019;26;4;16;23
03.04.2019;43;7;29;39
04.04.2019;39;6;21;30
05.04.2019;47;40;46;108
06.04.2019;46;6;29;38
07.04.2019;43;3;24;29
08.04.2019;47;48;52;126
09.04.2019;25;8;23;35
10.04.2019;22;9;27;40
11.04.2019;14;9;25;39
12.04.2019;15;8;27;40
13.04.2019;23;5;21;29
14.04.2019;21;3;18;23
15.04.2019;21;9;30;43
16.04.2019;26;5;25;33
17.04.2019;30;6;31;41
18.04.2019;33;9;38;52
19.04.2019;30;2;20;23
20.04.2019;26;12;38;56
21.04.2019;20;4;24;29
22.04.2019;22;1;10;11
23.04.2019;39;2;9;11
24.04.2019;33;2;11;15
25.04.2019;23;23;42;77
26.04.2019;35;22;43;77
27.04.2019;20;22;31;65
28.04.2019;12;20;28;58
29.04.2019;22;32;37;86
30.04.2019;20;38;60;117
01.05.2019;28;14;29;51
02.05.2019;26;38;44;102
03.05.2019;17;39;44;103
04.05.2019;14;32;41;90
05.05.2019;11;23;41;76
06.05.2019;19;49;52;127
07.05.2019;15;51;56;133
08.05.2019;21;10;31;46
09.05.2019;16;40;50;110
10.05.2019;20;49;52;127
11.05.2019;17;11;33;51
12.05.2019;13;13;26;45
13.05.2019;16;36;42;97
14.05.2019;12;12;25;43
15.05.2019;12;15;29;51
16.05.2019;13;21;34;65
17.05.2019;19;28;29;72
18.05.2019;21;9;27;41
19.05.2019;23;4;21;28
20.05.2019;23;11;30;46
21.05.2019;22;31;49;96
22.05.2019;17;34;35;86
23.05.2019;16;39;46;106
24.05.2019;23;37;63;120
25.05.2019;14;25;33;70
26.05.2019;16;13;26;46
27.05.2019;20;45;51;119
28.05.2019;19;41;45;108
29.05.2019;14;37;52;108
30.05.2019;14;11;26;44
31.05.2019;20;33;41;91
01.06.2019;21;23;43;78
02.06.2019;19;6;25;34
03.06.2019;24;24;49;86
04.06.2019;21;23;48;83
05.06.2019;26;2;17;21
06.06.2019;26;17;34;60
07.06.2019;18;28;32;75
08.06.2019;17;14;25;46
09.06.2019;14;8;19;31
10.06.2019;21;3;20;25
11.06.2019;29;17;36;62
12.06.2019;23;12;27;45
13.06.2019;17;28;34;77
14.06.2019;17;6;25;35
15.06.2019;27;7;22;33
16.06.2019;12;14;30;52
17.06.2019;20;21;48;81
18.06.2019;19;4;21;28
19.06.2019;26;10;37;52
20.06.2019;19;37;63;120
21.06.2019;17;36;53;108
22.06.2019;15;3;17;22
23.06.2019;12;2;10;12
24.06.2019;16;5;21;28
25.06.2019;25;4;29;35
26.06.2019;32;28;66;108
27.06.2019;19;26;34;73
28.06.2019;20;39;45;105
29.06.2019;19;18;46;74
30.06.2019;22;8;34;47
01.07.2019;22;33;46;96
02.07.2019;18;31;32;78
03.07.2019;17;36;38;94
04.07.2019;17;42;43;107
05.07.2019;15;36;37;92
06.07.2019;16;21;30;62
07.07.2019;14;14;18;39
08.07.2019;12;40;39;101
09.07.2019;12;40;38;100
10.07.2019;15;34;33;84
11.07.2019;20;43;54;119
12.07.2019;18;43;48;115
13.07.2019;17;18;34;61
14.07.2019;19;15;23;46
15.07.2019;16;38;39;97
16.07.2019;12;36;32;86
17.07.2019;18;42;45;110
18.07.2019;14;9;25;40
19.07.2019;22;38;55;113
20.07.2019;19;10;25;40
21.07.2019;18;13;25;44
22.07.2019;21;38;48;106
23.07.2019;22;35;49;103
24.07.2019;22;25;43;81
25.07.2019;23;11;28;45
26.07.2019;19;6;19;29
27.07.2019;20;3;11;15
28.07.2019;19;2;17;20
