Station;143 Silbersteinstraße;143 Silbersteinstraße;143 Silbersteinstraße;143 Silbersteinstraße
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte

01.01.2019;32;8;11;23
02.01.2019;13;7;22;33
03.01.2019;17;9;36;51
04.01.2019;19;15;35;57
05.01.2019;11;8;22;34
06.01.2019;15;13;31;51
07.01.2019;19;93;51;193
08.01.2019;9;23;30;64
09.01.2019;7;8;23;36
10.01.2019;10;14;29;50
11.01.2019;20;57;45;132
12.01.2019;19;18;29;56
13.01.2019;7;9;18;31
14.01.2019;13;6;18;27
15.01.2019;18;15;26;48
16.01.2019;20;49;42;117
17.01.2019;18;50;44;121
18.01.2019;16;30;37;82
19.01.2019;31;84;56;184
20.01.2019;42;60;49;142
21.01.2019;42;88;57;192
22.01.2019;52;98;60;211
23.01.2019;69;77;55;173
24.01.2019;49;72;51;162
25.01.2019;43;55;46;130
26.01.2019;30;84;53;181
27.01.2019;13;37;42;99
28.01.2019;18;67;50;153
29.01.2019;19;41;45;108
30.01.2019;35;81;59;182
31.01.2019;46;109;69;235
01.02.2019;59;99;61;213
02.02.2019;61;41;35;99
03.02.2019;28;6;20;30
04.02.2019;21;70;54;161
05.02.2019;21;54;51;134
06.02.2019;34;71;55;162
07.02.2019;32;61;56;149
08.02.2019;27;50;48;124
09.02.2019;14;23;33;68
10.02.2019;10;22;34;67
11.02.2019;11;6;19;28
12.02.2019;16;13;34;53
13.02.2019;34;18;35;62
14.02.2019;38;49;53;128
15.02.2019;39;144;82;302
16.02.2019;36;114;77;252
17.02.2019;41;89;72;208
18.02.2019;58;173;88;353
19.02.2019;35;45;50;118
20.02.2019;25;24;42;79
21.02.2019;32;39;44;104
22.02.2019;16;36;41;97
23.02.2019;26;58;60;150
24.02.2019;37;66;72;173
25.02.2019;42;52;66;145
26.02.2019;54;46;57;128
27.02.2019;54;122;74;259
28.02.2019;49;17;43;69
01.03.2019;43;28;37;81
02.03.2019;25;32;46;94
03.03.2019;18;19;28;56
04.03.2019;16;35;37;90
05.03.2019;16;21;34;67
06.03.2019;20;54;48;130
07.03.2019;17;50;51;128
08.03.2019;12;9;21;34
09.03.2019;12;12;25;44
10.03.2019;12;18;32;59
11.03.2019;13;20;36;66
12.03.2019;18;34;42;94
13.03.2019;12;28;33;76
14.03.2019;11;36;39;95
15.03.2019;11;20;26;57
16.03.2019;13;29;35;79
17.03.2019;10;13;25;44
18.03.2019;13;25;35;73
19.03.2019;19;17;37;63
20.03.2019;25;47;54;125
21.03.2019;37;45;49;118
22.03.2019;39;70;54;161
23.03.2019;40;21;26;58
24.03.2019;18;9;29;44
25.03.2019;14;13;32;52
26.03.2019;14;8;29;41
27.03.2019;16;11;32;49
28.03.2019;17;10;30;45
29.03.2019;25;58;54;143
30.03.2019;32;43;61;126
31.03.2019;23;7;25;36
01.04.2019;19;70;64;171
02.04.2019;32;50;62;138
03.04.2019;64;58;73;162
04.04.2019;46;52;70;150
05.04.2019;51;53;50;132
06.04.2019;50;28;50;94
07.04.2019;43;16;38;62
08.04.2019;45;32;52;101
09.04.2019;26;15;30;53
10.04.2019;25;36;41;96
11.04.2019;15;21;30;62
12.04.2019;17;24;32;69
13.04.2019;25;18;30;57
14.04.2019;23;10;23;38
15.04.2019;22;27;38;79
16.04.2019;32;47;57;129
17.04.2019;34;42;58;122
18.04.2019;37;39;66;125
19.04.2019;30;12;37;56
20.04.2019;26;15;42;65
21.04.2019;20;15;33;56
22.04.2019;25;12;23;41
23.04.2019;46;28;41;84
24.04.2019;36;33;46;97
25.04.2019;25;30;56;102
26.04.2019;34;26;42;81
27.04.2019;20;15;28;52
28.04.2019;11;4;15;21
29.04.2019;22;8;22;34
30.04.2019;18;12;40;58
01.05.2019;27;3;19;24
02.05.2019;24;15;28;52
03.05.2019;14;8;20;32
04.05.2019;12;9;22;36
05.05.2019;11;7;29;39
06.05.2019;15;13;29;50
07.05.2019;14;17;34;60
08.05.2019;22;37;51;108
09.05.2019;16;46;53;124
10.05.2019;18;25;39;77
11.05.2019;16;17;37;64
12.05.2019;11;5;16;23
13.05.2019;13;12;29;47
14.05.2019;12;11;22;39
15.05.2019;11;13;25;44
16.05.2019;15;38;40;99
17.05.2019;24;56;51;136
18.05.2019;25;32;50;98
19.05.2019;24;15;35;58
20.05.2019;25;24;43;79
21.05.2019;22;30;42;88
22.05.2019;17;4;19;26
23.05.2019;15;16;32;56
24.05.2019;21;32;54;102
25.05.2019;13;7;20;31
26.05.2019;17;12;29;48
27.05.2019;19;28;39;82
28.05.2019;18;11;26;43
29.05.2019;12;12;26;44
30.05.2019;14;9;24;39
31.05.2019;19;21;35;68
01.06.2019;23;15;36;60
02.06.2019;21;16;39;64
03.06.2019;21;46;71;141
04.06.2019;20;27;59;100
05.06.2019;30;43;70;135
06.06.2019;26;26;47;87
07.06.2019;17;33;45;96
08.06.2019;16;18;28;56
09.06.2019;14;16;29;54
10.06.2019;23;10;31;45
11.06.2019;30;35;50;103
12.06.2019;24;30;51;96
13.06.2019;18;43;57;122
14.06.2019;20;42;69;134
15.06.2019;27;14;30;51
16.06.2019;12;4;20;27
17.06.2019;22;40;66;127
18.06.2019;20;41;60;122
19.06.2019;26;45;78;147
20.06.2019;17;24;46;83
21.06.2019;16;13;33;53
22.06.2019;15;11;27;43
23.06.2019;12;8;21;33
24.06.2019;18;35;51;104
25.06.2019;27;31;76;124
26.06.2019;31;17;43;69
27.06.2019;16;5;14;21
28.06.2019;17;9;22;36
29.06.2019;19;19;49;78
30.06.2019;21;11;38;54
01.07.2019;19;9;22;35
02.07.2019;15;5;12;19
03.07.2019;13;6;15;24
04.07.2019;14;8;18;30
05.07.2019;12;6;15;23
06.07.2019;15;11;22;38
07.07.2019;12;2;8;12
08.07.2019;9;10;20;36
09.07.2019;9;7;17;27
10.07.2019;12;7;16;26
11.07.2019;18;22;43;76
12.07.2019;17;21;36;68
13.07.2019;16;7;23;34
14.07.2019;17;3;12;16
15.07.2019;14;9;20;34
16.07.2019;11;9;18;31
17.07.2019;16;11;24;41
18.07.2019;17;33;50;101
19.07.2019;21;18;40;67
20.07.2019;19;23;45;79
21.07.2019;16;3;15;20
22.07.2019;20;22;38;71
23.07.2019;19;12;33;50
24.07.2019;21;30;51;97
25.07.2019;22;28;42;85
26.07.2019;17;14;27;49
27.07.2019;19;12;23;41
28.07.2019;20;12;33;50
