Station;145 Frohnau;145 Frohnau;145 Frohnau;145 Frohnau
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte

01.01.2019;0;3;3;61
02.01.2019;0;4;3;63
03.01.2019;1;20;22;33
04.01.2019;0;11;11;36
05.01.2019;0;4;5;48
06.01.2019;0;10;10;28
07.01.2019;3;15;19;21
08.01.2019;0;7;6;52
09.01.2019;0;3;4;54
10.01.2019;1;7;8;54
11.01.2019;1;11;12;38
12.01.2019;0;4;4;59
13.01.2019;0;3;3;63
14.01.2019;0;4;4;69
15.01.2019;0;8;8;52
16.01.2019;0;9;10;45
17.01.2019;0;8;7;50
18.01.2019;0;8;9;54
19.01.2019;2;20;24;22
20.01.2019;1;13;14;30
21.01.2019;1;19;20;30
22.01.2019;13;35;56;15
23.01.2019;1;17;19;36
24.01.2019;0;8;8;49
25.01.2019;1;14;15;39
26.01.2019;11;29;46;10
27.01.2019;1;17;18;30
28.01.2019;1;15;17;33
29.01.2019;1;15;17;33
30.01.2019;1;18;19;36
31.01.2019;4;28;34;16
01.02.2019;1;22;24;21
02.02.2019;1;15;16;18
03.02.2019;0;9;9;34
04.02.2019;2;19;22;29
05.02.2019;1;15;16;38
06.02.2019;3;23;27;29
07.02.2019;2;32;35;26
08.02.2019;1;12;13;47
09.02.2019;0;6;7;65
10.02.2019;0;10;10;56
11.02.2019;0;5;5;63
12.02.2019;1;12;14;62
13.02.2019;1;13;15;33
14.02.2019;2;18;21;36
15.02.2019;12;34;52;17
16.02.2019;15;30;53;25
17.02.2019;8;34;47;11
18.02.2019;8;34;46;15
19.02.2019;6;20;29;39
20.02.2019;0;12;12;50
21.02.2019;1;13;14;41
22.02.2019;0;6;6;58
23.02.2019;2;26;30;38
24.02.2019;8;31;43;27
25.02.2019;6;29;38;32
26.02.2019;5;28;36;18
27.02.2019;12;22;40;27
28.02.2019;2;24;28;29
01.03.2019;1;12;13;41
02.03.2019;0;11;11;50
03.03.2019;0;5;5;51
04.03.2019;0;7;7;68
