Station;171 Mitte;171 Mitte;171 Mitte;171 Mitte
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte

01.01.2019;24;3;12;17
02.01.2019;9;1;15;17
03.01.2019;9;3;33;38
04.01.2019;14;3;28;33
05.01.2019;7;1;17;18
06.01.2019;10;2;21;24
07.01.2019;14;14;33;54
08.01.2019;7;1;17;19
09.01.2019;4;2;15;17
10.01.2019;6;2;20;23
11.01.2019;15;3;29;34
12.01.2019;14;1;17;18
13.01.2019;5;1;13;14
14.01.2019;14;2;16;19
15.01.2019;14;2;22;25
16.01.2019;16;2;24;26
17.01.2019;12;2;23;27
18.01.2019;10;3;24;28
19.01.2019;24;4;32;39
20.01.2019;37;3;25;30
21.01.2019;36;6;38;47
22.01.2019;45;11;38;56
23.01.2019;59;4;24;30
24.01.2019;38;1;16;17
25.01.2019;36;4;27;34
26.01.2019;23;9;35;48
27.01.2019;13;1;21;23
28.01.2019;11;3;27;31
29.01.2019;16;4;33;39
30.01.2019;24;4;28;34
31.01.2019;37;7;36;46
01.02.2019;49;4;32;38
02.02.2019;52;6;25;34
03.02.2019;24;2;18;21
04.02.2019;19;5;30;38
05.02.2019;18;3;30;35
06.02.2019;23;4;27;34
07.02.2019;21;4;37;42
08.02.2019;19;2;25;28
09.02.2019;9;1;14;15
10.02.2019;9;0;16;16
11.02.2019;8;3;18;23
12.02.2019;11;2;24;27
13.02.2019;30;4;30;36
14.02.2019;29;9;41;55
15.02.2019;35;50;65;142
16.02.2019;24;18;50;78
17.02.2019;36;20;53;84
18.02.2019;44;35;60;113
19.02.2019;27;5;35;42
20.02.2019;20;3;26;31
21.02.2019;27;4;31;37
22.02.2019;10;1;13;14
23.02.2019;19;2;31;35
24.02.2019;24;8;58;71
25.02.2019;35;16;57;81
26.02.2019;47;17;47;73
27.02.2019;44;51;57;136
28.02.2019;44;7;36;46
01.03.2019;37;4;24;31
02.03.2019;20;2;22;25
03.03.2019;16;1;15;16
04.03.2019;11;1;17;18
05.03.2019;12;2;19;22
06.03.2019;17;3;25;29
07.03.2019;12;2;26;29
08.03.2019;9;1;12;14
09.03.2019;10;1;13;14
10.03.2019;9;1;13;14
11.03.2019;10;4;22;28
12.03.2019;14;2;18;20
13.03.2019;8;1;14;16
14.03.2019;9;1;18;20
15.03.2019;9;2;16;19
16.03.2019;11;2;15;18
17.03.2019;7;1;12;14
18.03.2019;9;2;16;19
19.03.2019;13;3;24;29
20.03.2019;19;5;32;40
21.03.2019;29;5;32;40
22.03.2019;29;3;28;32
23.03.2019;35;5;21;29
24.03.2019;14;1;16;18
25.03.2019;10;3;21;26
26.03.2019;11;2;22;25
27.03.2019;13;3;23;27
28.03.2019;12;6;25;34
29.03.2019;18;7;33;43
30.03.2019;25;6;42;51
31.03.2019;19;1;17;19
01.04.2019;13;2;20;23
02.04.2019;25;2;20;22
03.04.2019;42;3;26;30
04.04.2019;39;2;23;27
05.04.2019;43;4;28;35
06.04.2019;43;1;16;18
07.04.2019;38;1;10;11
08.04.2019;38;3;22;26
09.04.2019;22;1;11;12
10.04.2019;20;1;14;16
11.04.2019;11;2;11;14
12.04.2019;13;1;11;12
13.04.2019;20;0;10;10
14.04.2019;19;0;8;9
15.04.2019;18;1;13;15
16.04.2019;25;1;17;18
17.04.2019;27;1;17;19
18.04.2019;29;2;22;25
19.04.2019;27;1;10;11
20.04.2019;21;1;13;14
21.04.2019;17;1;11;12
22.04.2019;23;1;7;8
23.04.2019;40;1;10;11
24.04.2019;33;1;13;14
25.04.2019;23;2;19;23
26.04.2019;32;2;21;24
27.04.2019;16;3;16;20
28.04.2019;9;2;14;17
29.04.2019;18;3;17;21
30.04.2019;14;2;20;22
01.05.2019;24;2;15;18
02.05.2019;21;3;17;21
03.05.2019;13;5;16;23
04.05.2019;25;2;16;19
05.05.2019;8;2;18;21
06.05.2019;14;4;20;25
07.05.2019;11;3;22;27
08.05.2019;24;3;25;30
09.05.2019;11;3;19;23
10.05.2019;14;4;25;31
11.05.2019;14;1;14;16
12.05.2019;9;1;9;10
13.05.2019;12;3;16;20
14.05.2019;11;1;10;12
15.05.2019;10;1;12;14
16.05.2019;11;3;21;26
17.05.2019;18;7;23;33
18.05.2019;22;5;27;35
19.05.2019;18;1;18;20
20.05.2019;20;1;14;16
21.05.2019;17;2;22;26
22.05.2019;14;2;16;19
23.05.2019;12;6;18;27
24.05.2019;18;3;28;33
25.05.2019;10;2;14;16
26.05.2019;13;4;19;24
27.05.2019;14;4;20;26
28.05.2019;14;2;17;21
29.05.2019;10;2;13;15
30.05.2019;12;3;17;21
31.05.2019;15;3;19;24
01.06.2019;19;4;27;33
02.06.2019;20;2;17;19
03.06.2019;22;2;19;23
04.06.2019;18;1;16;18
05.06.2019;28;1;16;18
06.06.2019;25;1;18;20
07.06.2019;15;2;14;18
08.06.2019;13;3;14;19
09.06.2019;11;2;11;15
10.06.2019;20;1;12;13
11.06.2019;;;;
12.06.2019;;;;
13.06.2019;13;3;21;25
14.06.2019;16;1;18;20
15.06.2019;24;2;14;17
16.06.2019;10;1;15;16
17.06.2019;17;2;22;25
18.06.2019;18;2;16;19
19.06.2019;26;2;19;23
20.06.2019;15;3;21;25
21.06.2019;14;2;17;19
22.06.2019;13;1;8;8
23.06.2019;10;0;6;6
24.06.2019;14;1;13;15
25.06.2019;27;1;26;28
26.06.2019;28;2;25;28
27.06.2019;16;4;12;19
28.06.2019;16;2;13;15
29.06.2019;20;3;35;40
30.06.2019;22;2;28;32
01.07.2019;20;3;15;19
02.07.2019;18;2;12;14
03.07.2019;13;7;12;24
04.07.2019;14;5;14;22
05.07.2019;12;2;13;16
06.07.2019;14;3;16;20
07.07.2019;10;2;8;11
08.07.2019;8;4;16;22
09.07.2019;;2;14;18
10.07.2019;;3;15;19
11.07.2019;19;4;26;33
12.07.2019;15;2;21;24
13.07.2019;14;3;16;21
14.07.2019;15;2;13;15
15.07.2019;13;4;16;22
16.07.2019;11;4;15;21
17.07.2019;16;3;16;21
18.07.2019;16;2;17;20
19.07.2019;20;3;28;33
20.07.2019;20;3;27;31
21.07.2019;14;2;12;14
22.07.2019;17;2;21;24
23.07.2019;18;2;17;20
24.07.2019;19;2;15;18
25.07.2019;22;2;16;19
26.07.2019;17;1;8;10
27.07.2019;23;1;7;9
28.07.2019;18;1;9;10
29.07.2019;26;2;25;27
30.07.2019;24;3;17;21
