Station;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon;Benzol;Toluol;Kohlenmonoxid;Schwefeldioxid
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;mg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte

01.01.2019;64;24;20;56;47;1.5;1.0;0.3;4
02.01.2019;12;3;17;22;57;0.5;0.6;0.2;0
03.01.2019;14;11;37;54;30;0.9;1.2;0.3;1
04.01.2019;17;42;47;111;18;1.1;2.2;0.4;1
05.01.2019;10;4;18;24;41;0.5;0.8;0.2;0
06.01.2019;11;5;22;29;35;0.7;0.8;0.2;0
07.01.2019;20;55;47;131;10;;3.1;0.4;0
08.01.2019;9;20;33;63;34;;1.6;0.3;0
09.01.2019;6;4;18;25;44;0.7;0.7;0.2;0
10.01.2019;9;9;28;42;43;0.7;0.9;0.3;0
11.01.2019;18;32;43;91;19;1.2;2.2;0.4;1
12.01.2019;19;17;34;60;40;0.8;1.5;0.3;0
13.01.2019;7;10;24;40;48;0.7;1.1;0.3;1
14.01.2019;18;15;28;51;53;0.7;1.0;0.3;0
15.01.2019;17;41;45;107;29;1.0;1.8;0.3;0
16.01.2019;20;23;35;70;27;0.9;1.8;0.3;0
17.01.2019;17;24;37;74;29;1.0;1.9;0.3;1
18.01.2019;14;32;41;90;34;0.9;1.6;0.4;0
19.01.2019;30;34;49;100;17;1.6;2.8;0.5;1
20.01.2019;38;12;29;47;23;1.7;1.7;0.4;1
21.01.2019;44;37;47;104;10;1.9;2.4;0.5;2
22.01.2019;57;55;52;137;8;3.0;3.7;0.6;3
23.01.2019;66;41;41;104;20;3.6;2.7;0.6;2
24.01.2019;45;34;37;89;28;2.3;2.1;0.5;1
25.01.2019;42;31;40;87;21;2.0;2.3;0.5;2
26.01.2019;32;38;45;103;7;1.9;3.1;0.5;1
27.01.2019;14;13;32;53;23;1.1;1.9;0.3;2
28.01.2019;18;32;44;93;19;1.4;2.4;0.4;2
29.01.2019;20;47;53;125;15;1.5;2.3;0.4;1
30.01.2019;32;45;47;116;18;1.7;2.3;0.5;2
31.01.2019;52;65;56;155;10;2.7;3.6;0.6;3
01.02.2019;62;49;50;124;10;3.4;3.2;0.7;3
02.02.2019;60;34;32;83;12;3.9;3.4;0.7;1
03.02.2019;25;5;20;27;28;1.9;1.4;0.4;0
04.02.2019;25;42;44;107;20;1.5;2.1;0.4;1
05.02.2019;28;36;47;102;20;1.4;2.3;0.4;2
06.02.2019;40;33;45;95;20;1.4;2.0;0.4;2
07.02.2019;35;30;49;95;16;1.6;2.1;0.4;3
08.02.2019;30;17;32;59;29;1.1;1.7;0.3;2
09.02.2019;16;7;21;31;52;0.8;1.1;0.3;0
10.02.2019;11;8;23;35;47;0.8;1.2;0.3;0
11.02.2019;11;20;31;63;43;0.8;1.1;0.3;0
12.02.2019;16;28;44;87;41;1.0;1.6;0.3;0
13.02.2019;35;55;50;134;13;1.4;2.9;0.5;0
14.02.2019;47;71;63;172;14;1.8;3.9;0.6;2
15.02.2019;48;142;83;300;4;3.2;7.9;1.0;3
16.02.2019;36;70;65;173;13;2.7;5.8;0.8;2
17.02.2019;39;60;65;156;7;2.5;5.7;0.7;2
18.02.2019;54;90;74;211;5;2.8;6.2;0.8;3
19.02.2019;33;37;54;110;22;1.4;2.9;0.4;1
20.02.2019;25;49;56;131;27;1.3;2.7;0.4;0
21.02.2019;33;43;52;118;21;1.3;2.9;0.4;1
22.02.2019;12;9;23;36;48;0.9;1.0;0.3;1
23.02.2019;72;;4;72;31;;24.1;0.4;4
24.02.2019;163;58;73;163;10;;34.8;0.8;4
25.02.2019;46;100;81;234;11;2.3;4.9;0.7;4
26.02.2019;56;52;58;137;11;1.8;3.3;0.6;2
27.02.2019;60;114;74;247;8;2.9;7.7;0.8;2
28.02.2019;51;38;55;113;16;1.3;2.8;0.4;1
01.03.2019;41;16;34;58;30;1.0;1.5;0.3;0
02.03.2019;23;18;39;66;35;1.0;1.9;0.3;0
03.03.2019;19;6;19;28;40;0.8;1.2;0.3;1
04.03.2019;19;17;30;56;50;0.8;1.4;0.3;1
05.03.2019;15;29;41;87;42;1.0;1.7;0.3;0
06.03.2019;20;30;41;87;33;1.2;2.1;0.4;1
07.03.2019;19;20;36;67;42;1.0;1.8;0.3;1
08.03.2019;11;9;24;37;61;0.7;1.1;0.3;1
09.03.2019;12;11;26;42;56;0.7;1.2;0.3;0
10.03.2019;11;7;23;34;64;0.7;1.0;0.3;0
11.03.2019;12;32;44;92;44;1.0;1.7;0.4;1
12.03.2019;18;22;33;67;50;0.9;1.3;0.3;1
13.03.2019;11;9;21;35;64;0.7;1.1;0.2;1
14.03.2019;13;19;32;62;48;0.9;1.4;0.3;0
15.03.2019;13;22;35;68;52;0.9;1.6;0.3;0
16.03.2019;14;11;28;45;54;0.8;1.3;0.3;0
17.03.2019;9;6;19;28;62;0.7;1.1;0.3;0
18.03.2019;13;20;34;64;53;0.8;1.4;0.3;0
19.03.2019;18;36;51;107;38;1.1;2.1;0.4;1
20.03.2019;33;44;58;126;34;1.4;3.2;0.4;1
21.03.2019;39;53;50;129;20;1.5;4.0;0.5;1
22.03.2019;36;30;41;87;22;1.1;2.7;0.4;0
23.03.2019;42;15;25;48;31;1.2;2.3;0.4;1
24.03.2019;18;6;23;32;56;0.7;1.3;0.3;0
25.03.2019;14;24;37;74;48;0.8;1.5;0.3;1
26.03.2019;15;25;41;79;46;0.9;1.5;0.3;1
27.03.2019;17;36;47;102;36;1.0;2.1;0.4;1
28.03.2019;14;16;34;59;35;0.7;1.5;0.3;0
29.03.2019;27;30;45;91;26;1.2;2.9;0.4;0
30.03.2019;29;16;44;68;35;1.3;3.2;0.4;0
31.03.2019;22;3;21;26;66;0.7;1.3;0.3;0
01.04.2019;17;24;42;80;52;1.0;1.8;0.3;1
02.04.2019;30;26;46;86;51;1.3;2.2;0.4;3
03.04.2019;48;26;52;91;55;1.6;2.8;0.4;4
04.04.2019;44;22;53;86;59;1.3;2.6;0.4;3
05.04.2019;52;23;37;72;35;1.2;2.6;0.4;1
06.04.2019;47;7;27;37;79;1.2;1.8;0.4;2
07.04.2019;41;2;16;19;95;0.9;0.9;0.3;1
08.04.2019;41;9;29;42;85;0.9;1.3;0.3;2
09.04.2019;23;3;13;17;82;0.6;0.6;0.2;2
10.04.2019;24;12;24;41;65;0.8;0.9;0.3;1
11.04.2019;14;4;15;22;65;0.6;0.7;0.2;2
12.04.2019;16;5;16;24;60;0.7;0.7;0.2;1
13.04.2019;24;3;15;20;66;0.7;0.7;0.2;1
14.04.2019;21;1;10;11;67;0.7;0.6;0.2;1
15.04.2019;21;6;21;30;73;0.7;1.0;0.3;2
16.04.2019;29;13;35;56;69;;;0.3;3
17.04.2019;31;11;30;47;74;1.0;1.5;0.3;3
18.04.2019;36;12;41;59;78;1.0;2.0;0.3;3
19.04.2019;29;2;14;17;108;0.7;1.0;0.3;2
20.04.2019;24;2;14;17;94;0.5;0.8;0.2;1
21.04.2019;19;3;17;21;96;0.6;1.1;0.3;2
22.04.2019;23;2;13;16;99;0.5;0.7;0.2;1
23.04.2019;45;9;27;40;85;0.8;1.3;0.3;3
24.04.2019;38;15;33;57;63;1.0;2.5;0.3;2
25.04.2019;27;15;37;59;73;0.8;2.4;0.3;2
26.04.2019;44;16;43;66;74;1.1;2.8;0.3;2
27.04.2019;20;14;32;54;56;0.9;2.3;0.3;0
28.04.2019;11;6;19;29;55;0.6;1.4;0.3;0
29.04.2019;21;6;18;27;59;0.5;0.8;0.2;0
30.04.2019;17;4;24;30;80;0.5;1.0;0.3;0
01.05.2019;29;5;21;29;71;0.7;1.3;0.3;0
02.05.2019;27;27;42;83;54;0.8;2.3;0.3;1
03.05.2019;16;21;36;67;63;0.7;1.6;0.3;1
04.05.2019;13;11;26;43;59;0.6;1.1;0.3;1
05.05.2019;10;6;24;33;63;0.5;1.1;0.3;0
06.05.2019;22;31;44;91;53;0.9;3.3;0.3;2
07.05.2019;17;29;44;88;43;1.0;2.4;0.4;1
08.05.2019;28;29;47;90;55;1.1;2.9;0.4;1
09.05.2019;21;22;38;72;54;0.9;2.4;0.3;1
10.05.2019;20;30;43;90;40;1.0;3.0;0.4;1
11.05.2019;17;5;21;28;70;0.5;1.4;0.2;1
12.05.2019;11;1;9;11;78;0.3;0.5;0.2;0
13.05.2019;17;7;20;31;63;0.4;0.9;0.2;0
14.05.2019;11;3;13;18;67;0.3;0.7;0.2;0
15.05.2019;11;5;15;23;68;0.4;0.6;0.2;0
16.05.2019;14;15;27;49;39;0.8;1.7;0.3;0
17.05.2019;24;26;36;76;39;1.0;2.9;0.4;2
18.05.2019;25;11;35;52;56;1.1;3.4;0.4;1
19.05.2019;20;3;19;24;80;0.7;1.8;0.3;1
20.05.2019;24;7;23;33;65;0.6;1.6;0.3;1
21.05.2019;23;16;35;60;60;0.8;2.4;0.4;1
22.05.2019;18;12;26;45;50;0.6;1.4;0.3;0
23.05.2019;17;13;30;50;58;0.6;1.6;0.3;0
24.05.2019;28;19;47;76;68;1.0;3.2;0.3;1
25.05.2019;15;10;24;40;59;0.6;1.4;0.3;0
26.05.2019;16;6;23;33;62;0.6;1.6;0.3;1
27.05.2019;28;28;41;83;41;0.9;3.1;0.3;1
28.05.2019;19;5;21;29;58;0.4;1.2;0.2;0
29.05.2019;13;5;20;28;70;0.4;1.1;0.2;0
30.05.2019;14;7;21;32;69;0.6;1.6;0.2;1
31.05.2019;23;16;30;54;41;0.8;3.0;0.3;1
01.06.2019;34;10;33;49;50;0.9;3.5;0.3;1
02.06.2019;21;3;20;25;76;0.5;1.9;0.2;3
03.06.2019;31;14;38;59;72;;;0.3;1
04.06.2019;27;12;41;58;82;0.9;2.9;0.3;1
05.06.2019;34;18;55;82;72;1.0;3.6;0.3;2
06.06.2019;31;18;45;72;67;0.7;2.3;0.3;2
07.06.2019;;;;;;;;;
08.06.2019;18;6;18;27;72;0.5;1.5;0.2;0
09.06.2019;13;4;15;21;73;0.6;2.7;0.2;1
10.06.2019;22;2;15;18;86;0.5;1.4;0.2;2
11.06.2019;31;12;32;51;81;0.7;2.8;0.3;1
12.06.2019;24;13;37;57;70;0.7;2.5;0.3;1
13.06.2019;18;22;43;76;55;0.8;3.0;0.3;1
14.06.2019;22;16;45;70;76;0.8;2.9;0.3;2
15.06.2019;28;6;24;33;101;0.6;1.7;0.3;1
16.06.2019;12;4;22;28;86;0.5;1.4;0.2;1
17.06.2019;21;16;44;69;71;0.9;3.4;0.3;1
18.06.2019;22;23;50;86;62;0.8;3.2;0.3;1
19.06.2019;30;21;54;85;77;0.9;3.3;0.3;1
20.06.2019;19;19;45;74;75;0.8;2.9;0.3;1
21.06.2019;16;17;36;61;65;1.9;3.7;0.3;1
22.06.2019;15;1;10;11;86;0.4;0.9;0.2;1
23.06.2019;12;1;7;8;92;0.3;0.7;0.2;1
24.06.2019;19;13;34;54;77;0.6;2.1;0.2;2
25.06.2019;31;15;56;78;78;1.0;4.0;0.4;2
26.06.2019;36;11;45;62;101;0.8;3.2;0.3;1
27.06.2019;19;10;19;34;71;0.4;1.2;0.2;0
28.06.2019;19;11;21;38;60;0.4;1.4;0.2;1
29.06.2019;20;9;35;48;70;0.7;3.1;0.3;1
30.06.2019;23;4;26;32;96;0.7;3.3;0.3;1
01.07.2019;21;15;31;54;74;0.6;1.9;0.3;1
02.07.2019;21;13;22;41;57;0.5;1.4;0.2;1
03.07.2019;19;16;25;49;54;0.6;1.7;0.3;1
04.07.2019;19;17;29;54;53;0.6;2.0;0.3;1
05.07.2019;17;19;30;59;45;0.5;2.0;0.2;1
06.07.2019;17;11;25;42;47;0.5;1.8;0.2;1
07.07.2019;14;5;14;21;56;0.3;0.9;0.2;1
