Station;190 Leipziger Straße;190 Leipziger Straße;190 Leipziger Straße;190 Leipziger Straße
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte

27.03.2020;55;7;34;45
28.03.2020;;2;21;23
29.03.2020;;2;11;14
30.03.2020;;16;32;56
31.03.2020;;12;31;49
01.04.2020;17;18;33;60
02.04.2020;;18;30;57
03.04.2020;21;9;24;38
04.04.2020;17;4;23;29
05.04.2020;24;3;17;22
06.04.2020;38;13;43;64
07.04.2020;33;11;36;53
08.04.2020;30;16;53;78
09.04.2020;29;6;34;43
10.04.2020;15;2;15;18
11.04.2020;25;5;26;33
12.04.2020;23;4;24;30
13.04.2020;15;2;7;10
14.04.2020;16;8;19;31
15.04.2020;23;12;26;45
16.04.2020;32;11;33;49
17.04.2020;23;9;30;44
18.04.2020;16;4;16;21
19.04.2020;10;1;9;11
20.04.2020;14;9;26;40
21.04.2020;24;11;27;43
22.04.2020;22;11;29;45
23.04.2020;29;15;48;71
24.04.2020;38;19;45;74
25.04.2020;13;3;13;17
26.04.2020;14;3;26;31
27.04.2020;32;23;53;89
28.04.2020;39;13;42;62
29.04.2020;23;14;35;56
30.04.2020;15;24;37;73
01.05.2020;7;6;13;22
02.05.2020;12;7;21;31
03.05.2020;13;3;18;23
04.05.2020;19;22;43;77
05.05.2020;9;9;26;39
06.05.2020;12;7;21;33
07.05.2020;22;11;34;51
08.05.2020;22;5;28;35
09.05.2020;16;7;30;41
10.05.2020;22;3;20;25
11.05.2020;11;9;27;42
12.05.2020;13;17;26;52
13.05.2020;16;22;38;72
14.05.2020;12;9;30;44
15.05.2020;15;9;32;45
16.05.2020;12;6;21;31
17.05.2020;10;3;13;17
18.05.2020;20;12;32;51
19.05.2020;21;11;30;46
20.05.2020;15;8;30;41
21.05.2020;14;4;15;21
22.05.2020;20;11;30;48
23.05.2020;23;6;21;30
24.05.2020;14;3;15;20
25.05.2020;13;16;26;50
26.05.2020;16;8;27;38
27.05.2020;18;13;35;55
28.05.2020;14;5;19;27
29.05.2020;14;8;28;41
30.05.2020;11;4;17;22
31.05.2020;14;2;11;14
01.06.2020;14;2;12;16
02.06.2020;18;7;28;39
03.06.2020;18;10;30;45
04.06.2020;23;15;36;59
05.06.2020;14;11;25;41
06.06.2020;10;7;17;27
07.06.2020;11;6;19;29
08.06.2020;13;7;25;35
09.06.2020;14;7;30;40
10.06.2020;16;7;25;36
11.06.2020;29;15;34;57
12.06.2020;20;9;27;41
13.06.2020;27;4;24;30
14.06.2020;22;2;13;16
15.06.2020;19;8;25;38
16.06.2020;20;10;33;48
17.06.2020;21;11;42;59
18.06.2020;24;6;30;39
19.06.2020;20;6;25;35
20.06.2020;15;3;14;19
21.06.2020;13;3;11;15
22.06.2020;13;7;25;36
23.06.2020;13;5;23;32
24.06.2020;19;6;28;37
25.06.2020;23;12;31;50
26.06.2020;25;12;36;54
27.06.2020;22;5;25;33
28.06.2020;16;4;16;21
29.06.2020;12;11;27;43
30.06.2020;25;8;23;36
01.07.2020;13;15;26;49
02.07.2020;16;28;34;76
03.07.2020;15;8;24;35
04.07.2020;17;5;18;25
05.07.2020;11;4;10;16
06.07.2020;25;8;20;32
07.07.2020;17;9;21;35
08.07.2020;19;13;26;45
09.07.2020;22;26;32;71
10.07.2020;13;21;26;58
11.07.2020;9;5;15;23
12.07.2020;9;2;11;14
13.07.2020;14;10;28;43
14.07.2020;20;17;42;68
15.07.2020;17;9;30;43
16.07.2020;14;8;23;36
17.07.2020;15;11;28;45
18.07.2020;22;7;32;43
19.07.2020;24;4;27;33
20.07.2020;19;8;26;38
21.07.2020;13;7;20;30
22.07.2020;13;7;22;32
23.07.2020;13;10;31;47
24.07.2020;20;12;32;50
25.07.2020;15;7;26;37
26.07.2020;16;6;24;33
27.07.2020;15;21;40;72
28.07.2020;21;11;28;45
29.07.2020;21;10;27;42
30.07.2020;19;11;25;43
31.07.2020;18;6;26;36
01.08.2020;19;9;28;43
02.08.2020;17;5;21;28
03.08.2020;16;7;20;31
04.08.2020;14;6;25;35
05.08.2020;23;21;44;76
06.08.2020;19;15;42;65
07.08.2020;30;13;57;76
08.08.2020;39;5;44;52
09.08.2020;35;3;30;35
10.08.2020;29;10;42;58
11.08.2020;27;11;34;50
12.08.2020;25;13;37;57
13.08.2020;32;12;52;71
14.08.2020;26;12;48;67
15.08.2020;27;6;37;46
16.08.2020;21;5;20;28
17.08.2020;26;12;41;59
18.08.2020;17;8;33;44
19.08.2020;16;9;31;45
20.08.2020;20;21;58;90
21.08.2020;23;17;55;81
22.08.2020;18;8;30;43
23.08.2020;13;4;17;23
24.08.2020;19;12;24;42
25.08.2020;20;14;31;52
26.08.2020;13;12;24;42
27.08.2020;11;12;31;49
28.08.2020;16;21;49;82
29.08.2020;13;14;37;59
30.08.2020;18;10;34;49
31.08.2020;13;10;27;42
01.09.2020;12;13;30;49
02.09.2020;10;18;35;62
03.09.2020;14;16;36;60
04.09.2020;12;16;31;55
05.09.2020;13;10;28;43
06.09.2020;10;4;15;21
07.09.2020;13;15;35;57
08.09.2020;18;19;34;62
09.09.2020;19;27;34;75
10.09.2020;14;17;34;59
11.09.2020;23;34;62;114
12.09.2020;22;10;36;51
13.09.2020;18;6;27;36
14.09.2020;59;34;74;127
15.09.2020;34;22;64;97
16.09.2020;33;8;44;57
17.09.2020;14;9;25;38
18.09.2020;17;32;50;98
19.09.2020;22;12;35;54
20.09.2020;25;5;29;37
21.09.2020;33;23;56;91
22.09.2020;51;30;74;120
23.09.2020;51;23;70;105
24.09.2020;35;19;48;77
25.09.2020;16;23;47;82
26.09.2020;12;13;26;46
27.09.2020;8;13;26;46
28.09.2020;14;36;43;97
29.09.2020;49;20;47;78
30.09.2020;25;29;54;98
01.10.2020;32;30;43;88
02.10.2020;37;23;28;63
03.10.2020;27;10;26;41
04.10.2020;10;12;28;46
05.10.2020;16;33;42;92
06.10.2020;11;28;34;77
07.10.2020;11;25;36;74
08.10.2020;16;26;33;73
09.10.2020;11;24;36;73
10.10.2020;15;13;29;49
11.10.2020;12;13;30;49
12.10.2020;15;23;42;78
13.10.2020;19;54;42;124
14.10.2020;7;8;26;38
15.10.2020;8;10;27;42
16.10.2020;9;11;31;47
17.10.2020;14;9;24;37
18.10.2020;16;6;19;28
19.10.2020;16;25;40;78
20.10.2020;25;30;38;83
21.10.2020;27;38;40;99
