Station;220 Karl-Marx-Straße;220 Karl-Marx-Straße;220 Karl-Marx-Straße;220 Karl-Marx-Straße
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte

01.01.2019;29;19;23;52
02.01.2019;14;13;31;51
03.01.2019;16;43;53;118
04.01.2019;18;64;57;155
05.01.2019;11;14;30;51
06.01.2019;13;18;35;62
07.01.2019;19;89;58;194
08.01.2019;10;53;48;128
09.01.2019;7;11;27;45
10.01.2019;10;21;36;69
11.01.2019;19;75;56;170
12.01.2019;19;47;45;117
13.01.2019;8;20;27;57
14.01.2019;15;40;42;103
15.01.2019;18;55;45;129
16.01.2019;20;49;44;119
17.01.2019;16;56;50;136
18.01.2019;14;70;57;163
19.01.2019;28;53;54;135
20.01.2019;38;13;34;54
21.01.2019;40;77;60;177
22.01.2019;47;70;58;166
23.01.2019;60;20;38;68
24.01.2019;43;16;30;55
25.01.2019;40;70;52;159
26.01.2019;28;82;59;184
27.01.2019;13;30;38;84
28.01.2019;18;66;55;156
29.01.2019;19;73;62;173
30.01.2019;28;27;46;87
31.01.2019;41;54;58;140
01.02.2019;52;31;45;92
02.02.2019;57;60;43;134
03.02.2019;26;18;30;58
04.02.2019;21;72;56;166
05.02.2019;21;75;61;176
06.02.2019;32;58;54;143
07.02.2019;29;58;59;148
08.02.2019;26;43;46;112
09.02.2019;14;28;36;79
10.02.2019;10;18;31;58
11.02.2019;53;42;45;109
12.02.2019;20;48;56;130
13.02.2019;34;59;49;140
14.02.2019;36;95;71;216
15.02.2019;35;143;91;309
16.02.2019;31;84;76;204
17.02.2019;34;45;64;132
18.02.2019;45;112;85;256
19.02.2019;32;62;62;157
20.02.2019;25;60;59;151
21.02.2019;31;74;62;175
22.02.2019;14;9;28;42
23.02.2019;22;49;56;131
24.02.2019;31;66;77;178
25.02.2019;44;109;87;254
26.02.2019;56;84;71;199
27.02.2019;50;136;87;294
28.02.2019;52;69;62;168
01.03.2019;42;36;44;99
02.03.2019;25;50;56;133
03.03.2019;18;19;25;54
04.03.2019;15;41;45;107
05.03.2019;15;46;50;120
06.03.2019;20;44;50;117
07.03.2019;18;50;55;132
08.03.2019;12;20;30;61
09.03.2019;13;31;39;86
10.03.2019;11;17;30;56
11.03.2019;12;49;51;125
12.03.2019;17;43;45;112
13.03.2019;11;30;36;82
14.03.2019;11;43;45;112
15.03.2019;12;40;41;102
16.03.2019;14;38;43;101
17.03.2019;9;17;28;54
18.03.2019;12;42;46;110
19.03.2019;18;51;58;136
20.03.2019;24;53;63;144
21.03.2019;35;77;64;181
22.03.2019;35;30;45;91
23.03.2019;40;25;37;75
24.03.2019;17;14;35;57
25.03.2019;14;40;51;112
26.03.2019;15;40;51;113
27.03.2019;16;50;53;130
28.03.2019;16;53;53;133
29.03.2019;22;62;61;155
30.03.2019;29;42;63;127
31.03.2019;22;10;29;45
01.04.2019;15;13;34;53
02.04.2019;29;18;41;69
03.04.2019;46;19;50;79
04.04.2019;41;15;48;71
05.04.2019;48;36;46;101
06.04.2019;46;6;30;38
07.04.2019;40;3;21;25
08.04.2019;42;11;36;52
09.04.2019;25;6;21;30
10.04.2019;24;8;24;36
11.04.2019;15;8;22;35
12.04.2019;17;9;25;38
13.04.2019;24;6;21;30
14.04.2019;22;4;18;24
15.04.2019;21;8;26;39
16.04.2019;30;11;35;51
17.04.2019;32;7;34;45
18.04.2019;34;7;41;52
19.04.2019;28;2;22;26
20.04.2019;25;5;30;38
21.04.2019;19;3;21;25
22.04.2019;22;2;15;18
23.04.2019;42;7;22;32
24.04.2019;34;14;34;55
25.04.2019;22;20;45;76
26.04.2019;35;29;51;95
27.04.2019;20;27;40;81
28.04.2019;11;16;26;50
29.04.2019;21;13;26;47
30.04.2019;18;11;41;58
01.05.2019;28;15;38;62
02.05.2019;25;42;50;113
03.05.2019;16;42;49;113
04.05.2019;14;32;42;90
05.05.2019;11;15;37;60
06.05.2019;17;44;51;118
07.05.2019;14;39;51;111
08.05.2019;23;25;51;90
09.05.2019;14;34;46;98
10.05.2019;18;42;54;118
11.05.2019;18;7;28;39
12.05.2019;11;3;18;22
13.05.2019;14;12;29;47
14.05.2019;12;6;19;28
15.05.2019;11;6;21;29
16.05.2019;15;19;34;64
17.05.2019;22;23;34;70
18.05.2019;24;21;45;77
19.05.2019;21;4;22;28
20.05.2019;23;8;31;43
21.05.2019;21;24;46;83
22.05.2019;18;32;41;89
23.05.2019;15;19;36;65
24.05.2019;20;33;63;113
25.05.2019;15;24;36;72
26.05.2019;15;16;31;54
27.05.2019;18;39;47;106
28.05.2019;17;13;29;49
29.05.2019;12;14;33;55
30.05.2019;13;13;28;48
31.05.2019;19;39;47;107
01.06.2019;23;27;51;93
02.06.2019;19;11;36;53
03.06.2019;21;42;72;136
04.06.2019;20;23;54;89
05.06.2019;26;13;44;63
06.06.2019;26;29;53;98
07.06.2019;17;24;40;77
08.06.2019;16;22;33;66
09.06.2019;12;8;23;35
10.06.2019;21;3;21;25
11.06.2019;28;23;46;81
12.06.2019;22;19;44;73
13.06.2019;16;30;51;97
14.06.2019;19;21;51;82
15.06.2019;26;18;43;70
16.06.2019;12;13;34;54
17.06.2019;20;21;49;80
18.06.2019;19;23;52;87
19.06.2019;24;28;67;110
20.06.2019;18;32;59;108
21.06.2019;16;25;45;84
22.06.2019;15;3;16;21
23.06.2019;12;2;11;14
24.06.2019;16;7;28;39
25.06.2019;27;21;69;100
26.06.2019;30;20;61;92
27.06.2019;19;21;30;62
28.06.2019;20;18;35;61
29.06.2019;19;17;53;78
30.06.2019;20;11;42;59
01.07.2019;20;26;43;82
02.07.2019;20;25;31;69
03.07.2019;16;26;32;72
04.07.2019;18;27;36;78
05.07.2019;17;29;34;79
06.07.2019;17;19;33;62
07.07.2019;13;11;18;35
08.07.2019;11;31;37;85
09.07.2019;12;27;34;75
10.07.2019;;25;34;72
11.07.2019;;28;50;92
12.07.2019;19;23;40;75
13.07.2019;17;13;31;51
14.07.2019;19;11;24;40
15.07.2019;17;31;37;84
16.07.2019;15;33;33;83
17.07.2019;20;21;35;66
18.07.2019;18;11;35;52
19.07.2019;23;26;50;90
20.07.2019;22;13;42;61
21.07.2019;18;10;25;41
22.07.2019;21;19;40;69
23.07.2019;23;15;36;60
24.07.2019;24;11;30;47
25.07.2019;25;10;25;41
26.07.2019;20;4;17;23
27.07.2019;22;2;14;17
28.07.2019;21;1;20;23
