Station;282 Karlshorst;282 Karlshorst;282 Karlshorst;282 Karlshorst
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Schwefeldioxid
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte

01.01.2019;1;10;12;1
02.01.2019;1;10;11;0
03.01.2019;3;28;32;0
04.01.2019;3;27;31;1
05.01.2019;1;11;13;0
06.01.2019;3;19;23;0
07.01.2019;13;29;48;1
08.01.2019;2;16;19;0
09.01.2019;2;12;15;0
10.01.2019;2;17;20;0
11.01.2019;4;29;35;1
12.01.2019;1;14;16;1
13.01.2019;1;11;13;1
14.01.2019;2;14;17;0
15.01.2019;2;19;22;1
16.01.2019;2;19;23;1
17.01.2019;2;21;25;3
18.01.2019;3;22;27;1
19.01.2019;7;32;42;1
20.01.2019;4;21;28;1
21.01.2019;5;34;42;4
22.01.2019;13;33;53;2
23.01.2019;3;21;26;3
24.01.2019;1;12;14;1
25.01.2019;3;23;28;1
26.01.2019;11;36;52;1
27.01.2019;2;18;21;2
28.01.2019;4;25;31;3
29.01.2019;3;30;35;1
30.01.2019;3;18;23;2
31.01.2019;5;30;38;3
01.02.2019;3;26;31;3
02.02.2019;7;25;36;2
03.02.2019;1;14;16;0
04.02.2019;9;30;43;2
05.02.2019;3;29;34;4
06.02.2019;5;30;38;2
07.02.2019;4;34;40;5
08.02.2019;5;24;31;6
09.02.2019;1;12;13;2
10.02.2019;1;13;15;3
11.02.2019;2;16;19;1
12.02.2019;3;26;31;1
13.02.2019;6;29;37;3
14.02.2019;29;38;82;2
15.02.2019;78;52;172;4
16.02.2019;39;40;99;4
17.02.2019;23;40;75;2
18.02.2019;59;47;137;4
19.02.2019;22;32;66;2
20.02.2019;4;26;32;3
21.02.2019;9;32;45;2
22.02.2019;2;13;15;2
23.02.2019;5;25;33;3
24.02.2019;23;48;84;4
25.02.2019;43;54;120;4
26.02.2019;24;46;83;3
27.02.2019;58;46;134;3
28.02.2019;8;37;49;2
01.03.2019;7;27;38;0
02.03.2019;2;23;27;1
03.03.2019;1;12;14;2
04.03.2019;4;16;22;2
05.03.2019;4;20;26;1
06.03.2019;12;21;38;1
07.03.2019;2;19;22;2
08.03.2019;1;12;13;2
09.03.2019;1;12;14;2
10.03.2019;1;11;13;1
11.03.2019;4;19;25;1
12.03.2019;4;17;23;1
13.03.2019;5;14;21;1
14.03.2019;2;17;21;0
15.03.2019;3;14;18;1
16.03.2019;1;13;15;1
17.03.2019;1;10;11;2
18.03.2019;3;14;18;0
19.03.2019;9;29;42;1
20.03.2019;22;31;64;2
21.03.2019;19;31;60;2
22.03.2019;11;22;39;0
23.03.2019;5;16;23;1
24.03.2019;2;18;21;1
25.03.2019;4;26;33;0
26.03.2019;3;22;27;0
27.03.2019;3;22;26;1
28.03.2019;5;23;30;0
29.03.2019;8;31;44;0
30.03.2019;11;26;43;1
31.03.2019;1;14;16;0
01.04.2019;7;17;28;1
02.04.2019;1;12;14;3
03.04.2019;3;19;23;4
04.04.2019;1;16;18;3
05.04.2019;3;22;26;1
06.04.2019;1;13;15;2
07.04.2019;0;11;12;2
08.04.2019;7;20;31;1
09.04.2019;2;9;12;
10.04.2019;3;13;17;
11.04.2019;2;10;14;
12.04.2019;1;10;13;
13.04.2019;0;8;8;
14.04.2019;0;8;8;
15.04.2019;2;11;13;
16.04.2019;2;15;17;
17.04.2019;1;15;17;
18.04.2019;3;21;25;
19.04.2019;0;8;8;
20.04.2019;1;12;13;
21.04.2019;1;11;12;
22.04.2019;1;6;7;
23.04.2019;1;6;8;
24.04.2019;1;8;10;
25.04.2019;3;16;19;
26.04.2019;2;14;17;
27.04.2019;1;10;11;
28.04.2019;0;9;9;
29.04.2019;7;15;25;
30.04.2019;5;23;31;
01.05.2019;2;15;18;
02.05.2019;5;15;23;
03.05.2019;4;13;20;
04.05.2019;1;12;14;
05.05.2019;1;17;19;
06.05.2019;4;16;23;
07.05.2019;7;20;30;
08.05.2019;4;16;21;
09.05.2019;3;15;19;
10.05.2019;4;19;25;
11.05.2019;1;11;12;
12.05.2019;0;6;7;
13.05.2019;3;13;18;
14.05.2019;2;10;13;
15.05.2019;7;14;24;
16.05.2019;8;17;29;
17.05.2019;4;12;18;
18.05.2019;1;13;15;
19.05.2019;1;9;10;
20.05.2019;3;11;14;
21.05.2019;2;13;15;
22.05.2019;3;13;17;
23.05.2019;2;15;19;
24.05.2019;5;18;25;
25.05.2019;0;10;10;
26.05.2019;1;12;13;
27.05.2019;3;16;21;
28.05.2019;5;16;23;
29.05.2019;6;17;26;
30.05.2019;1;8;9;
31.05.2019;1;14;15;
01.06.2019;2;16;18;
02.06.2019;1;8;9;
03.06.2019;2;14;18;
04.06.2019;2;14;17;
05.06.2019;1;8;9;
06.06.2019;1;12;14;
07.06.2019;2;9;12;
08.06.2019;1;7;8;
09.06.2019;1;7;8;
10.06.2019;1;8;9;
11.06.2019;1;10;11;
12.06.2019;2;9;12;
13.06.2019;2;14;18;
14.06.2019;2;11;14;
15.06.2019;1;6;7;
16.06.2019;0;10;10;
17.06.2019;3;15;19;
18.06.2019;0;9;9;
19.06.2019;0;12;11;
20.06.2019;1;15;17;
21.06.2019;1;15;17;
22.06.2019;0;7;7;
23.06.2019;0;3;3;
24.06.2019;1;8;9;
25.06.2019;2;12;15;
26.06.2019;1;15;16;
27.06.2019;1;7;9;
28.06.2019;2;11;15;
29.06.2019;1;16;18;
30.06.2019;0;11;11;
01.07.2019;2;10;14;
02.07.2019;2;8;11;
03.07.2019;3;9;13;
04.07.2019;4;10;16;
05.07.2019;2;11;14;
06.07.2019;1;10;12;
07.07.2019;1;7;8;
08.07.2019;3;12;17;
09.07.2019;2;12;15;
10.07.2019;4;12;18;
11.07.2019;3;18;22;
12.07.2019;1;18;19;
13.07.2019;1;11;12;
14.07.2019;1;8;9;
15.07.2019;3;11;16;
16.07.2019;3;11;16;
17.07.2019;3;15;20;
18.07.2019;1;10;12;
19.07.2019;3;20;25;
20.07.2019;1;12;13;
21.07.2019;1;9;9;
22.07.2019;3;15;19;
23.07.2019;3;15;19;
24.07.2019;3;12;16;
25.07.2019;2;10;13;
26.07.2019;1;5;7;
27.07.2019;0;4;4;
28.07.2019;0;7;7;
29.07.2019;2;17;20;
30.07.2019;3;15;19;
31.07.2019;3;16;20;
01.08.2019;3;17;22;
02.08.2019;5;14;21;
03.08.2019;2;12;15;
04.08.2019;2;12;15;
05.08.2019;7;18;29;
06.08.2019;4;22;28;
07.08.2019;6;19;28;
08.08.2019;7;18;29;
09.08.2019;5;18;26;
10.08.2019;0;8;8;
11.08.2019;1;15;17;
12.08.2019;5;16;24;
13.08.2019;5;14;22;
14.08.2019;9;23;37;
15.08.2019;3;16;21;
16.08.2019;2;16;20;
17.08.2019;1;12;13;
18.08.2019;1;9;10;
19.08.2019;4;18;24;
20.08.2019;8;23;35;
21.08.2019;3;20;25;
22.08.2019;6;17;25;
23.08.2019;2;16;18;
24.08.2019;1;11;12;
25.08.2019;0;7;7;
26.08.2019;2;16;19;
27.08.2019;7;16;27;
28.08.2019;1;18;19;
29.08.2019;3;21;24;
30.08.2019;1;11;12;
31.08.2019;0;10;10;
01.09.2019;0;8;9;
02.09.2019;10;15;31;
03.09.2019;19;24;52;
04.09.2019;7;27;38;
05.09.2019;2;10;12;
06.09.2019;18;23;51;
07.09.2019;2;18;22;
08.09.2019;2;10;13;
09.09.2019;6;16;25;
10.09.2019;11;15;32;
11.09.2019;12;23;41;
12.09.2019;4;19;26;
13.09.2019;3;18;23;
14.09.2019;6;22;31;
15.09.2019;3;15;19;
16.09.2019;3;15;20;
17.09.2019;2;13;15;
18.09.2019;3;12;16;
19.09.2019;7;23;34;
20.09.2019;10;24;39;
21.09.2019;4;29;34;
22.09.2019;1;17;19;
23.09.2019;5;17;25;
24.09.2019;5;23;30;
25.09.2019;6;23;32;
26.09.2019;10;19;34;
27.09.2019;6;23;32;
28.09.2019;2;12;14;
29.09.2019;1;9;9;
30.09.2019;2;10;12;
01.10.2019;2;16;20;
02.10.2019;2;18;20;
03.10.2019;2;11;14;
04.10.2019;9;11;25;
05.10.2019;1;11;13;
06.10.2019;2;13;17;
07.10.2019;26;30;70;
08.10.2019;7;24;34;
09.10.2019;4;16;22;
10.10.2019;3;16;20;
11.10.2019;2;13;17;
12.10.2019;2;15;18;
13.10.2019;1;13;15;
14.10.2019;8;19;32;
15.10.2019;8;21;33;
16.10.2019;5;20;29;
17.10.2019;3;22;26;
18.10.2019;4;17;23;
19.10.2019;2;16;18;
20.10.2019;6;18;27;
21.10.2019;35;24;78;
22.10.2019;54;28;110;
23.10.2019;14;16;37;
24.10.2019;9;17;32;
25.10.2019;19;22;51;
26.10.2019;1;11;13;
27.10.2019;2;14;16;
28.10.2019;6;27;36;
29.10.2019;15;31;55;
30.10.2019;45;29;98;
31.10.2019;43;31;97;
01.11.2019;4;21;28;
02.11.2019;2;16;18;
03.11.2019;4;14;19;
04.11.2019;13;25;44;
05.11.2019;6;27;36;
06.11.2019;10;29;43;
07.11.2019;9;22;35;
08.11.2019;18;21;48;
09.11.2019;5;22;29;
10.11.2019;8;21;33;
11.11.2019;5;19;28;
12.11.2019;5;23;31;
13.11.2019;7;29;40;
14.11.2019;5;22;30;
15.11.2019;1;14;16;
16.11.2019;4;22;28;
17.11.2019;5;16;23;
18.11.2019;6;20;30;
19.11.2019;9;25;39;
20.11.2019;7;30;40;
21.11.2019;6;17;25;
22.11.2019;9;21;34;
23.11.2019;2;14;17;
24.11.2019;2;12;14;
25.11.2019;6;15;25;
26.11.2019;12;23;42;
27.11.2019;5;24;31;
28.11.2019;2;17;19;
29.11.2019;2;16;19;
30.11.2019;10;37;52;
01.12.2019;7;36;46;
02.12.2019;3;26;31;
03.12.2019;23;34;69;
04.12.2019;18;32;59;
05.12.2019;37;34;91;
06.12.2019;7;34;45;
07.12.2019;1;11;13;
08.12.2019;1;12;13;
09.12.2019;2;20;22;
10.12.2019;11;30;46;
11.12.2019;3;26;30;
12.12.2019;7;31;42;
13.12.2019;5;23;31;
14.12.2019;2;20;22;
15.12.2019;1;12;13;
16.12.2019;40;35;97;
17.12.2019;18;32;60;
18.12.2019;27;35;77;
19.12.2019;8;25;38;
20.12.2019;17;27;53;
21.12.2019;16;28;52;
22.12.2019;4;17;23;
23.12.2019;3;22;26;
24.12.2019;1;17;19;
25.12.2019;1;13;14;
26.12.2019;1;16;18;
27.12.2019;2;15;18;
28.12.2019;2;19;22;
29.12.2019;4;26;31;
30.12.2019;3;30;35;
31.12.2019;1;20;21;
01.01.2020;7;29;41;
02.01.2020;24;39;76;
03.01.2020;3;22;27;
04.01.2020;1;11;12;
05.01.2020;2;26;30;
06.01.2020;3;27;32;
07.01.2020;21;35;67;
