Station;088 Messwagen Leipziger Str.;088 Messwagen Leipziger Str.;088 Messwagen Leipziger Str.;088 Messwagen Leipziger Str.;088 Messwagen Leipziger Str.;088 Messwagen Leipziger Str.
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon;Kohlenmonoxid
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;mg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte

01.01.2019;20;8;17;30;54;0.2
02.01.2019;11;4;21;27;56;0.2
03.01.2019;10;11;38;55;30;0.3
04.01.2019;15;20;33;64;27;0.3
05.01.2019;8;4;21;27;42;0.2
06.01.2019;11;6;26;36;31;0.2
07.01.2019;15;70;50;157;15;0.4
08.01.2019;7;17;26;52;42;0.2
09.01.2019;5;5;20;28;44;0.2
10.01.2019;8;8;27;39;45;0.2
11.01.2019;15;33;38;89;25;0.3
12.01.2019;16;16;29;54;47;0.2
13.01.2019;6;9;22;37;53;0.2
14.01.2019;11;8;21;33;59;0.2
15.01.2019;15;21;33;66;39;0.3
16.01.2019;16;29;35;79;32;0.3
17.01.2019;12;32;37;85;35;0.3
18.01.2019;10;21;34;66;41;0.3
19.01.2019;28;50;51;127;22;0.4
20.01.2019;39;29;46;91;15;0.5
21.01.2019;38;63;58;153;9;0.5
22.01.2019;51;84;65;192;8;0.6
23.01.2019;63;54;51;133;21;0.7
24.01.2019;43;57;49;136;26;0.5
25.01.2019;37;42;46;110;22;0.5
26.01.2019;26;65;55;154;8;0.5
27.01.2019;12;40;47;108;19;0.4
28.01.2019;14;60;52;145;20;0.4
29.01.2019;17;43;49;115;20;0.4
30.01.2019;33;54;54;136;18;0.5
31.01.2019;46;74;63;176;11;0.6
01.02.2019;60;60;55;147;10;0.7
02.02.2019;55;30;38;85;8;0.7
03.02.2019;26;5;23;30;26;0.4
04.02.2019;20;56;51;135;19;0.4
05.02.2019;21;48;48;122;23;0.4
06.02.2019;34;74;57;170;19;0.5
07.02.2019;31;71;63;172;13;0.5
08.02.2019;25;48;48;121;25;0.4
09.02.2019;14;18;28;56;53;0.3
10.02.2019;10;26;38;78;40;0.3
11.02.2019;9;8;23;35;49;0.2
12.02.2019;12;12;33;52;52;0.3
13.02.2019;31;32;42;90;18;0.4
14.02.2019;28;39;53;112;22;0.4
15.02.2019;27;96;80;227;7;0.7
16.02.2019;21;53;69;150;15;0.5
17.02.2019;33;58;72;160;7;0.6
18.02.2019;40;103;84;241;6;0.7
19.02.2019;27;39;51;110;29;0.4
20.02.2019;21;31;43;89;36;0.3
21.02.2019;28;35;46;99;29;0.4
22.02.2019;14;29;45;88;34;0.3
23.02.2019;21;42;55;119;29;0.4
24.02.2019;24;33;68;118;19;0.5
25.02.2019;34;28;59;102;20;0.4
26.02.2019;47;29;51;95;16;0.4
27.02.2019;42;96;75;221;14;0.7
28.02.2019;45;18;41;68;26;0.3
01.03.2019;39;16;32;57;31;0.3
02.03.2019;20;27;39;80;38;0.3
03.03.2019;16;13;22;42;43;0.3
04.03.2019;12;29;34;78;52;0.3
05.03.2019;12;21;33;65;50;0.3
06.03.2019;19;56;58;143;28;0.4
07.03.2019;16;49;53;127;36;0.4
08.03.2019;9;12;22;40;64;0.3
09.03.2019;11;14;28;49;58;0.3
10.03.2019;10;15;27;50;64;0.3
11.03.2019;10;19;32;61;53;0.3
12.03.2019;15;30;40;85;49;0.3
13.03.2019;8;18;27;55;65;0.3
14.03.2019;9;32;36;85;49;0.3
15.03.2019;10;18;28;56;61;0.3
16.03.2019;12;24;33;69;56;0.3
17.03.2019;8;11;20;36;65;0.3
18.03.2019;9;21;27;59;60;0.3
19.03.2019;14;15;35;59;51;0.3
20.03.2019;21;37;49;105;47;0.4
21.03.2019;30;36;47;101;28;0.4
22.03.2019;35;46;51;121;18;0.4
23.03.2019;38;19;30;60;29;0.4
24.03.2019;16;6;24;33;58;0.3
25.03.2019;11;16;33;57;51;0.3
26.03.2019;12;9;29;43;54;0.3
27.03.2019;13;14;33;54;49;0.3
28.03.2019;13;10;31;46;36;0.3
29.03.2019;19;50;52;128;27;0.4
30.03.2019;25;33;55;106;36;0.4
31.03.2019;21;5;22;30;67;0.3
01.04.2019;20;45;59;127;45;0.4
