"","cc_pays","cc_departement","cc_region","cc_ville","longitude","latitude","NO2","quality","hour_mean","hour_std","counter","Date"
"1","GB","Greater London","England","Barbican",-0.09350517,51.52207,4.1685875e-05,1,12,NA,1,2020-07-05
"2","GB","Greater London","England","Barking",0.10598292,51.52228,4.347321e-05,1,12,NA,1,2020-07-05
"3","GB","Greater London","England","Beckenham",-0.037113607,51.427475,4.770175e-05,1,12,NA,1,2020-07-05
"4","GB","Greater London","England","Belsize Park",-0.17935917,51.553246,4.1697913e-05,1,12,NA,1,2020-07-05
"5","GB","Greater London","England","Bexley",0.16198358,51.42759,4.210024e-05,1,12,NA,1,2020-07-05
"6","GB","Greater London","England","Bexleyheath",0.13402246,51.47494,6.264731e-05,1,12,NA,1,2020-07-05
"7","GB","Greater London","England","Blackheath",0.020123204,51.443424,5.3171672e-05,1,12,NA,1,2020-07-05
"8","GB","Greater London","England","Brixton Hill",-0.12279261,51.45869,4.8517883e-05,1,12,NA,1,2020-07-05
"9","GB","Greater London","England","Camberwell",-0.065307684,51.47478,4.1053718e-05,1,12,NA,1,2020-07-05
"10","GB","Greater London","England","Chadwell Heath",0.13471252,51.58521,5.0462513e-05,1,12,NA,1,2020-07-05
"11","GB","Greater London","England","Cheam",-0.21001832,51.378857,3.8274306e-05,1,12,NA,1,2020-07-05
"12","GB","Greater London","England","Chessington",-0.32632247,51.34578,4.818715e-05,1,12,NA,1,2020-07-05
"13","GB","Greater London","England","Chislehurst",0.04818688,51.39609,2.8885388e-05,1,12,NA,1,2020-07-05
"14","GB","Greater London","England","Collier Row",0.177299305,51.6243615,4.7870354e-05,1,12,0,2,2020-07-05
"15","GB","Greater London","England","Coulsdon",-0.153584,51.284283,3.949728e-05,1,12,NA,1,2020-07-05
"16","GB","Greater London","England","Cranham",0.27560517,51.568684,6.081742e-05,1,12,NA,1,2020-07-05
"17","GB","Greater London","England","Crouch End",-0.12177095,51.56936,5.2457057e-05,1,12,NA,1,2020-07-05
"18","GB","Greater London","England","Dagenham",0.16270418,51.53787,4.8651455e-05,1,12,NA,1,2020-07-05
"19","GB","Greater London","England","Ealing Broadway",-0.29514104,51.52063,9.791628e-05,1,12,NA,1,2020-07-05
"20","GB","Greater London","England","Earlsfield",-0.18047792,51.442474,5.730036e-05,1,12,NA,1,2020-07-05
"21","GB","Greater London","England","East Ham",0.020981858,51.55389,9.6632604e-05,1,12,NA,1,2020-07-05
"22","GB","Greater London","England","Edgware",-0.26558125,51.584267,4.000481e-05,1,12,NA,1,2020-07-05
"23","GB","Greater London","England","Enfield",-0.09265726,51.63264,6.4499734e-05,1,12,NA,1,2020-07-05
"24","GB","Greater London","England","Erith",0.19069232,51.490517,5.83677e-05,1,12,NA,1,2020-07-05
"25","GB","Greater London","England","Feltham",-0.3832315,51.440254,2.4437391e-05,1,12,NA,1,2020-07-05
"26","GB","Greater London","England","Hackney",-0.036165245,51.538044,6.666527e-05,1,12,NA,1,2020-07-05
"27","GB","Greater London","England","Hainault",0.10665295,51.63254,3.6785248e-05,1,12,NA,1,2020-07-05
"28","GB","Greater London","England","Hammersmith",-0.2371479,51.537003,7.006935e-05,1,12,NA,1,2020-07-05
"29","GB","Greater London","England","Harefield",-0.46899524,51.58193,2.9347786e-05,1,12,NA,1,2020-07-05
"30","GB","Greater London","England","Harold Wood",0.24771607,51.616047,4.5787205e-05,1,12,NA,1,2020-07-05
"31","GB","Greater London","England","Harringay",-0.06437939,51.585342,5.669821e-05,1,12,NA,1,2020-07-05
"32","GB","Greater London","England","Harrow on the Hill",-0.32362637,51.56788,1.9960431e-05,1,12,NA,1,2020-07-05
"33","GB","Greater London","England","Hayes",-0.42605111,51.511089,4.6022149e-05,1,12,0,2,2020-07-05
"34","GB","Greater London","England","Hendon",-0.20774065,51.60052,2.0703841e-05,1,12,NA,1,2020-07-05
"35","GB","Greater London","England","Hornchurch",0.21924374,51.553337,6.964139e-05,1,12,NA,1,2020-07-05
"36","GB","Greater London","England","Ilford",0.07793988,51.56961,4.270645e-05,1,12,NA,1,2020-07-05
"37","GB","Greater London","England","Kensington",-0.20877866,51.489742,5.8834954e-05,1,12,NA,1,2020-07-05
"38","GB","Greater London","England","Kingston upon Thames",-0.29646534,51.40964,3.3227276e-05,1,12,NA,1,2020-07-05
"39","GB","Greater London","England","London",-0.15104169,51.505974,5.3549444e-05,1,12,NA,1,2020-07-05
"40","GB","Greater London","England","Mitcham",-0.15218051,51.395195,3.1661195e-05,1,12,NA,1,2020-07-05
"41","GB","Greater London","England","New Malden",-0.23836751,51.426125,6.0506012e-05,1,12,NA,1,2020-07-05
"42","GB","Greater London","England","Northolt",-0.38187987,51.551357,2.7440157e-05,1,12,NA,1,2020-07-05
"43","GB","Greater London","England","Orpington",0.07614728,51.34875,2.7065757e-05,1,12,NA,1,2020-07-05
"44","GB","Greater London","England","Poplar",-0.008019301,51.49074,5.9077134e-05,1,12,NA,1,2020-07-05
"45","GB","Greater London","England","Purley",-0.12396255,51.3479,4.25054e-05,1,12,NA,1,2020-07-05
"46","GB","Greater London","England","Richmond",-0.26671997,51.47338,5.2645897e-05,1,12,NA,1,2020-07-05
"47","GB","Greater London","England","Sidcup",0.10517968,51.411903,3.2342465e-05,1,12,NA,1,2020-07-05
"48","GB","Greater London","England","South Croydon",-0.06638043,51.364094,5.464219e-05,1,12,NA,1,2020-07-05
"49","GB","Greater London","England","Southall",-0.35334253,51.50412,5.75974e-05,1,12,NA,1,2020-07-05
"50","GB","Greater London","England","Sutton",-0.18174882,51.331573,3.39351e-05,1,12,NA,1,2020-07-05
"51","GB","Greater London","England","Thornton Heath",-0.0945469,51.4114,4.9755905e-05,1,12,NA,1,2020-07-05
"52","GB","Greater London","England","Twickenham",-0.32486957,51.456886,4.858952e-05,1,12,NA,1,2020-07-05
"53","GB","Greater London","England","Walthamstow",-0.007180699,51.6012,8.008781e-05,1,12,NA,1,2020-07-05
"54","GB","Greater London","England","Welling",0.07716732,51.459244,4.9695715e-05,1,12,NA,1,2020-07-05
"55","GB","Greater London","England","West Drayton",-0.4703867,51.470695,4.440468e-05,1,12,NA,1,2020-07-05
"56","GB","Greater London","England","West Wickham",-0.008998565,51.380157,3.8489292e-05,1,12,NA,1,2020-07-05
"57","GB","Greater London","England","Whyteleafe",-0.095848925,51.300594,3.64417e-05,1,12,NA,1,2020-07-05
"58","GB","Greater London","England","Wood Green",-0.15010059,51.616642,5.5747685e-05,1,12,NA,1,2020-07-05
"59","GB","Greater London","England","Woolwich",0.049076322,51.506573,4.3815475e-05,1,12,NA,1,2020-07-05
"60","GB","Greater London","England","Dagenham",0.14890279,51.55881,3.4619403e-05,1,13,NA,1,2020-07-02
"61","GB","Greater London","England","Hainault",0.13621157,51.607635,4.0494197e-05,1,13,NA,1,2020-07-02
"62","GB","Greater London","England","Harold Wood",0.22941305,51.610504,4.4100238e-05,1,13,NA,1,2020-07-02
"63","GB","Greater London","England","Hounslow",-0.36556223,51.442173,2.189793e-05,1,13,NA,1,2020-07-02
"64","GB","Greater London","England","Richmond",-0.27759242,51.44554,1.7729832e-05,1,13,NA,1,2020-07-02
"65","GB","Greater London","England","Stanmore",-0.33033937,51.640823,3.5201527e-05,1,13,NA,1,2020-07-02
"66","GB","Greater London","England","Upminster",0.24200293,51.56168,3.3502252e-05,1,13,NA,1,2020-07-02
"67","GB","Greater London","England","Harefield",-0.4836595,51.59618,2.9587594e-05,1,12,NA,1,2020-07-01
"68","GB","Greater London","England","Abbey Wood",0.12030504,51.51042,6.4538566e-05,1,12,NA,1,2020-06-04
"69","GB","Greater London","England","Bexleyheath",0.15307847,51.4642,0.000109849614,1,12,NA,1,2020-06-04
