"","cc_pays","cc_departement","cc_region","cc_ville","longitude","latitude","NO2","quality","hour_mean","hour_std","counter","Date"
"1","FR","Departement de l'Isere","Rhone-Alpes","Fontaine",5.691847,45.214386,4.540404e-05,1,12,NA,1,2020-07-09
"2","FR","Departement de l'Isere","Rhone-Alpes","Gieres",5.8167715,45.17691,3.2813652e-05,1,12,NA,1,2020-07-09
"3","FR","Departement de l'Isere","Rhone-Alpes","Grenoble",5.7066817,45.165497,4.796873e-05,1,12,NA,1,2020-07-09
"4","FR","Departement de l'Isere","Rhone-Alpes","La Tronche",5.746806,45.22011,4.350675e-05,1,12,NA,1,2020-07-09
"5","FR","Departement de l'Isere","Rhone-Alpes","Le Versoud",5.857528,45.231464,2.7997805e-05,1,12,NA,1,2020-07-09
"6","FR","Departement de l'Isere","Rhone-Alpes","Montbonnot-Saint-Martin",5.8020315,45.225803,3.750994e-05,1,12,NA,1,2020-07-09
"7","FR","Departement de l'Isere","Rhone-Alpes","Saint-Martin-d'Heres",5.7615933,45.17122,4.6363864e-05,1,12,NA,1,2020-07-09
"8","FR","Departement de l'Isere","Rhone-Alpes","Vaulnaveys-le-Haut",5.8315125,45.12802,2.1208529e-05,1,12,NA,1,2020-07-09
"9","FR","Departement de l'Isere","Rhone-Alpes","Corenc",5.7587075,45.199436,4.5569115e-05,1,13,NA,1,2020-07-08
"10","FR","Departement de l'Isere","Rhone-Alpes","Domene",5.844346,45.2105805,1.74178255e-05,1,12,1.4142135623731,2,2020-07-08
"11","FR","Departement de l'Isere","Rhone-Alpes","Fontaine",5.6927543,45.20832,2.0103704e-05,1,11,NA,1,2020-07-08
"12","FR","Departement de l'Isere","Rhone-Alpes","Grenoble",5.7250504,45.163334,2.2073591e-05,1,11,NA,1,2020-07-08
"13","FR","Departement de l'Isere","Rhone-Alpes","Poisat",5.7694073,45.15052,3.959291e-05,1,13,NA,1,2020-07-08
"14","FR","Departement de l'Isere","Rhone-Alpes","Revel",5.8656858,45.163595,1.865007e-05,1,12,1.4142135623731,2,2020-07-08
"15","FR","Departement de l'Isere","Rhone-Alpes","Saint-Ismier",5.82296575,45.2575225,2.9132718e-05,1,12,1.4142135623731,2,2020-07-08
"16","FR","Departement de l'Isere","Rhone-Alpes","Sassenage",5.6691256,45.19713,3.0101452e-05,1,13,NA,1,2020-07-08
"17","FR","Departement de l'Isere","Rhone-Alpes","Seyssins",5.6799026,45.148205,2.3991977e-05,1,13,NA,1,2020-07-08
"18","FR","Departement de l'Isere","Rhone-Alpes","Domene",5.829182,45.2049,1.5818705e-05,1,13,NA,1,2020-07-07
"19","FR","Departement de l'Isere","Rhone-Alpes","Fontanil-Cornillon",5.665432,45.258453,1.1074916e-05,1,13,NA,1,2020-07-07
"20","FR","Departement de l'Isere","Rhone-Alpes","Herbeys",5.8356237,45.156338,2.4822926e-05,1,13,NA,1,2020-07-07
"21","FR","Departement de l'Isere","Rhone-Alpes","La Tronche",5.7477083,45.209293,2.6206433e-05,1,11,NA,1,2020-07-07
"22","FR","Departement de l'Isere","Rhone-Alpes","Saint-Egreve",5.7194023,45.255768,1.9643978e-05,1,11,NA,1,2020-07-07
"23","FR","Departement de l'Isere","Rhone-Alpes","Saint-Martin-d'Heres",5.776007,45.162907,2.6221438e-05,1,11,NA,1,2020-07-07
"24","FR","Departement de l'Isere","Rhone-Alpes","Saint-Nazaire-les-Eymes",5.843317,45.24914,2.3478842e-05,1,11,NA,1,2020-07-07
"25","FR","Departement de l'Isere","Rhone-Alpes","Sassenage",5.672022,45.209904,1.7904511e-05,1,13,NA,1,2020-07-07
"26","FR","Departement de l'Isere","Rhone-Alpes","Seyssins",5.66480205,45.1650635,2.24408195e-05,1,12,1.4142135623731,2,2020-07-07
"27","FR","Departement de l'Isere","Rhone-Alpes","Brie-et-Angonnes",5.7764215,45.139908,2.2092321e-05,1,12,NA,1,2020-07-05
"28","FR","Departement de l'Isere","Rhone-Alpes","Domene",5.846981,45.209244,2.0925938e-05,1,12,NA,1,2020-07-05
