"","cc_pays","cc_departement","cc_region","cc_ville","longitude","latitude","NO2","quality","hour_mean","hour_std","counter","Date"
"1","US","Bergen County","New Jersey","Carlstadt",-74.07769,40.833775,0.00010533569,1,17,NA,1,2020-07-09
"2","US","Bergen County","New Jersey","Cliffside Park",-73.97722,40.80301,0.0001723095,1,17,NA,1,2020-07-09
"3","US","Bergen County","New Jersey","Fort Lee",-73.95285,40.860588,0.00016152584,1,17,NA,1,2020-07-09
"4","US","Bergen County","New Jersey","Hackensack",-74.053314,40.891438,0.00015430048,1,17,NA,1,2020-07-09
"5","US","Bergen County","New Jersey","Lodi",-74.09497,40.88245,0.00010158818,1,17,NA,1,2020-07-09
"6","US","Bergen County","New Jersey","Moonachie",-74.03606,40.84276,0.00016482835,1,17,NA,1,2020-07-09
"7","US","Bergen County","New Jersey","North Arlington",-74.10203,40.77607,8.674965e-05,1,17,NA,1,2020-07-09
"8","US","Bergen County","New Jersey","Palisades Park",-73.994446,40.851696,0.00015888888,1,17,NA,1,2020-07-09
"9","US","Bergen County","New Jersey","Rutherford",-74.11934,40.824745,0.0001004496,1,17,NA,1,2020-07-09
"10","US","Bronx","New York","Eastchester",-73.8195725,40.8626415,8.18487625e-05,1,17,0,2,2020-07-09
"11","US","Bronx","New York","The Bronx",-73.8629445,40.8273345,9.0245795e-05,1,17,0,4,2020-07-09
"12","US","Essex County","New Jersey","Cedar Grove",-74.22007,40.855206,0.000107173146,1,17,NA,1,2020-07-09
"13","US","Essex County","New Jersey","East Orange",-74.185326,40.757877,0.00015173834,1,17,NA,1,2020-07-09
"14","US","Essex County","New Jersey","Glen Ridge",-74.2027,40.806545,0.00012788836,1,17,NA,1,2020-07-09
"15","US","Essex County","New Jersey","Irvington",-74.22702,40.74871,9.384658e-05,1,17,NA,1,2020-07-09
"16","US","Essex County","New Jersey","Newark",-74.16798,40.709198,0.00013116951,1,17,NA,1,2020-07-09
"17","US","Essex County","New Jersey","Nutley",-74.16101,40.81567,0.00013851645,1,17,NA,1,2020-07-09
