id,nom_dept,nom_com,id_com,nom_station,code_station_ue,typologie,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x,y
1,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,73,ug.m-3,journaliere,2017/09/20 22:00:00+00,2017/09/21 22:00:00+00,1,651166,6862011
2,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,62,ug.m-3,journaliere,2017/09/21 22:00:00+00,2017/09/22 22:00:00+00,1,651166,6862011
3,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,70,ug.m-3,journaliere,2017/09/22 22:00:00+00,2017/09/23 22:00:00+00,1,651166,6862011
4,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,58,ug.m-3,journaliere,2017/09/23 22:00:00+00,2017/09/24 22:00:00+00,1,651166,6862011
5,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,63,ug.m-3,journaliere,2017/09/24 22:00:00+00,2017/09/25 22:00:00+00,1,651166,6862011
6,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,84,ug.m-3,journaliere,2017/09/25 22:00:00+00,2017/09/26 22:00:00+00,1,651166,6862011
7,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,70,ug.m-3,journaliere,2017/09/26 22:00:00+00,2017/09/27 22:00:00+00,1,651166,6862011
8,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,68,ug.m-3,journaliere,2017/09/27 22:00:00+00,2017/09/28 22:00:00+00,1,651166,6862011
9,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,57,ug.m-3,journaliere,2017/09/28 22:00:00+00,2017/09/29 22:00:00+00,1,651166,6862011
10,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,47,ug.m-3,journaliere,2017/09/29 22:00:00+00,2017/09/30 22:00:00+00,1,651166,6862011
11,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,28,ug.m-3,journaliere,2017/09/30 22:00:00+00,2017/10/01 22:00:00+00,1,651166,6862011
12,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,35,ug.m-3,journaliere,2017/10/01 22:00:00+00,2017/10/02 22:00:00+00,1,651166,6862011
13,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,48,ug.m-3,journaliere,2017/10/02 22:00:00+00,2017/10/03 22:00:00+00,1,651166,6862011
14,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,62,ug.m-3,journaliere,2017/10/03 22:00:00+00,2017/10/04 22:00:00+00,1,651166,6862011
15,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,50,ug.m-3,journaliere,2017/10/04 22:00:00+00,2017/10/05 22:00:00+00,1,651166,6862011
16,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,47,ug.m-3,journaliere,2017/10/05 22:00:00+00,2017/10/06 22:00:00+00,1,651166,6862011
17,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,50,ug.m-3,journaliere,2017/10/06 22:00:00+00,2017/10/07 22:00:00+00,1,651166,6862011
18,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,32,ug.m-3,journaliere,2017/10/07 22:00:00+00,2017/10/08 22:00:00+00,1,651166,6862011
19,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,56,ug.m-3,journaliere,2017/10/08 22:00:00+00,2017/10/09 22:00:00+00,1,651166,6862011
20,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,48,ug.m-3,journaliere,2017/10/09 22:00:00+00,2017/10/10 22:00:00+00,1,651166,6862011
21,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,50,ug.m-3,journaliere,2017/10/10 22:00:00+00,2017/10/11 22:00:00+00,1,651166,6862011
22,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,55,ug.m-3,journaliere,2017/10/11 22:00:00+00,2017/10/12 22:00:00+00,1,651166,6862011
23,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,64,ug.m-3,journaliere,2017/10/12 22:00:00+00,2017/10/13 22:00:00+00,1,651166,6862011
24,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,74,ug.m-3,journaliere,2017/10/13 22:00:00+00,2017/10/14 22:00:00+00,1,651166,6862011
25,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,52,ug.m-3,journaliere,2017/10/14 22:00:00+00,2017/10/15 22:00:00+00,1,651166,6862011
26,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,60,ug.m-3,journaliere,2017/10/15 22:00:00+00,2017/10/16 22:00:00+00,1,651166,6862011
27,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,73,ug.m-3,journaliere,2017/10/16 22:00:00+00,2017/10/17 22:00:00+00,1,651166,6862011
28,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,72,ug.m-3,journaliere,2017/10/17 22:00:00+00,2017/10/18 22:00:00+00,1,651166,6862011
29,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,50,ug.m-3,journaliere,2017/10/18 22:00:00+00,2017/10/19 22:00:00+00,1,651166,6862011
30,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,48,ug.m-3,journaliere,2017/10/19 22:00:00+00,2017/10/20 22:00:00+00,1,651166,6862011
31,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,34,ug.m-3,journaliere,2017/10/20 22:00:00+00,2017/10/21 22:00:00+00,1,651166,6862011
