"","cc_pays","cc_departement","cc_region","cc_ville","longitude","latitude","NO2","quality","hour_mean","hour_std","counter","Date"
"1","FR","Departement de Seine-Saint-Denis","Ile-de-France","Aulnay-sous-Bois",2.505748,48.941563,7.076143e-05,1,12,NA,1,2020-07-09
"2","FR","Departement de Seine-Saint-Denis","Ile-de-France","Les Lilas",2.4211128,48.87873,5.7089022e-05,1,12,NA,1,2020-07-09
"3","FR","Departement de Seine-Saint-Denis","Ile-de-France","Neuilly-sur-Marne",2.5421495,48.84427,2.8631592e-05,1,12,NA,1,2020-07-09
"4","FR","Departement de Seine-Saint-Denis","Ile-de-France","Noisy-le-Sec",2.4724598,48.88584,5.907301e-05,1,12,NA,1,2020-07-09
"5","FR","Departement de Seine-Saint-Denis","Ile-de-France","Tremblay-en-France",2.557445,48.948612,5.2551582e-05,1,12,NA,1,2020-07-09
"6","FR","Departement de Seine-et-Marne","Ile-de-France","Champs-sur-Marne",2.5937474,48.85131,5.549627e-05,1,12,NA,1,2020-07-09
"7","FR","Departement de Seine-et-Marne","Ile-de-France","Villeparisis",2.609297,48.95563,4.1923417e-05,1,12,NA,1,2020-07-09
"8","FR","Departement de l'Essonne","Ile-de-France","Verrieres-le-Buisson",2.254124,48.752735,4.2218424e-05,1,12,NA,1,2020-07-09
"9","FR","Departement des Hauts-de-Seine","Ile-de-France","Antony",2.3048089,48.75996,2.6583868e-05,1,12,NA,1,2020-07-09
"10","FR","Departement des Hauts-de-Seine","Ile-de-France","Chatillon",2.2863731,48.808586,2.0942265e-05,1,12,NA,1,2020-07-09
"11","FR","Departement des Hauts-de-Seine","Ile-de-France","Chaville",2.1850412,48.794094,3.33727e-05,1,12,NA,1,2020-07-09
"12","FR","Departement des Hauts-de-Seine","Ile-de-France","La Garenne-Colombes",2.2494812,48.905838,5.616429e-05,1,12,NA,1,2020-07-09
"13","FR","Departement des Hauts-de-Seine","Ile-de-France","Meudon",2.23564,48.801357,2.650334e-05,1,12,NA,1,2020-07-09
"14","FR","Departement des Hauts-de-Seine","Ile-de-France","Nanterre",2.198651,48.898598,4.1834715e-05,1,12,NA,1,2020-07-09
"15","FR","Departement des Hauts-de-Seine","Ile-de-France","Saint-Cloud",2.217153,48.84998,3.6577374e-05,1,12,NA,1,2020-07-09
"16","FR","Departement des Hauts-de-Seine","Ile-de-France","Vaucresson",2.1665058,48.842712,1.7508899e-05,1,12,NA,1,2020-07-09
"17","FR","Departement des Yvelines","Ile-de-France","Chatou",2.1479554,48.891327,2.5345847e-05,1,12,NA,1,2020-07-09
"18","FR","Departement des Yvelines","Ile-de-France","Conflans-Sainte-Honorine",2.1106758,48.988518,2.4643385e-05,1,12,NA,1,2020-07-09
"19","FR","Departement des Yvelines","Ile-de-France","Le Mesnil-le-Roi",2.129361,48.93993,1.4281889e-05,1,12,NA,1,2020-07-09
"20","FR","Departement des Yvelines","Ile-de-France","Rocquencourt",2.11599,48.835415,3.4375018e-05,1,12,NA,1,2020-07-09
"21","FR","Departement des Yvelines","Ile-de-France","Sartrouville",2.180105,48.94721,2.6907488e-05,1,12,NA,1,2020-07-09
"22","FR","Departement des Yvelines","Ile-de-France","Versailles",2.1345735,48.7868,2.0043834e-05,1,12,NA,1,2020-07-09
"23","FR","Departement du Val-d'Oise","Ile-de-France","Andilly",2.314666,49.01745,2.280668e-05,1,12,NA,1,2020-07-09
"24","FR","Departement du Val-d'Oise","Ile-de-France","Argenteuil",2.2309837,48.95445,3.6524103e-05,1,12,NA,1,2020-07-09
"25","FR","Departement du Val-d'Oise","Ile-de-France","Beauchamp",2.212396,49.003044,2.7121512e-05,1,12,NA,1,2020-07-09
"26","FR","Departement du Val-d'Oise","Ile-de-France","Deuil-la-Barre",2.3331563,48.96884,5.9594644e-05,1,12,NA,1,2020-07-09
"27","FR","Departement du Val-d'Oise","Ile-de-France","Ezanville",2.3660147,49.0246,2.7962054e-05,1,12,NA,1,2020-07-09
"28","FR","Departement du Val-d'Oise","Ile-de-France","Garges-les-Gonesse",2.3844557,48.97599,3.4112945e-05,1,12,NA,1,2020-07-09
"29","FR","Departement du Val-d'Oise","Ile-de-France","Gonesse",2.4359014,48.98311,4.5148023e-05,1,12,NA,1,2020-07-09
"30","FR","Departement du Val-d'Oise","Ile-de-France","Herblay",2.1614685,48.995796,3.575133e-05,1,12,NA,1,2020-07-09
"31","FR","Departement du Val-d'Oise","Ile-de-France","Le Thillay",2.4874961,48.990196,5.1983243e-05,1,12,NA,1,2020-07-09
"32","FR","Departement du Val-d'Oise","Ile-de-France","Roissy-en-France",2.539243,48.99725,5.4789103e-05,1,12,NA,1,2020-07-09
"33","FR","Departement du Val-d'Oise","Ile-de-France","Saint-Prix",2.2634609,49.01026,2.3658362e-05,1,12,NA,1,2020-07-09
"34","FR","Departement du Val-de-Marne","Ile-de-France","Creteil",2.457695,48.781452,8.18951e-05,1,12,NA,1,2020-07-09
"35","FR","Departement du Val-de-Marne","Ile-de-France","Gentilly",2.337243,48.81579,5.94253e-05,1,12,NA,1,2020-07-09
"36","FR","Departement du Val-de-Marne","Ile-de-France","Ivry-sur-Seine",2.388253,48.822956,7.070893e-05,1,12,NA,1,2020-07-09
"37","FR","Departement du Val-de-Marne","Ile-de-France","Nogent-sur-Marne",2.490703,48.837196,3.6613375e-05,1,12,NA,1,2020-07-09
"38","FR","Departement du Val-de-Marne","Ile-de-France","Ormesson-sur-Marne",2.5603414,48.79562,3.5316363e-05,1,12,NA,1,2020-07-09
"39","FR","Departement du Val-de-Marne","Ile-de-France","Saint-Maurice",2.4394052,48.83009,5.1215648e-05,1,12,NA,1,2020-07-09
"40","FR","Departement du Val-de-Marne","Ile-de-France","Vitry-sur-Seine",2.4065914,48.77432,7.163555e-05,1,12,NA,1,2020-07-09
"41","FR","Paris","Ile-de-France","Paris",2.3699114,48.87159,7.879963e-05,1,12,NA,1,2020-07-09
"42","FR","Departement de Seine-Saint-Denis","Ile-de-France","Bondy",2.48742,48.90259,0.00019368365,1,11,NA,1,2020-07-07
"43","FR","Departement de Seine-Saint-Denis","Ile-de-France","Coubron",2.5924234,48.91024,7.443837e-05,1,13,NA,1,2020-07-07
"44","FR","Departement de Seine-Saint-Denis","Ile-de-France","Le Blanc-Mesnil",2.4586563,48.959965,6.7558256e-05,1,13,NA,1,2020-07-07
"45","FR","Departement de Seine-Saint-Denis","Ile-de-France","Neuilly-Plaisance",2.5208735,48.857105,0.0002462568,1,11,NA,1,2020-07-07
"46","FR","Departement de Seine-Saint-Denis","Ile-de-France","Noisy-le-Sec",2.4675326,48.911224,8.6583444e-05,1,13,NA,1,2020-07-07
"47","FR","Departement de Seine-Saint-Denis","Ile-de-France","Tremblay-en-France",2.5836706,48.958977,6.0289043e-05,1,13,NA,1,2020-07-07
"48","FR","Departement de Seine-Saint-Denis","Ile-de-France","Villetaneuse",2.335325,48.960766,5.3845488e-05,1,13,NA,1,2020-07-07
"49","FR","Departement de Seine-et-Marne","Ile-de-France","Champs-sur-Marne",2.6011899,48.86155,0.00012219869,1,13,NA,1,2020-07-07
"50","FR","Departement de Seine-et-Marne","Ile-de-France","Emerainville",2.6098921,48.812775,0.00013478988,1,13,NA,1,2020-07-07
"51","FR","Departement de Seine-et-Marne","Ile-de-France","Mitry-Mory",2.5749357,49.00771,4.3451113e-05,1,13,NA,1,2020-07-07
"52","FR","Departement des Hauts-de-Seine","Ile-de-France","Antony",2.3008394,48.76137,8.299521e-05,1,11,NA,1,2020-07-07
"53","FR","Departement des Hauts-de-Seine","Ile-de-France","Chatenay-Malabry",2.2500794,48.766342,5.0587914e-05,1,13,NA,1,2020-07-07
"54","FR","Departement des Hauts-de-Seine","Ile-de-France","Clamart",2.2672505,48.80679,7.533184e-05,1,11,NA,1,2020-07-07
"55","FR","Departement des Hauts-de-Seine","Ile-de-France","Meudon",2.2409508,48.815117,5.5507622e-05,1,13,NA,1,2020-07-07
"56","FR","Departement des Hauts-de-Seine","Ile-de-France","Suresnes",2.23275285,48.858072,8.3142896e-05,1,12,1.4142135623731,2,2020-07-07
"57","FR","Departement des Yvelines","Ile-de-France","Jouy-en-Josas",2.1551056,48.757607,4.858591e-05,1,11,NA,1,2020-07-07
"58","FR","Departement des Yvelines","Ile-de-France","Le Chesnay",2.1212103,48.815536,3.29262e-05,1,13,NA,1,2020-07-07
"59","FR","Departement des Yvelines","Ile-de-France","Le Pecq",2.102774,48.91306,4.102449e-05,1,13,NA,1,2020-07-07
"60","FR","Departement des Yvelines","Ile-de-France","Les Loges-en-Josas",2.130457,48.766754,4.7518955e-05,1,13,NA,1,2020-07-07
"61","FR","Departement des Yvelines","Ile-de-France","Louveciennes",2.1120226,48.864338,3.112553e-05,1,13,NA,1,2020-07-07
