Date;Reg 11 - Industries agricoles et alimentaires - TUC - (CVS);Reg 11 - Équipements électriques et électroniques, autres machines - TUC - (CVS);Reg 11 - Fabrication de matériels de transport - TUC - (CVS);Reg 11 - Fabrication d'autres produits industriels - TUC - (CVS);Reg 11 - Industrie manufacturière - TUC - (CVS)
01/01/1996;74,96;86,4;75;81,73;78,92
01/02/1996;74,16;85,59;77,62;81,74;79,97
01/03/1996;72,84;85,89;76,21;82,28;79,41
01/04/1996;71,96;85,22;78,1;81,68;79,24
01/05/1996;71,25;86,44;76,07;81,6;78,94
01/06/1996;69,33;85,56;78,84;81,29;78,73
01/07/1996;69,52;85,62;69,51;80,65;75,94
01/08/1996;71,63;85,85;73,76;79,96;77,91
01/09/1996;73,81;85,96;77,39;79,72;79,2
01/10/1996;70,5;86,2;75,8;80,05;78,39
01/11/1996;84,77;86,05;74,12;80,36;81,25
01/12/1996;76,62;85,57;73,35;80,25;79,08
01/01/1997;72,24;86,75;76,69;81,45;78,75
01/02/1997;72,92;86,78;79,58;81,04;80,27
01/03/1997;67,75;86,09;77,95;77,64;77,42
01/04/1997;66,62;85,75;74,66;80,52;76,9
01/05/1997;70,17;86,3;74,48;83,85;78,83
01/06/1997;64,66;86,07;76,45;85,63;78,14
01/07/1997;74,17;87,37;77,19;82,84;80,02
01/08/1997;74,28;86,05;79,13;82,69;80,62
01/09/1997;74,43;84,58;80,55;83,07;80,64
01/10/1997;74,03;85,92;81,48;82,74;81,24
01/11/1997;84,93;86,92;80,16;83,2;83,73
01/12/1997;74,6;87,42;80,97;83,91;81,91
01/01/1998;73,88;86,98;79,68;83,29;80,49
01/02/1998;75,41;87,43;78,86;84,14;81,6
01/03/1998;80,39;87,66;82,34;83,79;83,46
01/04/1998;79,69;88,47;83,69;84,41;84,24
01/05/1998;77,96;87,85;84,89;82,87;83,49
01/06/1998;78,25;88,08;84,66;83,35;83,52
01/07/1998;77,64;88,11;85,14;81,59;82,81
01/08/1998;75,51;87,98;86;81,2;82,72
01/09/1998;73,35;87,71;86,53;81,43;82,28
01/10/1998;75,49;86,97;85,57;81,31;82,5
01/11/1998;69,11;86,36;86,78;80,88;80,69
01/12/1998;73,75;86,56;86,92;80,52;82,19
