"","cc_pays","cc_departement","cc_region","cc_ville","longitude","latitude","NO2","quality","hour_mean","hour_std","counter","Date"
"1","FR","Departement de Seine-Saint-Denis","Ile-de-France","Les Lilas",2.4211128,48.87873,5.7089022e-05,1,12,NA,1,2020-07-09
"2","FR","Departement de l'Essonne","Ile-de-France","Verrieres-le-Buisson",2.254124,48.752735,4.2218424e-05,1,12,NA,1,2020-07-09
"3","FR","Departement des Hauts-de-Seine","Ile-de-France","Antony",2.3048089,48.75996,2.6583868e-05,1,12,NA,1,2020-07-09
"4","FR","Departement des Hauts-de-Seine","Ile-de-France","Chatillon",2.2863731,48.808586,2.0942265e-05,1,12,NA,1,2020-07-09
"5","FR","Departement du Val-d'Oise","Ile-de-France","Deuil-la-Barre",2.3331563,48.96884,5.9594644e-05,1,12,NA,1,2020-07-09
"6","FR","Departement du Val-d'Oise","Ile-de-France","Garges-les-Gonesse",2.3844557,48.97599,3.4112945e-05,1,12,NA,1,2020-07-09
"7","FR","Departement du Val-d'Oise","Ile-de-France","Gonesse",2.4359014,48.98311,4.5148023e-05,1,12,NA,1,2020-07-09
"8","FR","Departement du Val-de-Marne","Ile-de-France","Gentilly",2.337243,48.81579,5.94253e-05,1,12,NA,1,2020-07-09
"9","FR","Departement du Val-de-Marne","Ile-de-France","Ivry-sur-Seine",2.388253,48.822956,7.070893e-05,1,12,NA,1,2020-07-09
"10","FR","Departement du Val-de-Marne","Ile-de-France","Saint-Maurice",2.4394052,48.83009,5.1215648e-05,1,12,NA,1,2020-07-09
"11","FR","Departement du Val-de-Marne","Ile-de-France","Vitry-sur-Seine",2.4065914,48.77432,7.163555e-05,1,12,NA,1,2020-07-09
"12","FR","Paris","Ile-de-France","Paris",2.3699114,48.87159,7.879963e-05,1,12,NA,1,2020-07-09
"13","FR","Departement du Val-de-Marne","Ile-de-France","Rungis",2.3604429,48.737873,0.000104167884,0.9,11,NA,1,2020-07-08
"14","FR","Departement de Seine-Saint-Denis","Ile-de-France","Villetaneuse",2.335325,48.960766,5.3845488e-05,1,13,NA,1,2020-07-07
"15","FR","Departement de l'Essonne","Ile-de-France","Athis-Mons",2.3803225,48.717,7.984239e-05,1,13,NA,1,2020-07-07
"16","FR","Departement de l'Essonne","Ile-de-France","Morangis",2.3343549,48.715958,9.707156e-05,1,11,NA,1,2020-07-07
"17","FR","Departement de l'Essonne","Ile-de-France","Palaiseau",2.2592287,48.71758,5.520792e-05,1,13,NA,1,2020-07-07
"18","FR","Departement des Hauts-de-Seine","Ile-de-France","Antony",2.3008394,48.76137,8.299521e-05,1,11,NA,1,2020-07-07
"19","FR","Departement des Hauts-de-Seine","Ile-de-France","Clamart",2.2672505,48.80679,7.533184e-05,1,11,NA,1,2020-07-07
"20","FR","Departement du Val-de-Marne","Ile-de-France","Alfortville",2.4115305,48.809654,0.00022012768,1,11,NA,1,2020-07-07
"21","FR","Departement du Val-de-Marne","Ile-de-France","Chevilly-Larue",2.3712919,48.765755,8.6490065e-05,1,13,NA,1,2020-07-07
"22","FR","Departement du Val-de-Marne","Ile-de-France","Choisy-le-Roi",2.4449782,48.76421,0.00025694323,1,11,NA,1,2020-07-07
"23","FR","Departement du Val-de-Marne","Ile-de-France","Le Kremlin-Bicetre",2.3622825,48.81452,8.193336e-05,1,13,NA,1,2020-07-07
"24","FR","Paris","Ile-de-France","Paris",2.36567175,48.859207,0.000150803775,1,12,1.4142135623731,2,2020-07-07
"25","FR","Paris","Ile-de-France","Saint-Ouen",2.3443234,48.912018,7.5295866e-05,1,13,NA,1,2020-07-07
"26","FR","Departement du Val-d'Oise","Ile-de-France","Ermont",2.2656257,48.993927,5.9055747e-05,1,11,NA,1,2020-07-02
"27","FR","Departement de Seine-Saint-Denis","Ile-de-France","Bobigny",2.4467316,48.904636,7.859903e-05,1,12,NA,1,2020-07-11
"28","FR","Departement de Seine-Saint-Denis","Ile-de-France","Dugny",2.405331,48.943794,4.151023e-05,1,13,NA,1,2020-07-11
"29","FR","Departement de l'Essonne","Ile-de-France","Champlan",2.2977905,48.711994,5.014201e-05,1,13,NA,1,2020-07-11
"30","FR","Departement des Hauts-de-Seine","Ile-de-France","Antony",2.30252425,48.754036,6.02096065e-05,1,12.5,0.707106781186548,2,2020-07-11
