"","cc_pays","cc_departement","cc_region","cc_ville","longitude","latitude","NO2","quality","hour_mean","hour_std","counter","Date"
"1","CN","Undefined","Beijing","Baizhifang",116.35451,39.86713,6.601415e-05,1,4,NA,1,2020-07-08
"2","CN","Undefined","Beijing","Datun",116.38595,39.992172,7.335739e-05,1,4,NA,1,2020-07-08
"3","CN","Undefined","Beijing","Fengtai",116.277,39.836647,6.50633e-05,1,4,NA,1,2020-07-08
"4","CN","Undefined","Beijing","Haidian",116.29772,39.985806,6.5268945e-05,1,4,0,2,2020-07-08
"5","CN","Undefined","Beijing","Jingshan",116.40863,39.9447,6.289473e-05,1,4,NA,1,2020-07-08
"6","CN","Undefined","Beijing","Jinrongjie",116.331825,39.914623,6.71251e-05,1,4,NA,1,2020-07-08
"7","CN","Undefined","Beijing","Laiguangying",116.46206,40.021854,7.1576076e-05,1,4,NA,1,2020-07-08
"8","CN","Undefined","Beijing","Longtan",116.442572,39.873445,6.7984277e-05,1,4,0,2,2020-07-08
"9","CN","Undefined","Beijing","Lugouqiao",116.25427,39.884125,6.85827e-05,1,4,NA,1,2020-07-08
"10","CN","Undefined","Beijing","Wangjing",116.4847,39.974365,6.7115194e-05,1,4,NA,1,2020-07-08
"11","CN","Undefined","Beijing","Baizhifang",116.326775,39.88916,7.5765514e-05,1,4,NA,1,2020-07-07
"12","CN","Undefined","Beijing","Chaowai",116.42322,39.91753,8.545094e-05,1,4,NA,1,2020-07-07
"13","CN","Undefined","Beijing","Dahongmen",116.39437,39.85507,8.057258e-05,1,4,NA,1,2020-07-07
"14","CN","Undefined","Beijing","Datun",116.394283,39.9900235,5.6642208e-05,1,4,0,2,2020-07-07
"15","CN","Undefined","Beijing","Haidian",116.28807,39.98579,5.5298544e-05,1,4,NA,1,2020-07-07
"16","CN","Undefined","Beijing","Huaxiang",116.346085,39.84083,8.042427e-05,1,4,NA,1,2020-07-07
"17","CN","Undefined","Beijing","Jinrongjie",116.365432,39.9275625,6.3197279e-05,1,4,0,2,2020-07-07
"18","CN","Undefined","Beijing","Laiguangying",116.43264,40.028217,6.9355556e-05,1,4,NA,1,2020-07-07
"19","CN","Undefined","Beijing","Longtan",116.44247,39.86919,8.337776e-05,1,4,NA,1,2020-07-07
"20","CN","Undefined","Beijing","Lugouqiao",116.27826,39.874798,6.775214e-05,1,4,NA,1,2020-07-07
"21","CN","Undefined","Beijing","Qinghe",116.326802,40.0242065,5.77565075e-05,1,4,0,2,2020-07-07
"22","CN","Undefined","Beijing","Sijiqing",116.268598,39.9439976666667,6.10083033333333e-05,1,4,0,3,2020-07-07
"23","CN","Undefined","Beijing","Wangjing",116.4757995,39.986835,7.0304993e-05,1,4,0,2,2020-07-07
"24","CN","Undefined","Beijing","Datun",116.410377,39.965358,0.000124081727,0.95,5,0,2,2020-07-06
"25","CN","Undefined","Beijing","Haidian",116.270538,39.9912,8.0862792e-05,1,5,0,2,2020-07-06
"26","CN","Undefined","Beijing","Jinrongjie",116.348366,39.953903,6.102974e-05,0.9,5,NA,1,2020-07-06
"27","CN","Undefined","Beijing","Laiguangying",116.43596,40.0218035,7.14118325e-05,1,5,0,2,2020-07-06
"28","CN","Undefined","Beijing","Lugouqiao",116.28177,39.88967,0.00012071909,1,5,NA,1,2020-07-06
"29","CN","Undefined","Beijing","Qinghe",116.340966666667,40.0215733333333,6.6954782e-05,1,5,0,3,2020-07-06
"30","CN","Undefined","Beijing","Sijiqing",116.28646,39.9423635,7.6947185e-05,1,5,0,2,2020-07-06
"31","CN","Undefined","Beijing","Wangjing",116.4932,39.9805205,0.00011970737,1,5,0,2,2020-07-06
"32","CN","Undefined","Beijing","Baizhifang",116.347845,39.8819485,6.719436e-05,1,5,0,2,2020-07-05
"33","CN","Undefined","Beijing","Dahongmen",116.38883,39.835354,5.4284086e-05,1,5,NA,1,2020-07-05
"34","CN","Undefined","Beijing","Datun",116.40907,39.987278,7.815766e-05,1,5,NA,1,2020-07-05
"35","CN","Undefined","Beijing","Dongfeng",116.485565,39.9185385,7.04486125e-05,1,5,0,2,2020-07-05
"36","CN","Undefined","Beijing","Haidian",116.29432,39.97759,7.5640964e-05,1,5,NA,1,2020-07-05
"37","CN","Undefined","Beijing","Jingshan",116.421524,39.938286,6.4792286e-05,1,5,NA,1,2020-07-05
"38","CN","Undefined","Beijing","Jinrongjie",116.36401,39.933456,7.620491e-05,1,5,NA,1,2020-07-05
"39","CN","Undefined","Beijing","Longtan",116.433876,39.889206,6.113042e-05,1,5,NA,1,2020-07-05
"40","CN","Undefined","Beijing","Lugouqiao",116.262535,39.874622,6.464825e-05,1,5,NA,1,2020-07-05
"41","CN","Undefined","Beijing","Qinghe",116.345285,40.0069585,7.4573015e-05,1,5,0,2,2020-07-05
"42","CN","Undefined","Beijing","Sijiqing",116.272167,39.950645,7.3110155e-05,1,5,0,2,2020-07-05
"43","CN","Undefined","Beijing","Wangjing",116.466995,39.99207,8.17599e-05,1,5,NA,1,2020-07-05
"44","CN","Undefined","Beijing","Baizhifang",116.37362,39.864323,0.000119521006,0.9,5,NA,1,2020-07-01
"45","CN","Undefined","Beijing","Chaowai",116.43893,39.93117,0.00021063276,0.9,5,NA,1,2020-07-01
"46","CN","Undefined","Beijing","Datun",116.4013745,39.9753665,0.00016029953,0.9,5,0,2,2020-07-01
"47","CN","Undefined","Beijing","Huaxiang",116.33243,39.855183,9.668113e-05,0.9,5,NA,1,2020-07-01
"48","CN","Undefined","Beijing","Longtan",116.43535,39.8779385,0.00011645495,0.9,5,0,2,2020-07-01
"49","CN","Undefined","Beijing","Lugouqiao",116.27411,39.894684,0.0002098136,0.9,5,NA,1,2020-07-01
"50","CN","Undefined","Beijing","Qinghe",116.3431625,40.0149935,0.000162299145,0.9,5,0,2,2020-07-01
"51","CN","Undefined","Beijing","Wangjing",116.4837175,39.99338,0.000164320275,1,5,0,2,2020-07-01
"52","CN","Undefined","Beijing","Xincun",116.29121,39.845993,8.5849984e-05,0.9,5,NA,1,2020-07-01
"53","CN","Undefined","Beijing","Baizhifang",116.33663,39.89443,0.00010617162,1,5,NA,1,2020-06-04
"54","CN","Undefined","Beijing","Beijing",116.37796,39.902035,9.280839e-05,1,5,NA,1,2020-06-04
"55","CN","Undefined","Beijing","Chaowai",116.440042,39.9133855,8.666026e-05,1,5,0,2,2020-06-04
